Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;493 084;0,039;
январь 2018;480 661;0,036;
февраль 2018;536 273;0,037;
март 2018;473 767;0,037;
апрель 2018;433 697;0,034;
май 2018;431 933;0,037;
июнь 2018;489 430;0,040;
июль 2018;440 258;0,037;
август 2018;479 064;0,034;
сентябрь 2018;574 487;0,036;
октябрь 2018;510 321;0,034;
ноябрь 2018;511 700;0,034;
декабрь 2018;593 934;0,039;
январь 2019;569 136;0,040;
февраль 2019;511 902;0,035;
март 2019;468 233;0,034;
апрель 2019;416 628;0,032;
май 2019;423 062;0,035;
июнь 2019;502 119;0,039;
июль 2019;437 494;0,037;
август 2019;483 091;0,036;
сентябрь 2019;555 684;0,037;
октябрь 2019;485 588;0,033;
ноябрь 2019;506 812;0,034;
декабрь 2019;599 335;0,039;
январь 2020;543 229;0,036;
февраль 2020;524 158;0,033;
март 2020;565 664;0,033;
апрель 2020;499 572;0,031;
май 2020;482 677;0,034;
июнь 2020;476 242;0,034;
июль 2020;450 457;0,033;
август 2020;493 543;0,031;
сентябрь 2020;527 622;0,030;
октябрь 2020;552 213;0,030;
ноябрь 2020;569 197;0,032;
декабрь 2020;570 712;0,035;
январь 2021;595 307;0,037;
февраль 2021;599 841;0,034;
март 2021;597 804;0,035;
апрель 2021;475 303;0,031;
май 2021;544 781;0,036;
июнь 2021;592 645;0,036;
июль 2021;646 363;0,037;
август 2021;640 896;0,037;
сентябрь 2021;653 599;0,038;
октябрь 2021;600 965;0,036;
ноябрь 2021;707 113;0,041;
декабрь 2021;706 840;0,040;
январь 2022;718 063;0,041;
февраль 2022;690 554;0,038;
март 2022;673 964;0,040;
апрель 2022;665 880;0,037;
май 2022;608 882;0,039;
июнь 2022;571 973;0,040;
июль 2022;583 072;0,037;
август 2022;620 465;0,036;
сентябрь 2022;573 260;0,034;
октябрь 2022;572 470;0,034;
ноябрь 2022;573 690;0,034;
декабрь 2022;603 305;0,039;
январь 2023;527 869;0,036;
февраль 2023;559 577;0,034;
март 2023;498 178;0,034;
апрель 2023;465 457;0,032;
май 2023;474 971;0,036;
июнь 2023;466 388;0,038;
июль 2023;469 590;0,038;
август 2023;520 776;0,038;
сентябрь 2023;577 434;0,036;
октябрь 2023;549 576;0,036;
ноябрь 2023;540 491;0,035;
декабрь 2023;587 595;0,036;
январь 2024;538 502;0,038;
февраль 2024;518 056;0,034;
март 2024;519 840;0,037;
апрель 2024;511 573;0,037;
май 2024;447 643;0,038;
июнь 2024;461 043;0,041;
июль 2024;439 334;0,038;
август 2024;492 881;0,039;
сентябрь 2024;574 138;0,040;
октябрь 2024;596 839;0,039;
ноябрь 2024;640 031;0,041;
декабрь 2024;690 272;0,047;
