Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Саха (Якутия), все устройства
декабрь 2017;7 958;0,047;
январь 2018;7 756;0,045;
февраль 2018;7 227;0,040;
март 2018;7 227;0,043;
апрель 2018;7 465;0,044;
май 2018;6 354;0,044;
июнь 2018;6 451;0,045;
июль 2018;6 181;0,042;
август 2018;6 652;0,039;
сентябрь 2018;7 991;0,039;
октябрь 2018;7 970;0,039;
ноябрь 2018;8 317;0,041;
декабрь 2018;9 360;0,044;
январь 2019;9 405;0,044;
февраль 2019;8 045;0,037;
март 2019;8 322;0,039;
апрель 2019;7 204;0,036;
май 2019;6 247;0,038;
июнь 2019;7 079;0,045;
июль 2019;6 644;0,041;
август 2019;7 821;0,042;
сентябрь 2019;9 858;0,043;
октябрь 2019;9 606;0,041;
ноябрь 2019;9 501;0,038;
декабрь 2019;11 767;0,044;
январь 2020;10 693;0,041;
февраль 2020;10 292;0,037;
март 2020;11 407;0,030;
апрель 2020;10 668;0,030;
май 2020;9 330;0,037;
июнь 2020;9 094;0,041;
июль 2020;8 917;0,041;
август 2020;10 128;0,036;
сентябрь 2020;12 410;0,034;
октябрь 2020;13 121;0,034;
ноябрь 2020;12 679;0,036;
декабрь 2020;13 548;0,041;
январь 2021;12 433;0,041;
февраль 2021;13 086;0,041;
март 2021;13 429;0,041;
апрель 2021;12 629;0,038;
май 2021;12 480;0,045;
июнь 2021;12 519;0,049;
июль 2021;11 903;0,046;
август 2021;13 809;0,046;
сентябрь 2021;16 222;0,042;
октябрь 2021;15 753;0,043;
ноябрь 2021;17 779;0,045;
декабрь 2021;17 623;0,046;
январь 2022;17 146;0,043;
февраль 2022;18 662;0,047;
март 2022;17 706;0,046;
апрель 2022;16 309;0,043;
май 2022;15 062;0,048;
июнь 2022;16 224;0,054;
июль 2022;15 753;0,049;
август 2022;17 325;0,049;
сентябрь 2022;17 546;0,044;
октябрь 2022;18 844;0,043;
ноябрь 2022;18 822;0,041;
декабрь 2022;20 624;0,045;
январь 2023;18 121;0,044;
февраль 2023;18 669;0,043;
март 2023;18 808;0,044;
апрель 2023;18 039;0,042;
май 2023;17 818;0,048;
июнь 2023;17 705;0,051;
июль 2023;17 855;0,050;
август 2023;19 534;0,051;
сентябрь 2023;21 606;0,050;
октябрь 2023;20 867;0,047;
ноябрь 2023;20 878;0,045;
декабрь 2023;23 509;0,053;
январь 2024;19 892;0,048;
февраль 2024;18 657;0,044;
март 2024;19 201;0,047;
апрель 2024;16 683;0,043;
май 2024;15 017;0,045;
июнь 2024;16 858;0,052;
июль 2024;16 231;0,050;
август 2024;17 800;0,050;
сентябрь 2024;20 579;0,049;
октябрь 2024;20 543;0,047;
ноябрь 2024;22 831;0,050;
декабрь 2024;24 508;0,057;
