Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;183 573;0,039;
январь 2018;174 066;0,036;
февраль 2018;188 860;0,036;
март 2018;169 421;0,036;
апрель 2018;153 219;0,033;
май 2018;154 270;0,035;
июнь 2018;160 907;0,037;
июль 2018;148 914;0,034;
август 2018;163 215;0,033;
сентябрь 2018;195 977;0,034;
октябрь 2018;171 685;0,033;
ноябрь 2018;172 191;0,033;
декабрь 2018;196 998;0,038;
январь 2019;189 686;0,037;
февраль 2019;182 371;0,034;
март 2019;164 648;0,032;
апрель 2019;150 527;0,030;
май 2019;143 197;0,032;
июнь 2019;164 606;0,037;
июль 2019;157 694;0,036;
август 2019;167 762;0,034;
сентябрь 2019;192 140;0,034;
октябрь 2019;174 500;0,032;
ноябрь 2019;183 076;0,033;
декабрь 2019;215 573;0,038;
январь 2020;198 865;0,035;
февраль 2020;185 227;0,032;
март 2020;212 723;0,033;
апрель 2020;179 209;0,030;
май 2020;167 746;0,032;
июнь 2020;169 229;0,033;
июль 2020;164 428;0,032;
август 2020;176 857;0,031;
сентябрь 2020;195 652;0,030;
октябрь 2020;196 679;0,029;
ноябрь 2020;206 303;0,031;
декабрь 2020;221 672;0,035;
январь 2021;225 701;0,038;
февраль 2021;222 865;0,033;
март 2021;230 061;0,035;
апрель 2021;185 950;0,032;
май 2021;204 060;0,036;
июнь 2021;216 291;0,037;
июль 2021;238 378;0,037;
август 2021;216 271;0,035;
сентябрь 2021;207 898;0,034;
октябрь 2021;213 030;0,033;
ноябрь 2021;239 535;0,036;
декабрь 2021;258 605;0,038;
январь 2022;263 109;0,038;
февраль 2022;272 842;0,037;
март 2022;267 081;0,039;
апрель 2022;257 262;0,036;
май 2022;240 696;0,038;
июнь 2022;218 855;0,038;
июль 2022;209 792;0,035;
август 2022;213 983;0,035;
сентябрь 2022;217 245;0,033;
октябрь 2022;218 688;0,031;
ноябрь 2022;219 168;0,034;
декабрь 2022;241 538;0,039;
январь 2023;212 050;0,037;
февраль 2023;217 046;0,033;
март 2023;205 147;0,034;
апрель 2023;186 337;0,031;
май 2023;184 628;0,035;
июнь 2023;190 395;0,038;
июль 2023;191 151;0,038;
август 2023;211 878;0,038;
сентябрь 2023;221 964;0,036;
октябрь 2023;225 324;0,037;
ноябрь 2023;216 508;0,036;
декабрь 2023;230 817;0,038;
январь 2024;219 250;0,038;
февраль 2024;208 050;0,035;
март 2024;206 130;0,036;
апрель 2024;188 731;0,034;
май 2024;174 801;0,036;
июнь 2024;186 365;0,039;
июль 2024;176 219;0,037;
август 2024;197 485;0,038;
сентябрь 2024;233 814;0,040;
октябрь 2024;234 060;0,038;
ноябрь 2024;249 544;0,040;
декабрь 2024;272 417;0,045;
