Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Пензенская область, все устройства
декабрь 2017;22 982;0,044;
январь 2018;18 884;0,037;
февраль 2018;20 092;0,037;
март 2018;18 166;0,037;
апрель 2018;17 308;0,036;
май 2018;16 603;0,037;
июнь 2018;17 101;0,038;
июль 2018;16 163;0,036;
август 2018;17 356;0,034;
сентябрь 2018;19 454;0,033;
октябрь 2018;17 377;0,032;
ноябрь 2018;17 895;0,033;
декабрь 2018;20 978;0,038;
январь 2019;20 554;0,039;
февраль 2019;19 046;0,034;
март 2019;16 501;0,032;
апрель 2019;14 175;0,029;
май 2019;15 627;0,035;
июнь 2019;18 983;0,042;
июль 2019;17 225;0,038;
август 2019;18 104;0,037;
сентябрь 2019;21 234;0,037;
октябрь 2019;18 413;0,032;
ноябрь 2019;20 190;0,033;
декабрь 2019;26 246;0,040;
январь 2020;22 957;0,037;
февраль 2020;22 482;0,034;
март 2020;26 740;0,031;
апрель 2020;22 486;0,029;
май 2020;21 445;0,034;
июнь 2020;19 776;0,035;
июль 2020;19 701;0,034;
август 2020;20 633;0,032;
сентябрь 2020;22 032;0,029;
октябрь 2020;23 412;0,030;
ноябрь 2020;25 121;0,033;
декабрь 2020;28 351;0,039;
январь 2021;29 425;0,042;
февраль 2021;28 198;0,037;
март 2021;28 845;0,039;
апрель 2021;24 001;0,033;
май 2021;26 395;0,038;
июнь 2021;24 168;0,038;
июль 2021;24 919;0,038;
август 2021;30 010;0,041;
сентябрь 2021;29 701;0,037;
октябрь 2021;31 376;0,037;
ноябрь 2021;36 712;0,043;
декабрь 2021;39 974;0,047;
январь 2022;33 103;0,040;
февраль 2022;41 323;0,045;
март 2022;37 595;0,044;
апрель 2022;34 969;0,041;
май 2022;32 544;0,043;
июнь 2022;31 519;0,042;
июль 2022;29 823;0,040;
август 2022;34 409;0,041;
сентябрь 2022;32 991;0,037;
октябрь 2022;33 964;0,037;
ноябрь 2022;38 607;0,042;
декабрь 2022;43 605;0,048;
январь 2023;35 465;0,042;
февраль 2023;33 053;0,036;
март 2023;29 267;0,036;
апрель 2023;29 151;0,035;
май 2023;31 202;0,041;
июнь 2023;34 659;0,045;
июль 2023;35 661;0,048;
август 2023;38 827;0,049;
сентябрь 2023;39 170;0,044;
октябрь 2023;37 568;0,042;
ноябрь 2023;36 766;0,041;
декабрь 2023;42 637;0,047;
январь 2024;38 562;0,046;
февраль 2024;35 631;0,041;
март 2024;34 280;0,042;
апрель 2024;32 304;0,038;
май 2024;29 812;0,041;
июнь 2024;32 386;0,045;
июль 2024;31 230;0,044;
август 2024;34 560;0,048;
сентябрь 2024;39 600;0,048;
октябрь 2024;37 167;0,044;
ноябрь 2024;41 563;0,048;
декабрь 2024;51 170;0,059;
