Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Калмыкия, все устройства
декабрь 2017;3 732;0,057;
январь 2018;2 745;0,043;
февраль 2018;3 046;0,044;
март 2018;2 552;0,041;
апрель 2018;2 592;0,042;
май 2018;2 377;0,040;
июнь 2018;2 542;0,041;
июль 2018;2 426;0,042;
август 2018;2 221;0,036;
сентябрь 2018;2 728;0,038;
октябрь 2018;2 622;0,039;
ноябрь 2018;2 442;0,035;
декабрь 2018;3 363;0,046;
январь 2019;2 706;0,040;
февраль 2019;2 466;0,034;
март 2019;2 322;0,034;
апрель 2019;1 977;0,030;
май 2019;2 213;0,036;
июнь 2019;3 149;0,051;
июль 2019;2 880;0,048;
август 2019;2 775;0,044;
сентябрь 2019;2 921;0,042;
октябрь 2019;2 370;0,033;
ноябрь 2019;2 699;0,036;
декабрь 2019;3 583;0,045;
январь 2020;2 796;0,037;
февраль 2020;2 657;0,032;
март 2020;3 221;0,028;
апрель 2020;3 165;0,029;
май 2020;2 887;0,033;
июнь 2020;3 020;0,038;
июль 2020;2 708;0,035;
август 2020;2 815;0,033;
сентябрь 2020;3 006;0,030;
октябрь 2020;3 490;0,034;
ноябрь 2020;3 276;0,033;
декабрь 2020;4 046;0,041;
январь 2021;3 572;0,041;
февраль 2021;3 680;0,038;
март 2021;3 483;0,036;
апрель 2021;3 375;0,034;
май 2021;4 109;0,043;
июнь 2021;3 831;0,043;
июль 2021;3 791;0,042;
август 2021;4 175;0,043;
сентябрь 2021;4 273;0,040;
октябрь 2021;4 536;0,040;
ноябрь 2021;4 796;0,039;
декабрь 2021;6 168;0,050;
январь 2022;4 965;0,041;
февраль 2022;5 626;0,046;
март 2022;5 436;0,047;
апрель 2022;4 939;0,043;
май 2022;4 974;0,048;
июнь 2022;4 840;0,046;
июль 2022;4 744;0,046;
август 2022;4 930;0,045;
сентябрь 2022;4 791;0,040;
октябрь 2022;5 007;0,041;
ноябрь 2022;5 512;0,041;
декабрь 2022;5 636;0,046;
январь 2023;4 109;0,037;
февраль 2023;4 482;0,037;
март 2023;4 119;0,036;
апрель 2023;3 960;0,034;
май 2023;4 575;0,045;
июнь 2023;5 024;0,049;
июль 2023;5 051;0,049;
август 2023;5 211;0,049;
сентябрь 2023;4 977;0,043;
октябрь 2023;5 659;0,048;
ноябрь 2023;5 201;0,044;
декабрь 2023;6 074;0,050;
январь 2024;4 861;0,044;
февраль 2024;4 388;0,038;
март 2024;4 006;0,038;
апрель 2024;4 176;0,039;
май 2024;4 105;0,044;
июнь 2024;4 603;0,048;
июль 2024;4 737;0,051;
август 2024;4 548;0,047;
сентябрь 2024;5 089;0,047;
октябрь 2024;5 170;0,046;
ноябрь 2024;5 811;0,049;
декабрь 2024;7 148;0,059;
