Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Кировская область, все устройства
декабрь 2017;21 261;0,042;
январь 2018;18 342;0,037;
февраль 2018;20 077;0,037;
март 2018;18 832;0,037;
апрель 2018;17 272;0,034;
май 2018;17 102;0,036;
июнь 2018;17 785;0,039;
июль 2018;15 634;0,034;
август 2018;17 662;0,033;
сентябрь 2018;20 352;0,033;
октябрь 2018;18 235;0,033;
ноябрь 2018;18 551;0,034;
декабрь 2018;20 292;0,037;
январь 2019;19 811;0,038;
февраль 2019;19 119;0,034;
март 2019;17 758;0,033;
апрель 2019;14 347;0,029;
май 2019;14 890;0,032;
июнь 2019;18 677;0,040;
июль 2019;18 323;0,038;
август 2019;19 695;0,037;
сентябрь 2019;21 507;0,036;
октябрь 2019;19 225;0,032;
ноябрь 2019;19 291;0,033;
декабрь 2019;23 381;0,039;
январь 2020;21 055;0,036;
февраль 2020;21 507;0,033;
март 2020;25 578;0,030;
апрель 2020;21 791;0,027;
май 2020;21 082;0,035;
июнь 2020;18 829;0,035;
июль 2020;17 383;0,033;
август 2020;18 788;0,030;
сентябрь 2020;21 169;0,030;
октябрь 2020;22 676;0,031;
ноябрь 2020;22 935;0,032;
декабрь 2020;25 245;0,037;
январь 2021;26 924;0,041;
февраль 2021;24 953;0,035;
март 2021;27 234;0,037;
апрель 2021;22 625;0,032;
май 2021;24 335;0,036;
июнь 2021;23 834;0,038;
июль 2021;24 635;0,038;
август 2021;31 066;0,043;
сентябрь 2021;29 541;0,037;
октябрь 2021;28 356;0,035;
ноябрь 2021;32 346;0,039;
декабрь 2021;35 878;0,043;
январь 2022;30 662;0,038;
февраль 2022;38 247;0,043;
март 2022;36 878;0,044;
апрель 2022;32 684;0,039;
май 2022;30 155;0,041;
июнь 2022;30 181;0,043;
июль 2022;28 572;0,039;
август 2022;32 572;0,039;
сентябрь 2022;30 012;0,033;
октябрь 2022;29 823;0,035;
ноябрь 2022;33 794;0,040;
декабрь 2022;39 990;0,047;
январь 2023;33 472;0,043;
февраль 2023;31 589;0,036;
март 2023;29 164;0,036;
апрель 2023;26 571;0,033;
май 2023;28 449;0,039;
июнь 2023;30 371;0,043;
июль 2023;31 828;0,046;
август 2023;36 136;0,048;
сентябрь 2023;34 601;0,041;
октябрь 2023;34 826;0,042;
ноябрь 2023;33 953;0,040;
декабрь 2023;38 923;0,046;
январь 2024;36 279;0,047;
февраль 2024;31 110;0,039;
март 2024;30 909;0,040;
апрель 2024;28 440;0,038;
май 2024;25 301;0,040;
июнь 2024;34 032;0,054;
июль 2024;27 955;0,044;
август 2024;30 263;0,044;
сентябрь 2024;36 318;0,047;
октябрь 2024;33 409;0,042;
ноябрь 2024;38 158;0,047;
декабрь 2024;47 612;0,058;
