Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Волгоградская область, все устройства
декабрь 2017;43 283;0,045;
январь 2018;36 781;0,039;
февраль 2018;39 747;0,038;
март 2018;33 122;0,037;
апрель 2018;32 469;0,037;
май 2018;32 082;0,039;
июнь 2018;34 813;0,041;
июль 2018;29 555;0,036;
август 2018;31 394;0,033;
сентябрь 2018;35 596;0,033;
октябрь 2018;32 706;0,033;
ноябрь 2018;34 387;0,034;
декабрь 2018;39 456;0,038;
январь 2019;37 861;0,038;
февраль 2019;35 666;0,035;
март 2019;31 628;0,034;
апрель 2019;27 128;0,030;
май 2019;29 584;0,036;
июнь 2019;35 354;0,042;
июль 2019;32 964;0,039;
август 2019;34 011;0,037;
сентябрь 2019;38 547;0,038;
октябрь 2019;34 421;0,033;
ноябрь 2019;38 011;0,035;
декабрь 2019;44 998;0,040;
январь 2020;38 731;0,036;
февраль 2020;38 512;0,034;
март 2020;46 206;0,031;
апрель 2020;39 314;0,030;
май 2020;38 660;0,035;
июнь 2020;36 620;0,036;
июль 2020;35 895;0,035;
август 2020;36 300;0,032;
сентябрь 2020;38 018;0,029;
октябрь 2020;42 454;0,030;
ноябрь 2020;44 324;0,033;
декабрь 2020;49 800;0,038;
январь 2021;51 014;0,040;
февраль 2021;50 152;0,035;
март 2021;49 513;0,037;
апрель 2021;45 507;0,034;
май 2021;49 934;0,039;
июнь 2021;44 088;0,038;
июль 2021;44 023;0,038;
август 2021;52 843;0,040;
сентябрь 2021;53 386;0,037;
октябрь 2021;54 150;0,036;
ноябрь 2021;64 048;0,041;
декабрь 2021;66 841;0,043;
январь 2022;60 040;0,039;
февраль 2022;72 542;0,042;
март 2022;64 104;0,042;
апрель 2022;62 943;0,041;
май 2022;60 928;0,044;
июнь 2022;59 503;0,043;
июль 2022;55 398;0,040;
август 2022;60 555;0,039;
сентябрь 2022;60 077;0,036;
октябрь 2022;61 921;0,037;
ноябрь 2022;71 816;0,042;
декабрь 2022;76 630;0,046;
январь 2023;62 347;0,041;
февраль 2023;59 238;0,036;
март 2023;55 306;0,036;
апрель 2023;53 551;0,034;
май 2023;58 453;0,042;
июнь 2023;62 508;0,045;
июль 2023;61 869;0,045;
август 2023;66 290;0,046;
сентябрь 2023;66 355;0,041;
октябрь 2023;71 622;0,044;
ноябрь 2023;72 308;0,044;
декабрь 2023;72 235;0,044;
январь 2024;65 348;0,043;
февраль 2024;62 903;0,039;
март 2024;56 202;0,039;
апрель 2024;55 576;0,039;
май 2024;50 943;0,040;
июнь 2024;58 413;0,046;
июль 2024;55 796;0,044;
август 2024;59 383;0,045;
сентябрь 2024;66 832;0,044;
октябрь 2024;67 006;0,042;
ноябрь 2024;77 745;0,047;
декабрь 2024;87 694;0,053;
