Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Курская область, все устройства
декабрь 2017;21 330;0,045;
январь 2018;19 395;0,041;
февраль 2018;19 795;0,038;
март 2018;16 836;0,037;
апрель 2018;16 004;0,036;
май 2018;16 162;0,039;
июнь 2018;16 238;0,038;
июль 2018;14 457;0,035;
август 2018;15 907;0,033;
сентябрь 2018;18 654;0,033;
октябрь 2018;16 280;0,032;
ноябрь 2018;17 170;0,033;
декабрь 2018;21 717;0,041;
январь 2019;18 836;0,037;
февраль 2019;17 639;0,033;
март 2019;15 893;0,032;
апрель 2019;13 431;0,028;
май 2019;14 570;0,034;
июнь 2019;17 555;0,041;
июль 2019;16 773;0,040;
август 2019;17 718;0,038;
сентябрь 2019;19 440;0,037;
октябрь 2019;16 363;0,030;
ноябрь 2019;18 872;0,033;
декабрь 2019;23 352;0,040;
январь 2020;20 040;0,036;
февраль 2020;19 298;0,032;
март 2020;23 395;0,031;
апрель 2020;20 094;0,028;
май 2020;18 231;0,033;
июнь 2020;18 028;0,035;
июль 2020;17 316;0,034;
август 2020;18 518;0,032;
сентябрь 2020;20 511;0,030;
октябрь 2020;21 130;0,027;
ноябрь 2020;24 163;0,031;
декабрь 2020;25 501;0,038;
январь 2021;25 816;0,039;
февраль 2021;25 162;0,034;
март 2021;26 992;0,037;
апрель 2021;23 555;0,032;
май 2021;26 348;0,039;
июнь 2021;24 261;0,039;
июль 2021;24 761;0,039;
август 2021;28 334;0,039;
сентябрь 2021;29 273;0,037;
октябрь 2021;29 155;0,033;
ноябрь 2021;33 859;0,040;
декабрь 2021;36 155;0,043;
январь 2022;31 831;0,037;
февраль 2022;40 624;0,045;
март 2022;33 918;0,040;
апрель 2022;32 083;0,039;
май 2022;28 578;0,039;
июнь 2022;29 597;0,042;
июль 2022;28 530;0,040;
август 2022;30 118;0,037;
сентябрь 2022;30 198;0,034;
октябрь 2022;31 654;0,036;
ноябрь 2022;37 422;0,042;
декабрь 2022;40 299;0,046;
январь 2023;33 494;0,041;
февраль 2023;32 226;0,036;
март 2023;28 383;0,034;
апрель 2023;27 054;0,034;
май 2023;29 911;0,041;
июнь 2023;29 802;0,042;
июль 2023;31 571;0,046;
август 2023;34 387;0,046;
сентябрь 2023;36 062;0,043;
октябрь 2023;36 849;0,044;
ноябрь 2023;35 665;0,042;
декабрь 2023;37 624;0,044;
январь 2024;35 084;0,044;
февраль 2024;30 535;0,037;
март 2024;28 413;0,037;
апрель 2024;28 123;0,038;
май 2024;26 174;0,040;
июнь 2024;26 921;0,042;
июль 2024;24 408;0,040;
август 2024;29 028;0,038;
сентябрь 2024;33 314;0,041;
октябрь 2024;32 846;0,039;
ноябрь 2024;39 579;0,045;
декабрь 2024;43 223;0,050;
