Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Воронежская область, все устройства
декабрь 2017;43 560;0,039;
январь 2018;38 331;0,035;
февраль 2018;41 772;0,035;
март 2018;34 632;0,033;
апрель 2018;33 708;0,032;
май 2018;33 930;0,035;
июнь 2018;33 719;0,034;
июль 2018;31 226;0,032;
август 2018;34 048;0,030;
сентябрь 2018;40 835;0,031;
октябрь 2018;36 044;0,030;
ноябрь 2018;35 543;0,030;
декабрь 2018;42 586;0,035;
январь 2019;41 908;0,035;
февраль 2019;37 234;0,030;
март 2019;33 401;0,030;
апрель 2019;28 909;0,027;
май 2019;30 715;0,031;
июнь 2019;38 800;0,038;
июль 2019;36 676;0,037;
август 2019;38 224;0,034;
сентябрь 2019;45 224;0,035;
октябрь 2019;40 909;0,031;
ноябрь 2019;42 345;0,031;
декабрь 2019;51 815;0,038;
январь 2020;45 199;0,034;
февраль 2020;44 415;0,031;
март 2020;50 391;0,029;
апрель 2020;41 037;0,027;
май 2020;40 151;0,031;
июнь 2020;39 140;0,032;
июль 2020;37 520;0,032;
август 2020;40 380;0,030;
сентябрь 2020;42 638;0,027;
октябрь 2020;47 381;0,027;
ноябрь 2020;47 831;0,030;
декабрь 2020;53 502;0,035;
январь 2021;55 869;0,037;
февраль 2021;52 745;0,032;
март 2021;54 657;0,035;
апрель 2021;46 733;0,030;
май 2021;53 632;0,035;
июнь 2021;50 466;0,035;
июль 2021;50 771;0,035;
август 2021;59 299;0,037;
сентябрь 2021;57 818;0,032;
октябрь 2021;62 589;0,034;
ноябрь 2021;69 652;0,038;
декабрь 2021;74 896;0,041;
январь 2022;67 717;0,036;
февраль 2022;80 252;0,040;
март 2022;68 508;0,038;
апрель 2022;64 877;0,035;
май 2022;60 006;0,037;
июнь 2022;60 748;0,038;
июль 2022;61 743;0,038;
август 2022;70 903;0,039;
сентябрь 2022;65 202;0,033;
октябрь 2022;66 643;0,034;
ноябрь 2022;72 207;0,037;
декабрь 2022;82 517;0,043;
январь 2023;72 973;0,041;
февраль 2023;70 066;0,036;
март 2023;61 603;0,034;
апрель 2023;59 708;0,033;
май 2023;63 945;0,039;
июнь 2023;63 972;0,040;
июль 2023;63 347;0,041;
август 2023;69 663;0,042;
сентябрь 2023;73 823;0,039;
октябрь 2023;72 421;0,039;
ноябрь 2023;69 164;0,037;
декабрь 2023;78 049;0,042;
январь 2024;73 844;0,042;
февраль 2024;67 168;0,037;
март 2024;61 961;0,037;
апрель 2024;60 694;0,037;
май 2024;57 206;0,039;
июнь 2024;64 633;0,045;
июль 2024;59 562;0,041;
август 2024;65 075;0,041;
сентябрь 2024;74 353;0,042;
октябрь 2024;73 371;0,040;
ноябрь 2024;81 488;0,043;
декабрь 2024;92 061;0,050;
