Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Ямало-Ненецкий автономный округ, все устройства
декабрь 2017;11 267;0,050;
январь 2018;9 385;0,042;
февраль 2018;10 343;0,043;
март 2018;10 019;0,044;
апрель 2018;10 884;0,048;
май 2018;8 181;0,049;
июнь 2018;7 282;0,047;
июль 2018;7 129;0,044;
август 2018;8 784;0,040;
сентябрь 2018;10 709;0,041;
октябрь 2018;9 832;0,039;
ноябрь 2018;10 295;0,042;
декабрь 2018;11 557;0,047;
январь 2019;11 001;0,043;
февраль 2019;10 724;0,041;
март 2019;10 186;0,039;
апрель 2019;9 370;0,039;
май 2019;8 234;0,046;
июнь 2019;7 993;0,049;
июль 2019;9 093;0,054;
август 2019;11 819;0,053;
сентябрь 2019;12 076;0,045;
октябрь 2019;10 166;0,037;
ноябрь 2019;11 114;0,039;
декабрь 2019;14 036;0,049;
январь 2020;12 197;0,041;
февраль 2020;12 892;0,041;
март 2020;12 597;0,032;
апрель 2020;12 630;0,034;
май 2020;10 654;0,040;
июнь 2020;9 688;0,043;
июль 2020;9 109;0,042;
август 2020;11 081;0,040;
сентябрь 2020;13 064;0,038;
октябрь 2020;14 033;0,036;
ноябрь 2020;13 877;0,039;
декабрь 2020;14 278;0,043;
январь 2021;14 283;0,044;
февраль 2021;13 065;0,039;
март 2021;14 402;0,040;
апрель 2021;14 258;0,042;
май 2021;14 046;0,050;
июнь 2021;11 748;0,048;
июль 2021;11 479;0,047;
август 2021;18 002;0,055;
сентябрь 2021;18 864;0,050;
октябрь 2021;16 633;0,043;
ноябрь 2021;18 045;0,044;
декабрь 2021;18 759;0,046;
январь 2022;17 079;0,041;
февраль 2022;21 544;0,050;
март 2022;20 262;0,049;
апрель 2022;18 616;0,049;
май 2022;18 411;0,059;
июнь 2022;15 959;0,057;
июль 2022;14 020;0,049;
август 2022;17 098;0,046;
сентябрь 2022;16 425;0,039;
октябрь 2022;17 089;0,039;
ноябрь 2022;20 081;0,045;
декабрь 2022;20 206;0,046;
январь 2023;16 885;0,041;
февраль 2023;18 045;0,041;
март 2023;18 186;0,042;
апрель 2023;16 400;0,042;
май 2023;15 820;0,051;
июнь 2023;17 172;0,064;
июль 2023;15 142;0,055;
август 2023;18 499;0,053;
сентябрь 2023;19 893;0,049;
октябрь 2023;20 316;0,050;
ноябрь 2023;21 714;0,052;
декабрь 2023;23 013;0,057;
январь 2024;18 819;0,047;
февраль 2024;18 511;0,045;
март 2024;18 214;0,046;
апрель 2024;17 554;0,048;
май 2024;14 342;0,051;
июнь 2024;13 989;0,056;
июль 2024;13 039;0,051;
август 2024;15 898;0,050;
сентябрь 2024;18 994;0,050;
октябрь 2024;19 479;0,049;
ноябрь 2024;23 388;0,057;
декабрь 2024;24 239;0,062;
