Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Тульская область, все устройства
декабрь 2017;26 120;0,039;
январь 2018;24 005;0,036;
февраль 2018;25 134;0,035;
март 2018;23 167;0,035;
апрель 2018;20 918;0,033;
май 2018;21 603;0,036;
июнь 2018;22 004;0,036;
июль 2018;19 576;0,033;
август 2018;21 444;0,031;
сентябрь 2018;25 612;0,032;
октябрь 2018;22 587;0,031;
ноябрь 2018;23 348;0,032;
декабрь 2018;29 102;0,038;
январь 2019;26 988;0,037;
февраль 2019;24 747;0,032;
март 2019;24 748;0,034;
апрель 2019;19 472;0,029;
май 2019;20 494;0,033;
июнь 2019;24 145;0,039;
июль 2019;23 542;0,038;
август 2019;23 732;0,036;
сентябрь 2019;26 916;0,035;
октябрь 2019;25 632;0,033;
ноябрь 2019;25 803;0,033;
декабрь 2019;30 290;0,038;
январь 2020;26 963;0,034;
февраль 2020;27 747;0,032;
март 2020;32 394;0,031;
апрель 2020;27 514;0,029;
май 2020;25 083;0,032;
июнь 2020;24 614;0,034;
июль 2020;24 474;0,034;
август 2020;25 062;0,031;
сентябрь 2020;26 856;0,029;
октябрь 2020;27 410;0,029;
ноябрь 2020;28 832;0,032;
декабрь 2020;32 688;0,036;
январь 2021;33 410;0,038;
февраль 2021;33 620;0,035;
март 2021;35 863;0,036;
апрель 2021;30 395;0,031;
май 2021;34 502;0,037;
июнь 2021;32 730;0,036;
июль 2021;34 320;0,037;
август 2021;37 306;0,038;
сентябрь 2021;36 983;0,035;
октябрь 2021;36 899;0,033;
ноябрь 2021;41 285;0,038;
декабрь 2021;44 217;0,040;
январь 2022;40 227;0,038;
февраль 2022;49 311;0,041;
март 2022;47 333;0,041;
апрель 2022;41 854;0,038;
май 2022;39 286;0,039;
июнь 2022;39 460;0,039;
июль 2022;39 050;0,038;
август 2022;41 738;0,038;
сентябрь 2022;40 635;0,034;
октябрь 2022;41 563;0,035;
ноябрь 2022;46 321;0,040;
декабрь 2022;51 296;0,044;
январь 2023;44 108;0,041;
февраль 2023;41 732;0,035;
март 2023;36 554;0,034;
апрель 2023;35 658;0,033;
май 2023;38 724;0,039;
июнь 2023;41 570;0,042;
июль 2023;41 603;0,042;
август 2023;46 221;0,046;
сентябрь 2023;46 075;0,041;
октябрь 2023;43 693;0,039;
ноябрь 2023;43 165;0,039;
декабрь 2023;48 640;0,043;
январь 2024;44 194;0,042;
февраль 2024;40 414;0,037;
март 2024;38 829;0,038;
апрель 2024;36 482;0,036;
май 2024;35 435;0,039;
июнь 2024;39 646;0,044;
июль 2024;39 377;0,043;
август 2024;41 210;0,044;
сентябрь 2024;47 605;0,045;
октябрь 2024;44 945;0,042;
ноябрь 2024;53 004;0,048;
декабрь 2024;59 263;0,053;
