Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Хабаровский край, все устройства
декабрь 2017;27 202;0,048;
январь 2018;24 386;0,043;
февраль 2018;25 011;0,040;
март 2018;22 050;0,039;
апрель 2018;21 334;0,038;
май 2018;20 393;0,038;
июнь 2018;19 671;0,039;
июль 2018;18 720;0,036;
август 2018;20 088;0,034;
сентябрь 2018;22 110;0,033;
октябрь 2018;20 884;0,034;
ноябрь 2018;20 217;0,034;
декабрь 2018;20 958;0,039;
январь 2019;19 162;0,038;
февраль 2019;17 758;0,034;
март 2019;17 026;0,034;
апрель 2019;14 412;0,030;
май 2019;14 398;0,034;
июнь 2019;15 525;0,040;
июль 2019;14 731;0,038;
август 2019;16 941;0,038;
сентябрь 2019;20 232;0,039;
октябрь 2019;18 083;0,034;
ноябрь 2019;19 604;0,036;
декабрь 2019;23 010;0,041;
январь 2020;19 614;0,036;
февраль 2020;20 149;0,035;
март 2020;22 002;0,029;
апрель 2020;19 668;0,031;
май 2020;19 356;0,034;
июнь 2020;18 667;0,037;
июль 2020;18 293;0,037;
август 2020;17 767;0,033;
сентябрь 2020;20 285;0,032;
октябрь 2020;21 451;0,032;
ноябрь 2020;21 333;0,033;
декабрь 2020;23 984;0,038;
январь 2021;24 604;0,041;
февраль 2021;23 661;0,037;
март 2021;24 201;0,037;
апрель 2021;21 001;0,034;
май 2021;23 445;0,040;
июнь 2021;22 152;0,039;
июль 2021;21 026;0,038;
август 2021;23 853;0,040;
сентябрь 2021;24 405;0,038;
октябрь 2021;23 891;0,036;
ноябрь 2021;27 172;0,039;
декабрь 2021;29 986;0,043;
январь 2022;27 515;0,041;
февраль 2022;32 609;0,044;
март 2022;31 783;0,044;
апрель 2022;28 935;0,041;
май 2022;28 986;0,045;
июнь 2022;27 561;0,045;
июль 2022;24 860;0,040;
август 2022;28 170;0,041;
сентябрь 2022;29 317;0,039;
октябрь 2022;29 609;0,037;
ноябрь 2022;31 275;0,040;
декабрь 2022;32 550;0,042;
январь 2023;29 068;0,040;
февраль 2023;29 686;0,038;
март 2023;28 354;0,038;
апрель 2023;26 242;0,037;
май 2023;27 369;0,043;
июнь 2023;29 526;0,048;
июль 2023;27 404;0,045;
август 2023;30 661;0,047;
сентябрь 2023;33 505;0,046;
октябрь 2023;31 288;0,043;
ноябрь 2023;30 741;0,041;
декабрь 2023;35 658;0,048;
январь 2024;30 843;0,044;
февраль 2024;28 333;0,039;
март 2024;26 658;0,039;
апрель 2024;26 118;0,040;
май 2024;24 460;0,041;
июнь 2024;25 882;0,046;
июль 2024;25 826;0,046;
август 2024;27 436;0,046;
сентябрь 2024;31 681;0,046;
октябрь 2024;31 983;0,045;
ноябрь 2024;37 399;0,050;
декабрь 2024;39 566;0,054;
