Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Мордовия, все устройства
декабрь 2017;12 842;0,043;
январь 2018;10 598;0,036;
февраль 2018;11 139;0,035;
март 2018;10 078;0,036;
апрель 2018;8 917;0,035;
май 2018;9 765;0,040;
июнь 2018;9 441;0,039;
июль 2018;8 628;0,036;
август 2018;9 016;0,031;
сентябрь 2018;11 591;0,035;
октябрь 2018;9 656;0,032;
ноябрь 2018;10 322;0,033;
декабрь 2018;12 121;0,039;
январь 2019;10 838;0,037;
февраль 2019;10 784;0,034;
март 2019;8 827;0,031;
апрель 2019;7 416;0,027;
май 2019;8 637;0,035;
июнь 2019;9 959;0,042;
июль 2019;9 220;0,039;
август 2019;9 785;0,036;
сентябрь 2019;12 832;0,041;
октябрь 2019;10 256;0,032;
ноябрь 2019;12 180;0,035;
декабрь 2019;14 852;0,042;
январь 2020;11 959;0,034;
февраль 2020;11 514;0,032;
март 2020;14 913;0,030;
апрель 2020;12 002;0,029;
май 2020;11 431;0,033;
июнь 2020;10 577;0,035;
июль 2020;10 697;0,035;
август 2020;10 768;0,030;
сентябрь 2020;12 519;0,030;
октябрь 2020;13 223;0,030;
ноябрь 2020;14 277;0,033;
декабрь 2020;15 480;0,038;
январь 2021;15 204;0,038;
февраль 2021;15 098;0,036;
март 2021;15 227;0,036;
апрель 2021;12 948;0,031;
май 2021;14 211;0,038;
июнь 2021;12 635;0,038;
июль 2021;14 237;0,041;
август 2021;16 142;0,039;
сентябрь 2021;16 517;0,037;
октябрь 2021;17 212;0,036;
ноябрь 2021;19 864;0,040;
декабрь 2021;20 970;0,045;
январь 2022;17 570;0,038;
февраль 2022;21 286;0,042;
март 2022;19 322;0,040;
апрель 2022;18 088;0,038;
май 2022;16 850;0,041;
июнь 2022;17 066;0,043;
июль 2022;16 340;0,042;
август 2022;17 944;0,039;
сентябрь 2022;17 980;0,036;
октябрь 2022;18 201;0,036;
ноябрь 2022;21 427;0,042;
декабрь 2022;22 408;0,044;
январь 2023;18 283;0,040;
февраль 2023;17 600;0,035;
март 2023;15 223;0,034;
апрель 2023;14 651;0,032;
май 2023;15 672;0,039;
июнь 2023;17 411;0,044;
июль 2023;17 399;0,046;
август 2023;19 533;0,047;
сентябрь 2023;20 737;0,043;
октябрь 2023;21 063;0,044;
ноябрь 2023;19 538;0,040;
декабрь 2023;21 584;0,046;
январь 2024;20 780;0,047;
февраль 2024;18 246;0,040;
март 2024;16 926;0,040;
апрель 2024;15 283;0,036;
май 2024;14 105;0,040;
июнь 2024;16 447;0,047;
июль 2024;16 005;0,046;
август 2024;17 421;0,046;
сентябрь 2024;19 794;0,045;
октябрь 2024;19 996;0,044;
ноябрь 2024;21 786;0,046;
декабрь 2024;26 420;0,057;
