Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Алтайский край, все устройства
декабрь 2017;74 056;0,087;
январь 2018;66 161;0,081;
февраль 2018;63 867;0,073;
март 2018;55 292;0,070;
апрель 2018;53 848;0,064;
май 2018;46 123;0,066;
июнь 2018;49 144;0,070;
июль 2018;50 506;0,069;
август 2018;53 873;0,065;
сентябрь 2018;64 973;0,068;
октябрь 2018;59 610;0,066;
ноябрь 2018;52 022;0,058;
декабрь 2018;68 889;0,077;
январь 2019;56 818;0,064;
февраль 2019;53 863;0,059;
март 2019;48 226;0,055;
апрель 2019;41 292;0,050;
май 2019;41 737;0,057;
июнь 2019;50 130;0,071;
июль 2019;49 250;0,069;
август 2019;49 625;0,063;
сентябрь 2019;56 454;0,062;
октябрь 2019;51 529;0,055;
ноябрь 2019;50 082;0,050;
декабрь 2019;64 973;0,064;
январь 2020;58 177;0,059;
февраль 2020;56 411;0,052;
март 2020;50 043;0,039;
апрель 2020;47 179;0,041;
май 2020;49 077;0,050;
июнь 2020;47 760;0,052;
июль 2020;46 451;0,052;
август 2020;46 361;0,044;
сентябрь 2020;50 003;0,041;
октябрь 2020;52 975;0,042;
ноябрь 2020;51 801;0,042;
декабрь 2020;61 721;0,052;
январь 2021;61 971;0,055;
февраль 2021;60 875;0,050;
март 2021;58 950;0,049;
апрель 2021;47 161;0,042;
май 2021;55 697;0,050;
июнь 2021;53 056;0,050;
июль 2021;57 348;0,053;
август 2021;59 055;0,051;
сентябрь 2021;59 708;0,046;
октябрь 2021;62 534;0,047;
ноябрь 2021;65 771;0,048;
декабрь 2021;77 236;0,057;
январь 2022;69 943;0,052;
февраль 2022;81 739;0,056;
март 2022;73 435;0,055;
апрель 2022;66 270;0,052;
май 2022;63 780;0,054;
июнь 2022;60 794;0,053;
июль 2022;59 878;0,052;
август 2022;61 216;0,048;
сентябрь 2022;63 179;0,044;
октябрь 2022;65 106;0,044;
ноябрь 2022;66 391;0,045;
декабрь 2022;78 955;0,054;
январь 2023;64 911;0,048;
февраль 2023;66 300;0,045;
март 2023;60 056;0,042;
апрель 2023;54 492;0,041;
май 2023;56 917;0,048;
июнь 2023;57 726;0,050;
июль 2023;60 942;0,052;
август 2023;64 572;0,052;
сентябрь 2023;66 089;0,048;
октябрь 2023;65 542;0,047;
ноябрь 2023;62 213;0,044;
декабрь 2023;76 209;0,054;
январь 2024;64 340;0,048;
февраль 2024;63 805;0,047;
март 2024;57 596;0,046;
апрель 2024;53 574;0,044;
май 2024;48 384;0,046;
июнь 2024;55 088;0,053;
июль 2024;52 704;0,050;
август 2024;57 522;0,051;
сентябрь 2024;65 094;0,050;
октябрь 2024;62 433;0,047;
ноябрь 2024;69 923;0,051;
декабрь 2024;82 982;0,062;
