Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Марий Эл, все устройства
декабрь 2017;8 851;0,043;
январь 2018;7 906;0,040;
февраль 2018;8 223;0,038;
март 2018;7 210;0,036;
апрель 2018;6 931;0,036;
май 2018;6 521;0,036;
июнь 2018;6 931;0,040;
июль 2018;6 078;0,035;
август 2018;6 946;0,034;
сентябрь 2018;8 314;0,035;
октябрь 2018;7 421;0,034;
ноябрь 2018;7 776;0,035;
декабрь 2018;8 914;0,040;
январь 2019;7 956;0,038;
февраль 2019;7 454;0,033;
март 2019;7 209;0,034;
апрель 2019;5 814;0,029;
май 2019;5 883;0,033;
июнь 2019;7 293;0,041;
июль 2019;6 796;0,038;
август 2019;8 028;0,042;
сентябрь 2019;8 937;0,039;
октябрь 2019;7 953;0,034;
ноябрь 2019;8 918;0,036;
декабрь 2019;11 114;0,043;
январь 2020;8 325;0,033;
февраль 2020;8 791;0,032;
март 2020;10 829;0,029;
апрель 2020;8 832;0,028;
май 2020;8 638;0,033;
июнь 2020;7 716;0,034;
июль 2020;8 083;0,035;
август 2020;8 908;0,034;
сентябрь 2020;9 912;0,032;
октябрь 2020;9 712;0,028;
ноябрь 2020;11 068;0,034;
декабрь 2020;12 033;0,040;
январь 2021;11 486;0,039;
февраль 2021;11 146;0,036;
март 2021;11 993;0,038;
апрель 2021;9 235;0,031;
май 2021;10 514;0,038;
июнь 2021;10 230;0,039;
июль 2021;10 532;0,038;
август 2021;13 060;0,043;
сентябрь 2021;12 237;0,037;
октябрь 2021;12 287;0,035;
ноябрь 2021;15 021;0,042;
декабрь 2021;15 584;0,044;
январь 2022;13 339;0,038;
февраль 2022;15 776;0,041;
март 2022;15 000;0,041;
апрель 2022;13 844;0,039;
май 2022;12 820;0,041;
июнь 2022;13 368;0,044;
июль 2022;12 409;0,042;
август 2022;13 640;0,040;
сентябрь 2022;13 503;0,036;
октябрь 2022;13 274;0,035;
ноябрь 2022;15 593;0,040;
декабрь 2022;18 108;0,047;
январь 2023;14 922;0,042;
февраль 2023;14 344;0,037;
март 2023;12 817;0,036;
апрель 2023;11 748;0,033;
май 2023;13 077;0,042;
июнь 2023;13 997;0,046;
июль 2023;13 396;0,044;
август 2023;16 084;0,049;
сентябрь 2023;16 021;0,043;
октябрь 2023;16 194;0,044;
ноябрь 2023;14 694;0,039;
декабрь 2023;16 297;0,044;
январь 2024;15 038;0,044;
февраль 2024;13 731;0,038;
март 2024;12 866;0,038;
апрель 2024;12 118;0,036;
май 2024;11 380;0,041;
июнь 2024;13 058;0,047;
июль 2024;12 430;0,045;
август 2024;13 945;0,047;
сентябрь 2024;15 845;0,046;
октябрь 2024;15 174;0,042;
ноябрь 2024;18 118;0,048;
декабрь 2024;20 340;0,054;
