Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Иркутская область, все устройства
декабрь 2017;40 583;0,042;
январь 2018;39 022;0,041;
февраль 2018;38 295;0,038;
март 2018;35 636;0,039;
апрель 2018;34 406;0,037;
май 2018;29 630;0,037;
июнь 2018;31 381;0,038;
июль 2018;29 664;0,036;
август 2018;30 708;0,032;
сентябрь 2018;36 434;0,032;
октябрь 2018;35 185;0,034;
ноябрь 2018;34 123;0,033;
декабрь 2018;42 088;0,040;
январь 2019;40 767;0,039;
февраль 2019;37 264;0,034;
март 2019;35 731;0,034;
апрель 2019;30 744;0,031;
май 2019;29 440;0,034;
июнь 2019;32 111;0,038;
июль 2019;32 020;0,037;
август 2019;35 539;0,037;
сентябрь 2019;42 015;0,038;
октябрь 2019;36 628;0,033;
ноябрь 2019;38 582;0,033;
декабрь 2019;44 580;0,037;
январь 2020;40 185;0,034;
февраль 2020;40 846;0,033;
март 2020;43 551;0,027;
апрель 2020;39 271;0,028;
май 2020;36 330;0,031;
июнь 2020;34 997;0,034;
июль 2020;35 720;0,033;
август 2020;37 907;0,031;
сентябрь 2020;42 588;0,030;
октябрь 2020;46 182;0,029;
ноябрь 2020;47 934;0,032;
декабрь 2020;53 633;0,038;
январь 2021;51 899;0,039;
февраль 2021;50 697;0,035;
март 2021;53 163;0,037;
апрель 2021;46 334;0,033;
май 2021;48 413;0,038;
июнь 2021;47 042;0,038;
июль 2021;48 794;0,039;
август 2021;51 499;0,038;
сентябрь 2021;54 004;0,036;
октябрь 2021;55 089;0,036;
ноябрь 2021;61 645;0,038;
декабрь 2021;64 885;0,042;
январь 2022;59 851;0,038;
февраль 2022;69 406;0,042;
март 2022;62 693;0,039;
апрель 2022;55 372;0,037;
май 2022;59 080;0,043;
июнь 2022;59 643;0,045;
июль 2022;55 087;0,041;
август 2022;62 056;0,041;
сентябрь 2022;60 611;0,036;
октябрь 2022;64 388;0,037;
ноябрь 2022;67 350;0,039;
декабрь 2022;70 050;0,041;
январь 2023;62 472;0,040;
февраль 2023;63 650;0,037;
март 2023;60 574;0,036;
апрель 2023;56 327;0,036;
май 2023;57 056;0,042;
июнь 2023;62 253;0,048;
июль 2023;59 568;0,045;
август 2023;65 931;0,046;
сентябрь 2023;69 564;0,043;
октябрь 2023;68 393;0,043;
ноябрь 2023;63 975;0,038;
декабрь 2023;72 361;0,045;
январь 2024;65 284;0,042;
февраль 2024;60 389;0,039;
март 2024;59 467;0,039;
апрель 2024;53 679;0,038;
май 2024;49 626;0,041;
июнь 2024;54 999;0,046;
июль 2024;52 009;0,043;
август 2024;57 056;0,042;
сентябрь 2024;67 868;0,044;
октябрь 2024;68 698;0,043;
ноябрь 2024;82 326;0,049;
декабрь 2024;83 579;0,052;
