Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Саратовская область, все устройства
декабрь 2017;49 412;0,049;
январь 2018;41 359;0,041;
февраль 2018;42 604;0,040;
март 2018;35 902;0,037;
апрель 2018;35 577;0,038;
май 2018;34 842;0,039;
июнь 2018;35 998;0,040;
июль 2018;34 040;0,038;
август 2018;35 231;0,033;
сентябрь 2018;41 337;0,035;
октябрь 2018;36 905;0,033;
ноябрь 2018;39 088;0,035;
декабрь 2018;43 373;0,038;
январь 2019;42 366;0,037;
февраль 2019;40 205;0,034;
март 2019;35 727;0,033;
апрель 2019;30 819;0,031;
май 2019;32 844;0,036;
июнь 2019;39 006;0,042;
июль 2019;38 104;0,041;
август 2019;41 826;0,040;
сентябрь 2019;60 555;0,051;
октябрь 2019;42 884;0,036;
ноябрь 2019;43 217;0,036;
декабрь 2019;52 846;0,044;
январь 2020;46 533;0,038;
февраль 2020;45 846;0,035;
март 2020;51 973;0,033;
апрель 2020;43 892;0,030;
май 2020;50 423;0,044;
июнь 2020;40 907;0,039;
июль 2020;40 149;0,037;
август 2020;40 491;0,033;
сентябрь 2020;44 269;0,032;
октябрь 2020;49 199;0,031;
ноябрь 2020;52 188;0,034;
декабрь 2020;58 225;0,039;
январь 2021;61 281;0,042;
февраль 2021;59 218;0,037;
март 2021;59 327;0,039;
апрель 2021;48 592;0,035;
май 2021;59 801;0,043;
июнь 2021;57 333;0,044;
июль 2021;58 606;0,043;
август 2021;62 446;0,043;
сентябрь 2021;61 559;0,038;
октябрь 2021;62 011;0,038;
ноябрь 2021;68 336;0,042;
декабрь 2021;70 835;0,044;
январь 2022;65 356;0,041;
февраль 2022;76 458;0,044;
март 2022;72 212;0,044;
апрель 2022;67 764;0,042;
май 2022;62 444;0,044;
июнь 2022;63 243;0,045;
июль 2022;59 218;0,043;
август 2022;64 681;0,041;
сентябрь 2022;63 494;0,037;
октябрь 2022;69 521;0,041;
ноябрь 2022;85 504;0,050;
декабрь 2022;80 490;0,047;
январь 2023;67 191;0,043;
февраль 2023;63 487;0,038;
март 2023;56 220;0,036;
апрель 2023;56 652;0,036;
май 2023;59 906;0,043;
июнь 2023;64 291;0,047;
июль 2023;64 805;0,048;
август 2023;78 056;0,053;
сентябрь 2023;78 711;0,048;
октябрь 2023;71 747;0,044;
ноябрь 2023;70 775;0,043;
декабрь 2023;77 211;0,047;
январь 2024;69 882;0,045;
февраль 2024;64 801;0,041;
март 2024;58 407;0,040;
апрель 2024;56 914;0,040;
май 2024;52 642;0,042;
июнь 2024;59 052;0,048;
июль 2024;57 339;0,046;
август 2024;61 653;0,046;
сентябрь 2024;72 369;0,047;
октябрь 2024;70 268;0,045;
ноябрь 2024;79 810;0,049;
декабрь 2024;91 521;0,057;
