Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Астраханская область, все устройства
декабрь 2017;19 915;0,062;
январь 2018;15 681;0,051;
февраль 2018;17 528;0,054;
март 2018;14 655;0,052;
апрель 2018;13 884;0,048;
май 2018;14 194;0,053;
июнь 2018;14 091;0,052;
июль 2018;12 696;0,048;
август 2018;13 316;0,044;
сентябрь 2018;14 882;0,043;
октябрь 2018;13 128;0,041;
ноябрь 2018;14 170;0,043;
декабрь 2018;16 952;0,050;
январь 2019;15 335;0,047;
февраль 2019;13 727;0,041;
март 2019;12 600;0,039;
апрель 2019;11 824;0,038;
май 2019;12 669;0,046;
июнь 2019;14 801;0,054;
июль 2019;14 342;0,054;
август 2019;14 910;0,048;
сентябрь 2019;15 551;0,045;
октябрь 2019;13 853;0,040;
ноябрь 2019;15 894;0,042;
декабрь 2019;18 022;0,048;
январь 2020;15 695;0,042;
февраль 2020;14 361;0,037;
март 2020;17 189;0,033;
апрель 2020;15 397;0,032;
май 2020;14 921;0,040;
июнь 2020;14 037;0,042;
июль 2020;14 014;0,042;
август 2020;14 222;0,036;
сентябрь 2020;14 939;0,034;
октябрь 2020;15 816;0,035;
ноябрь 2020;17 163;0,038;
декабрь 2020;18 637;0,044;
январь 2021;18 576;0,045;
февраль 2021;16 637;0,038;
март 2021;17 883;0,040;
апрель 2021;17 167;0,039;
май 2021;19 330;0,045;
июнь 2021;17 011;0,045;
июль 2021;17 948;0,047;
август 2021;21 383;0,048;
сентябрь 2021;20 547;0,042;
октябрь 2021;20 375;0,041;
ноябрь 2021;23 518;0,045;
декабрь 2021;23 963;0,046;
январь 2022;20 963;0,041;
февраль 2022;25 977;0,048;
март 2022;23 814;0,046;
апрель 2022;23 080;0,044;
май 2022;24 542;0,053;
июнь 2022;22 625;0,051;
июль 2022;21 101;0,048;
август 2022;22 432;0,044;
сентябрь 2022;20 689;0,038;
октябрь 2022;22 034;0,040;
ноябрь 2022;25 822;0,043;
декабрь 2022;28 067;0,050;
январь 2023;23 209;0,045;
февраль 2023;21 574;0,040;
март 2023;19 325;0,037;
апрель 2023;19 912;0,038;
май 2023;21 720;0,048;
июнь 2023;22 597;0,051;
июль 2023;23 099;0,053;
август 2023;24 525;0,050;
сентябрь 2023;25 125;0,047;
октябрь 2023;24 776;0,046;
ноябрь 2023;24 788;0,046;
декабрь 2023;27 497;0,051;
январь 2024;23 336;0,046;
февраль 2024;21 792;0,042;
март 2024;19 231;0,041;
апрель 2024;20 001;0,043;
май 2024;18 457;0,045;
июнь 2024;20 168;0,051;
июль 2024;19 031;0,048;
август 2024;20 234;0,047;
сентябрь 2024;22 785;0,047;
октябрь 2024;23 076;0,046;
ноябрь 2024;27 768;0,053;
декабрь 2024;30 554;0,060;
