Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Ростовская область, все устройства
декабрь 2017;79 762;0,044;
январь 2018;73 698;0,039;
февраль 2018;77 247;0,038;
март 2018;63 917;0,037;
апрель 2018;63 620;0,036;
май 2018;64 396;0,039;
июнь 2018;67 225;0,039;
июль 2018;63 325;0,036;
август 2018;63 466;0,033;
сентябрь 2018;74 762;0,033;
октябрь 2018;65 395;0,032;
ноябрь 2018;72 460;0,034;
декабрь 2018;87 151;0,039;
январь 2019;80 721;0,038;
февраль 2019;75 852;0,034;
март 2019;68 354;0,033;
апрель 2019;62 591;0,031;
май 2019;64 326;0,034;
июнь 2019;78 389;0,041;
июль 2019;74 173;0,039;
август 2019;72 019;0,037;
сентябрь 2019;75 386;0,036;
октябрь 2019;67 776;0,032;
ноябрь 2019;78 131;0,035;
декабрь 2019;91 643;0,040;
январь 2020;78 136;0,035;
февраль 2020;74 493;0,033;
март 2020;91 521;0,032;
апрель 2020;84 128;0,030;
май 2020;76 374;0,035;
июнь 2020;73 528;0,036;
июль 2020;74 550;0,035;
август 2020;71 185;0,032;
сентябрь 2020;75 286;0,030;
октябрь 2020;78 140;0,030;
ноябрь 2020;84 628;0,033;
декабрь 2020;95 779;0,038;
январь 2021;96 344;0,040;
февраль 2021;90 841;0,034;
март 2021;94 901;0,037;
апрель 2021;82 445;0,032;
май 2021;96 259;0,038;
июнь 2021;89 758;0,037;
июль 2021;93 593;0,038;
август 2021;103 279;0,040;
сентябрь 2021;98 534;0,036;
октябрь 2021;103 544;0,037;
ноябрь 2021;113 802;0,040;
декабрь 2021;125 140;0,043;
январь 2022;108 723;0,039;
февраль 2022;128 691;0,041;
март 2022;116 199;0,040;
апрель 2022;111 978;0,039;
май 2022;105 563;0,040;
июнь 2022;106 035;0,040;
июль 2022;102 667;0,038;
август 2022;107 555;0,037;
сентябрь 2022;107 916;0,035;
октябрь 2022;110 858;0,035;
ноябрь 2022;123 253;0,039;
декабрь 2022;137 710;0,044;
январь 2023;116 963;0,040;
февраль 2023;112 810;0,036;
март 2023;107 742;0,035;
апрель 2023;102 640;0,034;
май 2023;107 778;0,040;
июнь 2023;112 830;0,042;
июль 2023;112 327;0,042;
август 2023;124 624;0,044;
сентябрь 2023;121 141;0,040;
октябрь 2023;120 883;0,039;
ноябрь 2023;122 323;0,039;
декабрь 2023;137 922;0,044;
январь 2024;123 409;0,042;
февраль 2024;111 789;0,037;
март 2024;105 574;0,038;
апрель 2024;105 149;0,038;
май 2024;98 169;0,039;
июнь 2024;108 028;0,043;
июль 2024;103 634;0,041;
август 2024;112 937;0,043;
сентябрь 2024;125 231;0,043;
октябрь 2024;124 869;0,041;
ноябрь 2024;138 602;0,044;
декабрь 2024;160 493;0,052;
