Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Хакасия, все устройства
декабрь 2017;9 612;0,050;
январь 2018;8 087;0,044;
февраль 2018;7 638;0,039;
март 2018;7 402;0,041;
апрель 2018;7 678;0,041;
май 2018;6 579;0,042;
июнь 2018;6 907;0,040;
июль 2018;6 408;0,037;
август 2018;6 661;0,035;
сентябрь 2018;8 149;0,037;
октябрь 2018;7 507;0,037;
ноябрь 2018;7 298;0,036;
декабрь 2018;8 888;0,044;
январь 2019;7 484;0,038;
февраль 2019;7 386;0,037;
март 2019;7 410;0,037;
апрель 2019;5 979;0,032;
май 2019;5 703;0,034;
июнь 2019;6 853;0,041;
июль 2019;6 479;0,038;
август 2019;7 133;0,040;
сентябрь 2019;8 514;0,041;
октябрь 2019;7 532;0,036;
ноябрь 2019;8 215;0,037;
декабрь 2019;10 134;0,043;
январь 2020;9 346;0,042;
февраль 2020;8 621;0,035;
март 2020;9 081;0,030;
апрель 2020;8 494;0,030;
май 2020;8 156;0,034;
июнь 2020;7 429;0,035;
июль 2020;7 440;0,035;
август 2020;7 703;0,033;
сентябрь 2020;8 735;0,031;
октябрь 2020;9 193;0,030;
ноябрь 2020;9 547;0,033;
декабрь 2020;10 386;0,038;
январь 2021;11 060;0,044;
февраль 2021;10 106;0,038;
март 2021;10 622;0,039;
апрель 2021;10 040;0,037;
май 2021;10 029;0,040;
июнь 2021;8 820;0,037;
июль 2021;9 607;0,039;
август 2021;10 870;0,041;
сентябрь 2021;10 977;0,037;
октябрь 2021;11 666;0,038;
ноябрь 2021;13 944;0,044;
декабрь 2021;13 988;0,044;
январь 2022;12 692;0,040;
февраль 2022;14 949;0,046;
март 2022;14 395;0,046;
апрель 2022;13 254;0,045;
май 2022;12 991;0,047;
июнь 2022;12 584;0,046;
июль 2022;12 363;0,045;
август 2022;13 519;0,045;
сентябрь 2022;12 640;0,039;
октябрь 2022;13 038;0,038;
ноябрь 2022;14 225;0,042;
декабрь 2022;14 815;0,044;
январь 2023;12 478;0,040;
февраль 2023;13 851;0,041;
март 2023;14 596;0,044;
апрель 2023;12 154;0,039;
май 2023;12 649;0,046;
июнь 2023;13 580;0,050;
июль 2023;13 880;0,051;
август 2023;15 474;0,053;
сентябрь 2023;15 479;0,048;
октябрь 2023;14 715;0,046;
ноябрь 2023;13 682;0,041;
декабрь 2023;16 656;0,050;
январь 2024;14 945;0,048;
февраль 2024;12 934;0,041;
март 2024;12 270;0,041;
апрель 2024;10 975;0,039;
май 2024;11 032;0,045;
июнь 2024;13 202;0,053;
июль 2024;11 702;0,047;
август 2024;12 668;0,048;
сентябрь 2024;14 682;0,049;
октябрь 2024;14 846;0,048;
ноябрь 2024;18 141;0,056;
декабрь 2024;20 887;0,065;
