Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим Кыргызстан», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;0;0;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;0;0;
апрель 2018;0;0;
май 2018;6;0,00000151;
июнь 2018;4;0,00000098;
июль 2018;5;0,00000121;
август 2018;0;0;
сентябрь 2018;4;0,00000073;
октябрь 2018;2;0,00000039;
ноябрь 2018;1;0,00000020;
декабрь 2018;0;0;
январь 2019;9;0,00000175;
февраль 2019;10;0,00000180;
март 2019;2;0,00000039;
апрель 2019;4;0,00000083;
май 2019;5;0,00000109;
июнь 2019;4;0,00000087;
июль 2019;0;0;
август 2019;6;0,00000123;
сентябрь 2019;4;0,00000074;
октябрь 2019;1;0,00000018;
ноябрь 2019;3;0,00000053;
декабрь 2019;2;0,00000034;
январь 2020;3;0,00000054;
февраль 2020;1;0,00000015;
март 2020;1;0,00000012;
апрель 2020;4;0,00000054;
май 2020;4;0,00000067;
июнь 2020;2;0,00000036;
июль 2020;0;0;
август 2020;1;0,00000017;
сентябрь 2020;0;0;
октябрь 2020;1;0,00000014;
ноябрь 2020;1;0,00000014;
декабрь 2020;3;0,00000046;
январь 2021;5;0,00000083;
февраль 2021;2;0,00000030;
март 2021;1;0,00000014;
апрель 2021;2;0,00000025;
май 2021;0;0;
июнь 2021;1;0,00000015;
июль 2021;4;0,00000061;
август 2021;3;0,00000038;
сентябрь 2021;2;0,00000023;
октябрь 2021;2;0,00000022;
ноябрь 2021;1;0,00000011;
декабрь 2021;2;0,00000022;
январь 2022;0;0;
февраль 2022;11;0,00000112;
март 2022;2;0,00000021;
апрель 2022;9;0,00000099;
май 2022;6;0,00000073;
июнь 2022;23;0,00000281;
июль 2022;6;0,00000072;
август 2022;5;0,00000054;
сентябрь 2022;10;0,00000106;
октябрь 2022;50;0,00000535;
ноябрь 2022;29;0,00000311;
декабрь 2022;33;0,00000357;
январь 2023;19;0,00000227;
февраль 2023;44;0,00000475;
март 2023;22;0,00000264;
апрель 2023;13;0,00000154;
май 2023;21;0,00000271;
июнь 2023;34;0,00000436;
июль 2023;37;0,00000483;
август 2023;15;0,00000189;
сентябрь 2023;17;0,00000198;
октябрь 2023;17;0,00000203;
ноябрь 2023;14;0,00000165;
декабрь 2023;24;0,00000273;
январь 2024;19;0,00000234;
февраль 2024;16;0,00000185;
март 2024;6;0,00000075;
апрель 2024;19;0,00000240;
май 2024;23;0,00000319;
июнь 2024;16;0,00000221;
июль 2024;45;0,00000621;
август 2024;55;0,00000731;
сентябрь 2024;28;0,00000343;
октябрь 2024;54;0,00000646;
ноябрь 2024;58;0,00000667;
декабрь 2024;42;0,00000476;
