Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Татарстан, все устройства
декабрь 2017;136;0,000088;
январь 2018;160;0,000107;
февраль 2018;190;0,000118;
март 2018;192;0,000127;
апрель 2018;190;0,000133;
май 2018;297;0,000230;
июнь 2018;345;0,000278;
июль 2018;234;0,000187;
август 2018;186;0,000119;
сентябрь 2018;183;0,000101;
октябрь 2018;122;0,000074;
ноябрь 2018;78;0,000048;
декабрь 2018;137;0,000082;
январь 2019;121;0,000077;
февраль 2019;170;0,000100;
март 2019;218;0,000134;
апрель 2019;272;0,000180;
май 2019;229;0,000167;
июнь 2019;275;0,000203;
июль 2019;214;0,000151;
август 2019;196;0,000124;
сентябрь 2019;190;0,000103;
октябрь 2019;161;0,000087;
ноябрь 2019;188;0,000098;
декабрь 2019;217;0,000110;
январь 2020;165;0,000091;
февраль 2020;159;0,000082;
март 2020;42;0,000016;
апрель 2020;94;0,000043;
май 2020;152;0,000086;
июнь 2020;120;0,000073;
июль 2020;161;0,000088;
август 2020;389;0,000180;
сентябрь 2020;250;0,000099;
октябрь 2020;180;0,000073;
ноябрь 2020;161;0,000067;
декабрь 2020;188;0,000079;
январь 2021;179;0,000080;
февраль 2021;359;0,000155;
март 2021;254;0,000111;
апрель 2021;225;0,000109;
май 2021;231;0,000114;
июнь 2021;270;0,000136;
июль 2021;226;0,000109;
август 2021;239;0,000106;
сентябрь 2021;227;0,000092;
октябрь 2021;244;0,000098;
ноябрь 2021;211;0,000082;
декабрь 2021;149;0,000059;
январь 2022;247;0,000101;
февраль 2022;379;0,000138;
март 2022;346;0,000131;
апрель 2022;526;0,000207;
май 2022;526;0,000241;
июнь 2022;557;0,000267;
июль 2022;366;0,000171;
август 2022;952;0,000385;
сентябрь 2022;396;0,000148;
октябрь 2022;297;0,000110;
ноябрь 2022;295;0,000109;
декабрь 2022;302;0,000112;
январь 2023;256;0,000103;
февраль 2023;401;0,000147;
март 2023;352;0,000141;
апрель 2023;415;0,000168;
май 2023;593;0,000275;
июнь 2023;608;0,000288;
июль 2023;403;0,000189;
август 2023;430;0,000179;
сентябрь 2023;429;0,000160;
октябрь 2023;333;0,000126;
ноябрь 2023;262;0,000097;
декабрь 2023;277;0,000105;
январь 2024;330;0,000134;
февраль 2024;276;0,000108;
март 2024;313;0,000131;
апрель 2024;361;0,000154;
май 2024;339;0,000173;
июнь 2024;353;0,000181;
июль 2024;330;0,000168;
август 2024;268;0,000124;
сентябрь 2024;303;0,000122;
октябрь 2024;264;0,000102;
ноябрь 2024;237;0,000088;
декабрь 2024;245;0,000090;
