Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ростовская область, все устройства
декабрь 2017;133;0,000074;
январь 2018;128;0,000068;
февраль 2018;131;0,000065;
март 2018;122;0,000072;
апрель 2018;157;0,000090;
май 2018;191;0,000117;
июнь 2018;249;0,000145;
июль 2018;207;0,000120;
август 2018;226;0,000118;
сентябрь 2018;287;0,000128;
октябрь 2018;202;0,000101;
ноябрь 2018;270;0,000126;
декабрь 2018;295;0,000133;
январь 2019;259;0,000123;
февраль 2019;316;0,000144;
март 2019;245;0,000120;
апрель 2019;254;0,000126;
май 2019;269;0,000144;
июнь 2019;323;0,000169;
июль 2019;249;0,000131;
август 2019;249;0,000128;
сентябрь 2019;239;0,000116;
октябрь 2019;252;0,000121;
ноябрь 2019;217;0,000099;
декабрь 2019;278;0,000122;
январь 2020;142;0,000064;
февраль 2020;119;0,000052;
март 2020;41;0,000014;
апрель 2020;107;0,000038;
май 2020;149;0,000068;
июнь 2020;92;0,000045;
июль 2020;113;0,000053;
август 2020;234;0,000106;
сентябрь 2020;146;0,000059;
октябрь 2020;165;0,000064;
ноябрь 2020;191;0,000074;
декабрь 2020;206;0,000082;
январь 2021;272;0,000115;
февраль 2021;243;0,000093;
март 2021;225;0,000088;
апрель 2021;205;0,000081;
май 2021;292;0,000116;
июнь 2021;227;0,000093;
июль 2021;265;0,000108;
август 2021;183;0,000072;
сентябрь 2021;162;0,000060;
октябрь 2021;193;0,000070;
ноябрь 2021;164;0,000057;
декабрь 2021;176;0,000061;
январь 2022;178;0,000064;
февраль 2022;268;0,000086;
март 2022;279;0,000098;
апрель 2022;316;0,000110;
май 2022;280;0,000106;
июнь 2022;306;0,000116;
июль 2022;247;0,000092;
август 2022;478;0,000167;
сентябрь 2022;240;0,000079;
октябрь 2022;152;0,000049;
ноябрь 2022;173;0,000055;
декабрь 2022;211;0,000068;
январь 2023;200;0,000069;
февраль 2023;266;0,000085;
март 2023;261;0,000086;
апрель 2023;264;0,000089;
май 2023;344;0,000128;
июнь 2023;215;0,000081;
июль 2023;202;0,000076;
август 2023;155;0,000055;
сентябрь 2023;173;0,000057;
октябрь 2023;155;0,000051;
ноябрь 2023;191;0,000062;
декабрь 2023;257;0,000082;
январь 2024;192;0,000066;
февраль 2024;189;0,000063;
март 2024;220;0,000080;
апрель 2024;215;0,000078;
май 2024;264;0,000105;
июнь 2024;206;0,000083;
июль 2024;127;0,000050;
август 2024;138;0,000052;
сентябрь 2024;154;0,000053;
октябрь 2024;201;0,000066;
ноябрь 2024;136;0,000043;
декабрь 2024;183;0,000059;
