Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Иркутская область, все устройства
декабрь 2017;129;0,000134;
январь 2018;130;0,000138;
февраль 2018;156;0,000157;
март 2018;203;0,000222;
апрель 2018;241;0,000262;
май 2018;253;0,000316;
июнь 2018;278;0,000342;
июль 2018;342;0,000418;
август 2018;214;0,000225;
сентябрь 2018;224;0,000202;
октябрь 2018;223;0,000218;
ноябрь 2018;220;0,000212;
декабрь 2018;210;0,000201;
январь 2019;186;0,000179;
февраль 2019;190;0,000178;
март 2019;244;0,000235;
апрель 2019;164;0,000169;
май 2019;210;0,000243;
июнь 2019;206;0,000246;
июль 2019;227;0,000269;
август 2019;186;0,000195;
сентябрь 2019;194;0,000177;
октябрь 2019;177;0,000160;
ноябрь 2019;180;0,000154;
декабрь 2019;318;0,000270;
январь 2020;204;0,000176;
февраль 2020;116;0,000093;
март 2020;25;0,000015;
апрель 2020;73;0,000052;
май 2020;126;0,000110;
июнь 2020;40;0,000038;
июль 2020;103;0,000097;
август 2020;244;0,000199;
сентябрь 2020;133;0,000094;
октябрь 2020;158;0,000100;
ноябрь 2020;105;0,000072;
декабрь 2020;171;0,000123;
январь 2021;134;0,000101;
февраль 2021;188;0,000132;
март 2021;195;0,000136;
апрель 2021;348;0,000254;
май 2021;249;0,000199;
июнь 2021;219;0,000179;
июль 2021;299;0,000239;
август 2021;182;0,000136;
сентябрь 2021;256;0,000174;
октябрь 2021;161;0,000106;
ноябрь 2021;135;0,000084;
декабрь 2021;182;0,000117;
январь 2022;149;0,000096;
февраль 2022;362;0,000219;
март 2022;358;0,000225;
апрель 2022;457;0,000305;
май 2022;564;0,000415;
июнь 2022;508;0,000384;
июль 2022;436;0,000325;
август 2022;859;0,000569;
сентябрь 2022;510;0,000311;
октябрь 2022;291;0,000169;
ноябрь 2022;258;0,000151;
декабрь 2022;272;0,000161;
январь 2023;212;0,000137;
февраль 2023;328;0,000194;
март 2023;395;0,000240;
апрель 2023;527;0,000340;
май 2023;546;0,000407;
июнь 2023;618;0,000483;
июль 2023;435;0,000334;
август 2023;330;0,000230;
сентябрь 2023;356;0,000224;
октябрь 2023;339;0,000214;
ноябрь 2023;276;0,000166;
декабрь 2023;298;0,000185;
январь 2024;285;0,000185;
февраль 2024;298;0,000192;
март 2024;295;0,000196;
апрель 2024;254;0,000182;
май 2024;283;0,000235;
июнь 2024;272;0,000230;
июль 2024;199;0,000167;
август 2024;166;0,000124;
сентябрь 2024;204;0,000134;
октябрь 2024;132;0,000084;
ноябрь 2024;113;0,000067;
декабрь 2024;140;0,000088;
