Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Пермский край, все устройства
декабрь 2017;73;0,000066;
январь 2018;103;0,000093;
февраль 2018;129;0,000108;
март 2018;142;0,000129;
апрель 2018;191;0,000176;
май 2018;311;0,000320;
июнь 2018;208;0,000228;
июль 2018;143;0,000150;
август 2018;67;0,000061;
сентябрь 2018;97;0,000074;
октябрь 2018;103;0,000089;
ноябрь 2018;80;0,000070;
декабрь 2018;84;0,000072;
январь 2019;86;0,000074;
февраль 2019;84;0,000071;
март 2019;118;0,000103;
апрель 2019;166;0,000161;
май 2019;118;0,000124;
июнь 2019;90;0,000096;
июль 2019;89;0,000091;
август 2019;69;0,000067;
сентябрь 2019;75;0,000063;
октябрь 2019;64;0,000054;
ноябрь 2019;83;0,000068;
декабрь 2019;100;0,000082;
январь 2020;79;0,000066;
февраль 2020;48;0,000037;
март 2020;38;0,000022;
апрель 2020;66;0,000047;
май 2020;54;0,000044;
июнь 2020;41;0,000037;
июль 2020;67;0,000061;
август 2020;90;0,000073;
сентябрь 2020;100;0,000071;
октябрь 2020;100;0,000065;
ноябрь 2020;65;0,000042;
декабрь 2020;76;0,000055;
январь 2021;112;0,000082;
февраль 2021;243;0,000167;
март 2021;164;0,000109;
апрель 2021;177;0,000121;
май 2021;244;0,000177;
июнь 2021;125;0,000099;
июль 2021;120;0,000096;
август 2021;78;0,000051;
сентябрь 2021;99;0,000060;
октябрь 2021;81;0,000048;
ноябрь 2021;85;0,000048;
декабрь 2021;105;0,000061;
январь 2022;109;0,000063;
февраль 2022;145;0,000078;
март 2022;152;0,000086;
апрель 2022;211;0,000124;
май 2022;320;0,000206;
июнь 2022;222;0,000156;
июль 2022;152;0,000105;
август 2022;300;0,000181;
сентябрь 2022;128;0,000071;
октябрь 2022;111;0,000061;
ноябрь 2022;86;0,000046;
декабрь 2022;144;0,000080;
январь 2023;90;0,000053;
февраль 2023;141;0,000076;
март 2023;171;0,000099;
апрель 2023;142;0,000086;
май 2023;236;0,000157;
июнь 2023;216;0,000151;
июль 2023;128;0,000090;
август 2023;90;0,000058;
сентябрь 2023;81;0,000046;
октябрь 2023;104;0,000060;
ноябрь 2023;99;0,000055;
декабрь 2023;113;0,000065;
январь 2024;99;0,000059;
февраль 2024;110;0,000065;
март 2024;77;0,000047;
апрель 2024;133;0,000084;
май 2024;212;0,000160;
июнь 2024;197;0,000149;
июль 2024;130;0,000098;
август 2024;83;0,000057;
сентябрь 2024;91;0,000055;
октябрь 2024;92;0,000054;
ноябрь 2024;87;0,000049;
декабрь 2024;71;0,000041;
