Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ярославская область, все устройства
декабрь 2017;23;0,000038;
январь 2018;49;0,000082;
февраль 2018;58;0,000088;
март 2018;54;0,000090;
апрель 2018;43;0,000074;
май 2018;51;0,000093;
июнь 2018;51;0,000093;
июль 2018;54;0,000098;
август 2018;34;0,000052;
сентябрь 2018;51;0,000069;
октябрь 2018;46;0,000068;
ноябрь 2018;24;0,000036;
декабрь 2018;59;0,000085;
январь 2019;33;0,000050;
февраль 2019;67;0,000095;
март 2019;65;0,000099;
апрель 2019;65;0,000101;
май 2019;59;0,000099;
июнь 2019;86;0,000141;
июль 2019;93;0,000152;
август 2019;53;0,000081;
сентябрь 2019;73;0,000099;
октябрь 2019;60;0,000083;
ноябрь 2019;23;0,000031;
декабрь 2019;31;0,000041;
январь 2020;28;0,000039;
февраль 2020;42;0,000053;
март 2020;28;0,000028;
апрель 2020;25;0,000028;
май 2020;33;0,000046;
июнь 2020;24;0,000034;
июль 2020;31;0,000046;
август 2020;60;0,000081;
сентябрь 2020;49;0,000058;
октябрь 2020;73;0,000084;
ноябрь 2020;37;0,000044;
декабрь 2020;51;0,000062;
январь 2021;63;0,000078;
февраль 2021;61;0,000068;
март 2021;43;0,000047;
апрель 2021;56;0,000062;
май 2021;60;0,000071;
июнь 2021;44;0,000055;
июль 2021;66;0,000080;
август 2021;36;0,000039;
сентябрь 2021;47;0,000048;
октябрь 2021;39;0,000038;
ноябрь 2021;34;0,000033;
декабрь 2021;54;0,000052;
январь 2022;53;0,000052;
февраль 2022;114;0,000102;
март 2022;74;0,000070;
апрель 2022;130;0,000125;
май 2022;107;0,000115;
июнь 2022;153;0,000170;
июль 2022;76;0,000083;
август 2022;196;0,000193;
сентябрь 2022;115;0,000106;
октябрь 2022;98;0,000090;
ноябрь 2022;55;0,000051;
декабрь 2022;105;0,000097;
январь 2023;59;0,000059;
февраль 2023;87;0,000079;
март 2023;45;0,000045;
апрель 2023;78;0,000079;
май 2023;83;0,000091;
июнь 2023;100;0,000111;
июль 2023;67;0,000076;
август 2023;54;0,000058;
сентябрь 2023;64;0,000061;
октябрь 2023;56;0,000054;
ноябрь 2023;59;0,000057;
декабрь 2023;72;0,000068;
январь 2024;49;0,000050;
февраль 2024;75;0,000073;
март 2024;45;0,000047;
апрель 2024;73;0,000080;
май 2024;121;0,000149;
июнь 2024;90;0,000112;
июль 2024;68;0,000085;
август 2024;35;0,000041;
сентябрь 2024;78;0,000080;
октябрь 2024;69;0,000068;
ноябрь 2024;70;0,000067;
декабрь 2024;69;0,000066;
