Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Самарская область, все устройства
декабрь 2017;210;0,000135;
январь 2018;143;0,000085;
февраль 2018;268;0,000133;
март 2018;283;0,000150;
апрель 2018;324;0,000180;
май 2018;510;0,000303;
июнь 2018;474;0,000269;
июль 2018;383;0,000219;
август 2018;263;0,000130;
сентябрь 2018;344;0,000149;
октябрь 2018;308;0,000144;
ноябрь 2018;225;0,000104;
декабрь 2018;245;0,000111;
январь 2019;248;0,000115;
февраль 2019;319;0,000143;
март 2019;279;0,000132;
апрель 2019;358;0,000177;
май 2019;408;0,000223;
июнь 2019;426;0,000231;
июль 2019;354;0,000186;
август 2019;254;0,000125;
сентябрь 2019;274;0,000127;
октябрь 2019;287;0,000136;
ноябрь 2019;323;0,000153;
декабрь 2019;316;0,000149;
январь 2020;284;0,000138;
февраль 2020;190;0,000083;
март 2020;93;0,000032;
апрель 2020;168;0,000068;
май 2020;298;0,000160;
июнь 2020;137;0,000085;
июль 2020;197;0,000120;
август 2020;338;0,000186;
сентябрь 2020;181;0,000088;
октябрь 2020;161;0,000072;
ноябрь 2020;167;0,000074;
декабрь 2020;207;0,000103;
январь 2021;242;0,000127;
февраль 2021;378;0,000177;
март 2021;407;0,000195;
апрель 2021;426;0,000216;
май 2021;401;0,000204;
июнь 2021;366;0,000191;
июль 2021;338;0,000172;
август 2021;253;0,000121;
сентябрь 2021;333;0,000142;
октябрь 2021;282;0,000119;
ноябрь 2021;226;0,000096;
декабрь 2021;259;0,000112;
январь 2022;364;0,000156;
февраль 2022;656;0,000256;
март 2022;554;0,000236;
апрель 2022;759;0,000326;
май 2022;909;0,000438;
июнь 2022;736;0,000364;
июль 2022;596;0,000292;
август 2022;981;0,000431;
сентябрь 2022;589;0,000241;
октябрь 2022;403;0,000161;
ноябрь 2022;407;0,000161;
декабрь 2022;378;0,000152;
январь 2023;375;0,000165;
февраль 2023;475;0,000193;
март 2023;434;0,000190;
апрель 2023;455;0,000202;
май 2023;675;0,000329;
июнь 2023;638;0,000316;
июль 2023;434;0,000216;
август 2023;344;0,000161;
сентябрь 2023;260;0,000108;
октябрь 2023;283;0,000120;
ноябрь 2023;224;0,000093;
декабрь 2023;314;0,000131;
январь 2024;395;0,000175;
февраль 2024;316;0,000136;
март 2024;340;0,000158;
апрель 2024;430;0,000203;
май 2024;457;0,000248;
июнь 2024;466;0,000255;
июль 2024;324;0,000175;
август 2024;211;0,000109;
сентябрь 2024;266;0,000118;
октябрь 2024;312;0,000133;
ноябрь 2024;321;0,000133;
декабрь 2024;284;0,000118;
