Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Рязанская область, все устройства
декабрь 2017;58;0,000114;
январь 2018;39;0,000078;
февраль 2018;46;0,000084;
март 2018;53;0,000109;
апрель 2018;73;0,000155;
май 2018;85;0,000193;
июнь 2018;69;0,000155;
июль 2018;75;0,000168;
август 2018;47;0,000091;
сентябрь 2018;61;0,000102;
октябрь 2018;73;0,000133;
ноябрь 2018;49;0,000090;
декабрь 2018;88;0,000158;
январь 2019;84;0,000158;
февраль 2019;92;0,000161;
март 2019;87;0,000165;
апрель 2019;95;0,000193;
май 2019;103;0,000227;
июнь 2019;96;0,000206;
июль 2019;92;0,000194;
август 2019;64;0,000125;
сентябрь 2019;80;0,000138;
октябрь 2019;60;0,000103;
ноябрь 2019;70;0,000115;
декабрь 2019;86;0,000138;
январь 2020;67;0,000110;
февраль 2020;72;0,000107;
март 2020;28;0,000031;
апрель 2020;43;0,000054;
май 2020;55;0,000088;
июнь 2020;50;0,000086;
июль 2020;72;0,000125;
август 2020;58;0,000090;
сентябрь 2020;56;0,000076;
октябрь 2020;54;0,000070;
ноябрь 2020;71;0,000094;
декабрь 2020;64;0,000086;
январь 2021;69;0,000095;
февраль 2021;121;0,000149;
март 2021;104;0,000124;
апрель 2021;107;0,000129;
май 2021;98;0,000128;
июнь 2021;88;0,000127;
июль 2021;83;0,000115;
август 2021;123;0,000150;
сентябрь 2021;75;0,000088;
октябрь 2021;73;0,000083;
ноябрь 2021;52;0,000059;
декабрь 2021;73;0,000083;
январь 2022;104;0,000117;
февраль 2022;148;0,000155;
март 2022;150;0,000166;
апрель 2022;171;0,000196;
май 2022;244;0,000312;
июнь 2022;174;0,000226;
июль 2022;116;0,000150;
август 2022;351;0,000409;
сентябрь 2022;146;0,000160;
октябрь 2022;124;0,000134;
ноябрь 2022;94;0,000102;
декабрь 2022;98;0,000107;
январь 2023;101;0,000120;
февраль 2023;148;0,000161;
март 2023;115;0,000137;
апрель 2023;166;0,000198;
май 2023;167;0,000206;
июнь 2023;143;0,000179;
июль 2023;161;0,000209;
август 2023;116;0,000143;
сентябрь 2023;84;0,000093;
октябрь 2023;83;0,000092;
ноябрь 2023;71;0,000077;
декабрь 2023;96;0,000103;
январь 2024;104;0,000118;
февраль 2024;99;0,000110;
март 2024;71;0,000087;
апрель 2024;106;0,000132;
май 2024;114;0,000159;
июнь 2024;222;0,000301;
июль 2024;218;0,000291;
август 2024;162;0,000208;
сентябрь 2024;192;0,000220;
октябрь 2024;231;0,000253;
ноябрь 2024;183;0,000195;
декабрь 2024;213;0,000224;
