Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Коми, все устройства
декабрь 2017;13;0,0000349;
январь 2018;26;0,0000695;
февраль 2018;27;0,0000661;
март 2018;49;0,0001285;
апрель 2018;8;0,0000213;
май 2018;25;0,0000772;
июнь 2018;25;0,0000833;
июль 2018;20;0,0000645;
август 2018;15;0,0000398;
сентябрь 2018;13;0,0000294;
октябрь 2018;19;0,0000476;
ноябрь 2018;17;0,0000430;
декабрь 2018;21;0,0000510;
январь 2019;24;0,0000609;
февраль 2019;11;0,0000269;
март 2019;26;0,0000652;
апрель 2019;28;0,0000749;
май 2019;46;0,0001429;
июнь 2019;20;0,0000658;
июль 2019;22;0,0000731;
август 2019;14;0,0000412;
сентябрь 2019;18;0,0000454;
октябрь 2019;19;0,0000478;
ноябрь 2019;7;0,0000172;
декабрь 2019;11;0,0000265;
январь 2020;16;0,0000397;
февраль 2020;28;0,0000613;
март 2020;3;0,0000052;
апрель 2020;7;0,0000131;
май 2020;10;0,0000252;
июнь 2020;9;0,0000263;
июль 2020;4;0,0000117;
август 2020;21;0,0000537;
сентябрь 2020;5;0,0000109;
октябрь 2020;28;0,0000586;
ноябрь 2020;10;0,0000214;
декабрь 2020;17;0,0000370;
январь 2021;17;0,0000378;
февраль 2021;40;0,0000866;
март 2021;14;0,0000286;
апрель 2021;24;0,0000487;
май 2021;39;0,0000895;
июнь 2021;22;0,0000588;
июль 2021;22;0,0000574;
август 2021;21;0,0000446;
сентябрь 2021;14;0,0000260;
октябрь 2021;11;0,0000202;
ноябрь 2021;14;0,0000252;
декабрь 2021;6;0,0000107;
январь 2022;22;0,0000403;
февраль 2022;40;0,0000680;
март 2022;21;0,0000372;
апрель 2022;47;0,0000860;
май 2022;52;0,0001118;
июнь 2022;37;0,0000865;
июль 2022;15;0,0000349;
август 2022;86;0,0001702;
сентябрь 2022;30;0,0000532;
октябрь 2022;21;0,0000369;
ноябрь 2022;13;0,0000228;
декабрь 2022;26;0,0000456;
январь 2023;29;0,0000547;
февраль 2023;38;0,0000655;
март 2023;15;0,0000269;
апрель 2023;30;0,0000567;
май 2023;28;0,0000615;
июнь 2023;12;0,0000284;
июль 2023;20;0,0000487;
август 2023;38;0,0000816;
сентябрь 2023;30;0,0000564;
октябрь 2023;15;0,0000286;
ноябрь 2023;11;0,0000204;
декабрь 2023;12;0,0000220;
январь 2024;23;0,0000450;
февраль 2024;22;0,0000422;
март 2024;16;0,0000314;
апрель 2024;17;0,0000346;
май 2024;13;0,0000327;
июнь 2024;20;0,0000536;
июль 2024;15;0,0000405;
август 2024;17;0,0000405;
сентябрь 2024;22;0,0000449;
октябрь 2024;9;0,0000177;
ноябрь 2024;18;0,0000342;
декабрь 2024;25;0,0000488;
