Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Калмыкия, все устройства
декабрь 2017;3;0,0000463;
январь 2018;9;0,0001418;
февраль 2018;3;0,0000433;
март 2018;3;0,0000490;
апрель 2018;5;0,0000827;
май 2018;10;0,0001688;
июнь 2018;24;0,0003910;
июль 2018;15;0,0002618;
август 2018;10;0,0001663;
сентябрь 2018;5;0,0000703;
октябрь 2018;8;0,0001197;
ноябрь 2018;2;0,0000290;
декабрь 2018;3;0,0000418;
январь 2019;6;0,0000892;
февраль 2019;6;0,0000845;
март 2019;1;0,0000148;
апрель 2019;4;0,0000607;
май 2019;32;0,0005265;
июнь 2019;9;0,0001478;
июль 2019;6;0,0001001;
август 2019;0;0;
сентябрь 2019;4;0,0000586;
октябрь 2019;4;0,0000571;
ноябрь 2019;2;0,0000268;
декабрь 2019;3;0,0000381;
январь 2020;2;0,0000267;
февраль 2020;3;0,0000370;
март 2020;1;0,0000089;
апрель 2020;6;0,0000564;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;2;0,0000261;
август 2020;2;0,0000238;
сентябрь 2020;3;0,0000308;
октябрь 2020;15;0,0001472;
ноябрь 2020;9;0,0000913;
декабрь 2020;5;0,0000515;
январь 2021;4;0,0000459;
февраль 2021;24;0,0002498;
март 2021;3;0,0000312;
апрель 2021;12;0,0001231;
май 2021;24;0,0002535;
июнь 2021;7;0,0000797;
июль 2021;8;0,0000905;
август 2021;4;0,0000415;
сентябрь 2021;8;0,0000761;
октябрь 2021;5;0,0000451;
ноябрь 2021;4;0,0000332;
декабрь 2021;6;0,0000493;
январь 2022;7;0,0000579;
февраль 2022;19;0,0001569;
март 2022;8;0,0000702;
апрель 2022;9;0,0000783;
май 2022;11;0,0001067;
июнь 2022;19;0,0001828;
июль 2022;12;0,0001166;
август 2022;58;0,0005302;
сентябрь 2022;22;0,0001856;
октябрь 2022;23;0,0001885;
ноябрь 2022;10;0,0000752;
декабрь 2022;12;0,0000984;
январь 2023;7;0,0000634;
февраль 2023;11;0,0000930;
март 2023;13;0,0001146;
апрель 2023;3;0,0000262;
май 2023;19;0,0001875;
июнь 2023;10;0,0000975;
июль 2023;22;0,0002161;
август 2023;10;0,0000957;
сентябрь 2023;17;0,0001478;
октябрь 2023;13;0,0001117;
ноябрь 2023;11;0,0000937;
декабрь 2023;13;0,0001085;
январь 2024;13;0,0001179;
февраль 2024;4;0,0000354;
март 2024;11;0,0001051;
апрель 2024;12;0,0001142;
май 2024;8;0,0000871;
июнь 2024;15;0,0001591;
июль 2024;8;0,0000873;
август 2024;7;0,0000726;
сентябрь 2024;10;0,0000940;
октябрь 2024;7;0,0000627;
ноябрь 2024;2;0,0000170;
декабрь 2024;10;0,0000836;
