Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Башкортостан, все устройства
декабрь 2017;65;0,000041;
январь 2018;71;0,000046;
февраль 2018;95;0,000056;
март 2018;80;0,000052;
апрель 2018;137;0,000092;
май 2018;152;0,000113;
июнь 2018;173;0,000136;
июль 2018;130;0,000095;
август 2018;51;0,000033;
сентябрь 2018;65;0,000036;
октябрь 2018;66;0,000039;
ноябрь 2018;65;0,000039;
декабрь 2018;80;0,000047;
январь 2019;53;0,000032;
февраль 2019;88;0,000050;
март 2019;96;0,000059;
апрель 2019;144;0,000093;
май 2019;223;0,000161;
июнь 2019;111;0,000080;
июль 2019;133;0,000093;
август 2019;65;0,000041;
сентябрь 2019;69;0,000038;
октябрь 2019;98;0,000053;
ноябрь 2019;70;0,000037;
декабрь 2019;101;0,000052;
январь 2020;91;0,000049;
февраль 2020;84;0,000042;
март 2020;64;0,000023;
апрель 2020;66;0,000029;
май 2020;52;0,000029;
июнь 2020;55;0,000033;
июль 2020;82;0,000047;
август 2020;155;0,000078;
сентябрь 2020;86;0,000038;
октябрь 2020;66;0,000025;
ноябрь 2020;48;0,000020;
декабрь 2020;106;0,000048;
январь 2021;117;0,000054;
февраль 2021;120;0,000050;
март 2021;152;0,000066;
апрель 2021;155;0,000074;
май 2021;128;0,000063;
июнь 2021;130;0,000064;
июль 2021;159;0,000076;
август 2021;151;0,000066;
сентябрь 2021;71;0,000028;
октябрь 2021;109;0,000043;
ноябрь 2021;81;0,000031;
декабрь 2021;130;0,000052;
январь 2022;115;0,000045;
февраль 2022;210;0,000075;
март 2022;209;0,000081;
апрель 2022;300;0,000119;
май 2022;327;0,000145;
июнь 2022;269;0,000129;
июль 2022;327;0,000154;
август 2022;440;0,000179;
сентябрь 2022;277;0,000104;
октябрь 2022;209;0,000076;
ноябрь 2022;155;0,000055;
декабрь 2022;173;0,000064;
январь 2023;180;0,000071;
февраль 2023;193;0,000070;
март 2023;231;0,000092;
апрель 2023;264;0,000109;
май 2023;270;0,000123;
июнь 2023;287;0,000134;
июль 2023;186;0,000088;
август 2023;161;0,000068;
сентябрь 2023;255;0,000096;
октябрь 2023;165;0,000063;
ноябрь 2023;121;0,000045;
декабрь 2023;233;0,000088;
январь 2024;141;0,000057;
февраль 2024;185;0,000073;
март 2024;155;0,000067;
апрель 2024;223;0,000098;
май 2024;250;0,000128;
июнь 2024;213;0,000108;
июль 2024;188;0,000095;
август 2024;126;0,000060;
сентябрь 2024;118;0,000048;
октябрь 2024;144;0,000057;
ноябрь 2024;109;0,000041;
декабрь 2024;125;0,000049;
