Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Курская область, все устройства
декабрь 2017;35;0,0000742;
январь 2018;32;0,0000680;
февраль 2018;37;0,0000723;
март 2018;48;0,0001079;
апрель 2018;59;0,0001337;
май 2018;82;0,0001996;
июнь 2018;89;0,0002100;
июль 2018;30;0,0000741;
август 2018;44;0,0000913;
сентябрь 2018;35;0,0000626;
октябрь 2018;40;0,0000788;
ноябрь 2018;27;0,0000534;
декабрь 2018;32;0,0000613;
январь 2019;36;0,0000715;
февраль 2019;51;0,0000961;
март 2019;36;0,0000743;
апрель 2019;53;0,0001127;
май 2019;34;0,0000809;
июнь 2019;44;0,0001028;
июль 2019;58;0,0001389;
август 2019;16;0,0000349;
сентябрь 2019;44;0,0000848;
октябрь 2019;51;0,0000964;
ноябрь 2019;30;0,0000532;
декабрь 2019;69;0,0001204;
январь 2020;51;0,0000928;
февраль 2020;25;0,0000426;
март 2020;5;0,0000067;
апрель 2020;13;0,0000182;
май 2020;31;0,0000566;
июнь 2020;23;0,0000448;
июль 2020;45;0,0000896;
август 2020;57;0,0001008;
сентябрь 2020;21;0,0000315;
октябрь 2020;39;0,0000505;
ноябрь 2020;18;0,0000237;
декабрь 2020;18;0,0000268;
январь 2021;50;0,0000765;
февраль 2021;116;0,0001607;
март 2021;81;0,0001116;
апрель 2021;124;0,0001737;
май 2021;56;0,0000835;
июнь 2021;55;0,0000891;
июль 2021;48;0,0000760;
август 2021;32;0,0000446;
сентябрь 2021;58;0,0000748;
октябрь 2021;31;0,0000358;
ноябрь 2021;97;0,0001169;
декабрь 2021;71;0,0000853;
январь 2022;54;0,0000631;
февраль 2022;73;0,0000821;
март 2022;48;0,0000570;
апрель 2022;58;0,0000713;
май 2022;116;0,0001622;
июнь 2022;59;0,0000838;
июль 2022;63;0,0000896;
август 2022;219;0,0002715;
сентябрь 2022;98;0,0001122;
октябрь 2022;43;0,0000492;
ноябрь 2022;56;0,0000642;
декабрь 2022;77;0,0000884;
январь 2023;106;0,0001314;
февраль 2023;124;0,0001413;
март 2023;101;0,0001240;
апрель 2023;91;0,0001156;
май 2023;89;0,0001233;
июнь 2023;91;0,0001301;
июль 2023;61;0,0000898;
август 2023;57;0,0000776;
сентябрь 2023;46;0,0000550;
октябрь 2023;56;0,0000674;
ноябрь 2023;28;0,0000337;
декабрь 2023;57;0,0000675;
январь 2024;66;0,0000828;
февраль 2024;96;0,0001194;
март 2024;45;0,0000599;
апрель 2024;44;0,0000601;
май 2024;57;0,0000883;
июнь 2024;54;0,0000858;
июль 2024;34;0,0000566;
август 2024;25;0,0000335;
сентябрь 2024;22;0,0000272;
октябрь 2024;33;0,0000397;
ноябрь 2024;32;0,0000368;
декабрь 2024;57;0,0000670;
