Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Архангельская область, все устройства
декабрь 2017;8;0,0000191;
январь 2018;3;0,0000073;
февраль 2018;18;0,0000404;
март 2018;9;0,0000214;
апрель 2018;6;0,0000149;
май 2018;10;0,0000277;
июнь 2018;13;0,0000385;
июль 2018;10;0,0000282;
август 2018;16;0,0000376;
сентябрь 2018;14;0,0000284;
октябрь 2018;8;0,0000180;
ноябрь 2018;4;0,0000090;
декабрь 2018;12;0,0000260;
январь 2019;2;0,0000046;
февраль 2019;12;0,0000261;
март 2019;11;0,0000245;
апрель 2019;9;0,0000216;
май 2019;14;0,0000382;
июнь 2019;17;0,0000480;
июль 2019;5;0,0000142;
август 2019;5;0,0000126;
сентябрь 2019;10;0,0000217;
октябрь 2019;18;0,0000395;
ноябрь 2019;13;0,0000273;
декабрь 2019;15;0,0000307;
январь 2020;15;0,0000320;
февраль 2020;13;0,0000251;
март 2020;19;0,0000268;
апрель 2020;15;0,0000246;
май 2020;8;0,0000175;
июнь 2020;4;0,0000096;
июль 2020;3;0,0000074;
август 2020;6;0,0000125;
сентябрь 2020;3;0,0000054;
октябрь 2020;10;0,0000172;
ноябрь 2020;13;0,0000228;
декабрь 2020;9;0,0000162;
январь 2021;11;0,0000208;
февраль 2021;27;0,0000485;
март 2021;10;0,0000165;
апрель 2021;30;0,0000488;
май 2021;4;0,0000074;
июнь 2021;8;0,0000178;
июль 2021;15;0,0000320;
август 2021;14;0,0000236;
сентябрь 2021;13;0,0000193;
октябрь 2021;7;0,0000103;
ноябрь 2021;5;0,0000069;
декабрь 2021;12;0,0000171;
январь 2022;16;0,0000230;
февраль 2022;32;0,0000433;
март 2022;33;0,0000453;
апрель 2022;17;0,0000243;
май 2022;25;0,0000419;
июнь 2022;15;0,0000267;
июль 2022;32;0,0000575;
август 2022;48;0,0000719;
сентябрь 2022;27;0,0000372;
октябрь 2022;33;0,0000448;
ноябрь 2022;11;0,0000148;
декабрь 2022;34;0,0000465;
январь 2023;21;0,0000312;
февраль 2023;43;0,0000585;
март 2023;23;0,0000324;
апрель 2023;27;0,0000405;
май 2023;14;0,0000241;
июнь 2023;15;0,0000268;
июль 2023;18;0,0000332;
август 2023;37;0,0000597;
сентябрь 2023;22;0,0000316;
октябрь 2023;10;0,0000143;
ноябрь 2023;24;0,0000337;
декабрь 2023;27;0,0000379;
январь 2024;15;0,0000223;
февраль 2024;15;0,0000218;
март 2024;27;0,0000400;
апрель 2024;25;0,0000392;
май 2024;17;0,0000323;
июнь 2024;13;0,0000257;
июль 2024;18;0,0000358;
август 2024;13;0,0000228;
сентябрь 2024;14;0,0000214;
октябрь 2024;5;0,0000073;
ноябрь 2024;32;0,0000448;
декабрь 2024;17;0,0000246;
