Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Кировская область, все устройства
декабрь 2017;25;0,0000502;
январь 2018;8;0,0000162;
февраль 2018;8;0,0000150;
март 2018;23;0,0000454;
апрель 2018;16;0,0000320;
май 2018;38;0,0000806;
июнь 2018;27;0,0000592;
июль 2018;37;0,0000819;
август 2018;19;0,0000356;
сентябрь 2018;17;0,0000282;
октябрь 2018;16;0,0000296;
ноябрь 2018;8;0,0000147;
декабрь 2018;34;0,0000622;
январь 2019;20;0,0000384;
февраль 2019;18;0,0000324;
март 2019;8;0,0000151;
апрель 2019;16;0,0000324;
май 2019;24;0,0000530;
июнь 2019;39;0,0000848;
июль 2019;11;0,0000232;
август 2019;27;0,0000512;
сентябрь 2019;10;0,0000169;
октябрь 2019;11;0,0000188;
ноябрь 2019;7;0,0000120;
декабрь 2019;8;0,0000133;
январь 2020;15;0,0000256;
февраль 2020;3;0,0000046;
март 2020;17;0,0000204;
апрель 2020;15;0,0000191;
май 2020;24;0,0000400;
июнь 2020;4;0,0000075;
июль 2020;10;0,0000189;
август 2020;24;0,0000395;
сентябрь 2020;19;0,0000273;
октябрь 2020;14;0,0000191;
ноябрь 2020;7;0,0000099;
декабрь 2020;10;0,0000147;
январь 2021;16;0,0000244;
февраль 2021;19;0,0000272;
март 2021;32;0,0000443;
апрель 2021;15;0,0000212;
май 2021;41;0,0000622;
июнь 2021;32;0,0000519;
июль 2021;29;0,0000457;
август 2021;18;0,0000249;
сентябрь 2021;9;0,0000114;
октябрь 2021;9;0,0000112;
ноябрь 2021;22;0,0000265;
декабрь 2021;10;0,0000122;
январь 2022;13;0,0000163;
февраль 2022;14;0,0000160;
март 2022;14;0,0000168;
апрель 2022;39;0,0000475;
май 2022;42;0,0000578;
июнь 2022;112;0,0001597;
июль 2022;36;0,0000491;
август 2022;72;0,0000865;
сентябрь 2022;48;0,0000542;
октябрь 2022;28;0,0000332;
ноябрь 2022;34;0,0000406;
декабрь 2022;47;0,0000557;
январь 2023;36;0,0000463;
февраль 2023;35;0,0000404;
март 2023;29;0,0000362;
апрель 2023;38;0,0000484;
май 2023;217;0,0003046;
июнь 2023;70;0,0000997;
июль 2023;15;0,0000218;
август 2023;19;0,0000255;
сентябрь 2023;34;0,0000410;
октябрь 2023;18;0,0000220;
ноябрь 2023;20;0,0000240;
декабрь 2023;26;0,0000313;
январь 2024;15;0,0000195;
февраль 2024;46;0,0000580;
март 2024;26;0,0000342;
апрель 2024;39;0,0000524;
май 2024;25;0,0000396;
июнь 2024;24;0,0000382;
июль 2024;40;0,0000640;
август 2024;17;0,0000251;
сентябрь 2024;14;0,0000182;
октябрь 2024;22;0,0000277;
ноябрь 2024;11;0,0000137;
декабрь 2024;28;0,0000346;
