Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;6 124;0,00048;
январь 2018;5 462;0,00041;
февраль 2018;6 577;0,00046;
март 2018;6 385;0,00050;
апрель 2018;7 990;0,00063;
май 2018;10 523;0,00090;
июнь 2018;14 395;0,00120;
июль 2018;11 929;0,00100;
август 2018;9 336;0,00067;
сентябрь 2018;8 448;0,00053;
октябрь 2018;7 094;0,00047;
ноябрь 2018;7 254;0,00048;
декабрь 2018;7 732;0,00051;
январь 2019;5 905;0,00042;
февраль 2019;7 008;0,00049;
март 2019;7 174;0,00053;
апрель 2019;7 891;0,00061;
май 2019;8 985;0,00075;
июнь 2019;10 059;0,00080;
июль 2019;8 699;0,00074;
август 2019;7 768;0,00058;
сентябрь 2019;7 144;0,00048;
октябрь 2019;6 278;0,00043;
ноябрь 2019;8 356;0,00056;
декабрь 2019;7 525;0,00050;
январь 2020;6 319;0,00042;
февраль 2020;7 884;0,00050;
март 2020;3 842;0,00022;
апрель 2020;4 296;0,00027;
май 2020;6 110;0,00043;
июнь 2020;3 452;0,00025;
июль 2020;7 311;0,00054;
август 2020;14 445;0,00093;
сентябрь 2020;8 944;0,00051;
октябрь 2020;6 769;0,00036;
ноябрь 2020;5 946;0,00033;
декабрь 2020;7 006;0,00043;
январь 2021;7 021;0,00044;
февраль 2021;8 192;0,00047;
март 2021;8 385;0,00049;
апрель 2021;9 337;0,00061;
май 2021;8 828;0,00059;
июнь 2021;9 514;0,00058;
июль 2021;9 440;0,00055;
август 2021;7 075;0,00041;
сентябрь 2021;7 093;0,00041;
октябрь 2021;6 231;0,00037;
ноябрь 2021;6 505;0,00038;
декабрь 2021;7 420;0,00043;
январь 2022;6 978;0,00039;
февраль 2022;18 428;0,00101;
март 2022;10 960;0,00065;
апрель 2022;13 729;0,00077;
май 2022;12 596;0,00082;
июнь 2022;13 949;0,00097;
июль 2022;14 259;0,00092;
август 2022;30 404;0,00177;
сентябрь 2022;13 911;0,00083;
октябрь 2022;8 854;0,00052;
ноябрь 2022;8 045;0,00049;
декабрь 2022;6 761;0,00043;
январь 2023;5 859;0,00040;
февраль 2023;7 065;0,00043;
март 2023;7 065;0,00049;
апрель 2023;9 318;0,00065;
май 2023;11 188;0,00086;
июнь 2023;7 836;0,00064;
июль 2023;7 661;0,00062;
август 2023;6 002;0,00044;
сентябрь 2023;6 115;0,00039;
октябрь 2023;5 508;0,00036;
ноябрь 2023;5 717;0,00037;
декабрь 2023;5 287;0,00033;
январь 2024;5 468;0,00038;
февраль 2024;5 717;0,00038;
март 2024;5 945;0,00043;
апрель 2024;7 720;0,00055;
май 2024;7 397;0,00063;
июнь 2024;7 828;0,00069;
июль 2024;6 675;0,00059;
август 2024;4 809;0,00038;
сентябрь 2024;5 296;0,00037;
октябрь 2024;5 252;0,00034;
ноябрь 2024;5 977;0,00039;
декабрь 2024;5 027;0,00034;
