Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Мордовия, все устройства
декабрь 2017;28;0,0000940;
январь 2018;10;0,0000342;
февраль 2018;11;0,0000355;
март 2018;18;0,0000645;
апрель 2018;10;0,0000393;
май 2018;31;0,0001287;
июнь 2018;15;0,0000632;
июль 2018;16;0,0000676;
август 2018;9;0,0000318;
сентябрь 2018;9;0,0000272;
октябрь 2018;6;0,0000199;
ноябрь 2018;7;0,0000228;
декабрь 2018;17;0,0000548;
январь 2019;15;0,0000515;
февраль 2019;9;0,0000290;
март 2019;8;0,0000286;
апрель 2019;16;0,0000600;
май 2019;25;0,0001040;
июнь 2019;11;0,0000466;
июль 2019;10;0,0000423;
август 2019;13;0,0000483;
сентябрь 2019;21;0,0000677;
октябрь 2019;13;0,0000412;
ноябрь 2019;8;0,0000232;
декабрь 2019;18;0,0000516;
январь 2020;34;0,0000983;
февраль 2020;22;0,0000613;
март 2020;3;0,0000061;
апрель 2020;3;0,0000072;
май 2020;12;0,0000347;
июнь 2020;12;0,0000401;
июль 2020;20;0,0000667;
август 2020;11;0,0000308;
сентябрь 2020;10;0,0000242;
октябрь 2020;20;0,0000456;
ноябрь 2020;7;0,0000161;
декабрь 2020;8;0,0000197;
январь 2021;11;0,0000280;
февраль 2021;28;0,0000672;
март 2021;33;0,0000794;
апрель 2021;19;0,0000467;
май 2021;19;0,0000512;
июнь 2021;29;0,0000880;
июль 2021;12;0,0000347;
август 2021;11;0,0000270;
сентябрь 2021;19;0,0000428;
октябрь 2021;22;0,0000468;
ноябрь 2021;6;0,0000123;
декабрь 2021;11;0,0000237;
январь 2022;30;0,0000657;
февраль 2022;14;0,0000278;
март 2022;15;0,0000316;
апрель 2022;41;0,0000868;
май 2022;32;0,0000789;
июнь 2022;27;0,0000693;
июль 2022;20;0,0000523;
август 2022;49;0,0001077;
сентябрь 2022;25;0,0000511;
октябрь 2022;18;0,0000359;
ноябрь 2022;30;0,0000590;
декабрь 2022;22;0,0000439;
январь 2023;16;0,0000354;
февраль 2023;35;0,0000709;
март 2023;17;0,0000379;
апрель 2023;31;0,0000683;
май 2023;30;0,0000749;
июнь 2023;19;0,0000489;
июль 2023;11;0,0000295;
август 2023;27;0,0000650;
сентябрь 2023;27;0,0000564;
октябрь 2023;25;0,0000531;
ноябрь 2023;9;0,0000187;
декабрь 2023;44;0,0000940;
январь 2024;19;0,0000436;
февраль 2024;36;0,0000805;
март 2024;24;0,0000577;
апрель 2024;36;0,0000864;
май 2024;13;0,0000371;
июнь 2024;29;0,0000836;
июль 2024;21;0,0000608;
август 2024;15;0,0000404;
сентябрь 2024;22;0,0000509;
октябрь 2024;17;0,0000377;
ноябрь 2024;9;0,0000190;
декабрь 2024;24;0,0000522;
