Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Воронежская область, все устройства
декабрь 2017;182;0,000164;
январь 2018;134;0,000123;
февраль 2018;184;0,000154;
март 2018;157;0,000151;
апрель 2018;244;0,000238;
май 2018;203;0,000212;
июнь 2018;254;0,000263;
июль 2018;239;0,000245;
август 2018;250;0,000223;
сентябрь 2018;173;0,000133;
октябрь 2018;153;0,000129;
ноябрь 2018;112;0,000094;
декабрь 2018;201;0,000167;
январь 2019;194;0,000163;
февраль 2019;243;0,000199;
март 2019;180;0,000163;
апрель 2019;211;0,000199;
май 2019;225;0,000233;
июнь 2019;212;0,000212;
июль 2019;184;0,000186;
август 2019;192;0,000175;
сентябрь 2019;173;0,000134;
октябрь 2019;170;0,000129;
ноябрь 2019;200;0,000148;
декабрь 2019;270;0,000199;
январь 2020;223;0,000168;
февраль 2020;162;0,000116;
март 2020;59;0,000034;
апрель 2020;96;0,000064;
май 2020;125;0,000098;
июнь 2020;97;0,000081;
июль 2020;145;0,000125;
август 2020;283;0,000211;
сентябрь 2020;169;0,000109;
октябрь 2020;150;0,000086;
ноябрь 2020;165;0,000103;
декабрь 2020;173;0,000113;
январь 2021;255;0,000173;
февраль 2021;375;0,000231;
март 2021;221;0,000141;
апрель 2021;391;0,000251;
май 2021;343;0,000227;
июнь 2021;268;0,000189;
июль 2021;328;0,000230;
август 2021;228;0,000143;
сентябрь 2021;281;0,000156;
октябрь 2021;194;0,000106;
ноябрь 2021;170;0,000092;
декабрь 2021;225;0,000124;
январь 2022;169;0,000091;
февраль 2022;379;0,000191;
март 2022;293;0,000162;
апрель 2022;382;0,000211;
май 2022;451;0,000280;
июнь 2022;420;0,000264;
июль 2022;400;0,000249;
август 2022;602;0,000334;
сентябрь 2022;324;0,000166;
октябрь 2022;218;0,000112;
ноябрь 2022;169;0,000087;
декабрь 2022;214;0,000111;
январь 2023;184;0,000103;
февраль 2023;249;0,000128;
март 2023;287;0,000159;
апрель 2023;338;0,000192;
май 2023;323;0,000201;
июнь 2023;335;0,000212;
июль 2023;193;0,000126;
август 2023;203;0,000123;
сентябрь 2023;176;0,000094;
октябрь 2023;173;0,000094;
ноябрь 2023;158;0,000086;
декабрь 2023;216;0,000116;
январь 2024;235;0,000134;
февраль 2024;225;0,000126;
март 2024;188;0,000114;
апрель 2024;254;0,000155;
май 2024;274;0,000190;
июнь 2024;268;0,000189;
июль 2024;225;0,000157;
август 2024;108;0,000069;
сентябрь 2024;126;0,000072;
октябрь 2024;178;0,000098;
ноябрь 2024;157;0,000083;
декабрь 2024;190;0,000103;
