Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Марий Эл, все устройства
декабрь 2017;3;0,0000148;
январь 2018;3;0,0000152;
февраль 2018;17;0,0000795;
март 2018;7;0,0000355;
апрель 2018;15;0,0000789;
май 2018;6;0,0000338;
июнь 2018;20;0,0001172;
июль 2018;2;0,0000116;
август 2018;2;0,0000099;
сентябрь 2018;7;0,0000298;
октябрь 2018;1;0,0000046;
ноябрь 2018;9;0,0000409;
декабрь 2018;9;0,0000409;
январь 2019;3;0,0000144;
февраль 2019;10;0,0000445;
март 2019;0;0;
апрель 2019;8;0,0000410;
май 2019;18;0,0001014;
июнь 2019;17;0,0000960;
июль 2019;5;0,0000282;
август 2019;10;0,0000525;
сентябрь 2019;4;0,0000175;
октябрь 2019;5;0,0000219;
ноябрь 2019;5;0,0000204;
декабрь 2019;4;0,0000155;
январь 2020;13;0,0000527;
февраль 2020;3;0,0000111;
март 2020;4;0,0000109;
апрель 2020;11;0,0000356;
май 2020;3;0,0000117;
июнь 2020;3;0,0000134;
июль 2020;0;0;
август 2020;13;0,0000500;
сентябрь 2020;7;0,0000229;
октябрь 2020;3;0,0000087;
ноябрь 2020;4;0,0000123;
декабрь 2020;6;0,0000200;
январь 2021;8;0,0000277;
февраль 2021;3;0,0000097;
март 2021;9;0,0000287;
апрель 2021;23;0,0000777;
май 2021;4;0,0000144;
июнь 2021;3;0,0000117;
июль 2021;7;0,0000258;
август 2021;7;0,0000232;
сентябрь 2021;5;0,0000151;
октябрь 2021;5;0,0000146;
ноябрь 2021;9;0,0000255;
декабрь 2021;2;0,0000056;
январь 2022;13;0,0000376;
февраль 2022;17;0,0000447;
март 2022;19;0,0000527;
апрель 2022;15;0,0000424;
май 2022;38;0,0001227;
июнь 2022;39;0,0001306;
июль 2022;11;0,0000372;
август 2022;32;0,0000940;
сентябрь 2022;9;0,0000243;
октябрь 2022;18;0,0000479;
ноябрь 2022;10;0,0000260;
декабрь 2022;20;0,0000527;
январь 2023;16;0,0000459;
февраль 2023;25;0,0000651;
март 2023;13;0,0000372;
апрель 2023;15;0,0000430;
май 2023;19;0,0000616;
июнь 2023;19;0,0000629;
июль 2023;24;0,0000805;
август 2023;25;0,0000770;
сентябрь 2023;38;0,0001038;
октябрь 2023;34;0,0000934;
ноябрь 2023;18;0,0000483;
декабрь 2023;24;0,0000655;
январь 2024;33;0,0000966;
февраль 2024;17;0,0000479;
март 2024;13;0,0000391;
апрель 2024;14;0,0000426;
май 2024;19;0,0000693;
июнь 2024;33;0,0001209;
июль 2024;18;0,0000658;
август 2024;11;0,0000375;
сентябрь 2024;20;0,0000583;
октябрь 2024;23;0,0000645;
ноябрь 2024;8;0,0000213;
декабрь 2024;16;0,0000432;
