Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Тамбовская область, все устройства
декабрь 2017;13;0,0000379;
январь 2018;21;0,0000613;
февраль 2018;43;0,0001156;
март 2018;27;0,0000818;
апрель 2018;34;0,0001076;
май 2018;30;0,0001015;
июнь 2018;35;0,0001153;
июль 2018;22;0,0000742;
август 2018;18;0,0000514;
сентябрь 2018;19;0,0000469;
октябрь 2018;24;0,0000645;
ноябрь 2018;21;0,0000555;
декабрь 2018;30;0,0000733;
январь 2019;19;0,0000487;
февраль 2019;30;0,0000725;
март 2019;40;0,0001091;
апрель 2019;43;0,0001236;
май 2019;41;0,0001292;
июнь 2019;43;0,0001293;
июль 2019;24;0,0000729;
август 2019;33;0,0000933;
сентябрь 2019;36;0,0000896;
октябрь 2019;67;0,0001639;
ноябрь 2019;22;0,0000510;
декабрь 2019;50;0,0001134;
январь 2020;24;0,0000561;
февраль 2020;26;0,0000568;
март 2020;3;0,0000050;
апрель 2020;7;0,0000137;
май 2020;28;0,0000681;
июнь 2020;14;0,0000363;
июль 2020;27;0,0000701;
август 2020;19;0,0000440;
сентябрь 2020;11;0,0000219;
октябрь 2020;26;0,0000483;
ноябрь 2020;8;0,0000153;
декабрь 2020;27;0,0000533;
январь 2021;27;0,0000536;
февраль 2021;45;0,0000817;
март 2021;31;0,0000563;
апрель 2021;54;0,0000992;
май 2021;49;0,0000965;
июнь 2021;60;0,0001269;
июль 2021;36;0,0000744;
август 2021;33;0,0000594;
сентябрь 2021;26;0,0000418;
октябрь 2021;33;0,0000528;
ноябрь 2021;40;0,0000620;
декабрь 2021;22;0,0000342;
январь 2022;44;0,0000697;
февраль 2022;87;0,0001264;
март 2022;51;0,0000802;
апрель 2022;78;0,0001237;
май 2022;138;0,0002504;
июнь 2022;83;0,0001490;
июль 2022;65;0,0001178;
август 2022;116;0,0001845;
сентябрь 2022;69;0,0001008;
октябрь 2022;56;0,0000821;
ноябрь 2022;43;0,0000614;
декабрь 2022;26;0,0000378;
январь 2023;36;0,0000573;
февраль 2023;49;0,0000718;
март 2023;71;0,0001139;
апрель 2023;64;0,0001053;
май 2023;78;0,0001395;
июнь 2023;50;0,0000893;
июль 2023;48;0,0000892;
август 2023;34;0,0000588;
сентябрь 2023;52;0,0000794;
октябрь 2023;22;0,0000340;
ноябрь 2023;29;0,0000445;
декабрь 2023;32;0,0000482;
январь 2024;44;0,0000710;
февраль 2024;34;0,0000543;
март 2024;64;0,0001117;
апрель 2024;54;0,0000953;
май 2024;37;0,0000749;
июнь 2024;45;0,0000904;
июль 2024;30;0,0000598;
август 2024;42;0,0000795;
сентябрь 2024;23;0,0000384;
октябрь 2024;35;0,0000560;
ноябрь 2024;32;0,0000496;
декабрь 2024;59;0,0000911;
