Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Хабаровский край, все устройства
декабрь 2017;63;0,000111;
январь 2018;56;0,000099;
февраль 2018;80;0,000129;
март 2018;78;0,000140;
апрель 2018;86;0,000156;
май 2018;112;0,000212;
июнь 2018;137;0,000274;
июль 2018;115;0,000222;
август 2018;112;0,000194;
сентябрь 2018;127;0,000190;
октябрь 2018;126;0,000206;
ноябрь 2018;53;0,000090;
декабрь 2018;48;0,000090;
январь 2019;44;0,000088;
февраль 2019;84;0,000161;
март 2019;47;0,000094;
апрель 2019;70;0,000149;
май 2019;84;0,000200;
июнь 2019;49;0,000126;
июль 2019;36;0,000093;
август 2019;30;0,000068;
сентябрь 2019;67;0,000130;
октябрь 2019;65;0,000123;
ноябрь 2019;48;0,000088;
декабрь 2019;37;0,000067;
январь 2020;20;0,000037;
февраль 2020;27;0,000047;
март 2020;10;0,000013;
апрель 2020;44;0,000069;
май 2020;42;0,000075;
июнь 2020;28;0,000056;
июль 2020;44;0,000090;
август 2020;69;0,000129;
сентябрь 2020;72;0,000116;
октябрь 2020;41;0,000061;
ноябрь 2020;33;0,000051;
декабрь 2020;41;0,000065;
январь 2021;59;0,000099;
февраль 2021;51;0,000080;
март 2021;43;0,000067;
апрель 2021;42;0,000068;
май 2021;47;0,000080;
июнь 2021;48;0,000085;
июль 2021;55;0,000100;
август 2021;49;0,000083;
сентябрь 2021;46;0,000072;
октябрь 2021;34;0,000051;
ноябрь 2021;26;0,000037;
декабрь 2021;56;0,000081;
январь 2022;34;0,000050;
февраль 2022;93;0,000125;
март 2022;67;0,000093;
апрель 2022;39;0,000055;
май 2022;64;0,000100;
июнь 2022;56;0,000092;
июль 2022;61;0,000100;
август 2022;211;0,000307;
сентябрь 2022;164;0,000221;
октябрь 2022;77;0,000096;
ноябрь 2022;39;0,000050;
декабрь 2022;64;0,000083;
январь 2023;49;0,000068;
февраль 2023;47;0,000061;
март 2023;40;0,000054;
апрель 2023;54;0,000076;
май 2023;64;0,000101;
июнь 2023;78;0,000128;
июль 2023;83;0,000138;
август 2023;44;0,000067;
сентябрь 2023;84;0,000117;
октябрь 2023;65;0,000090;
ноябрь 2023;43;0,000058;
декабрь 2023;60;0,000082;
январь 2024;33;0,000047;
февраль 2024;70;0,000098;
март 2024;51;0,000075;
апрель 2024;52;0,000079;
май 2024;47;0,000080;
июнь 2024;65;0,000115;
июль 2024;41;0,000074;
август 2024;38;0,000064;
сентябрь 2024;68;0,000099;
октябрь 2024;64;0,000091;
ноябрь 2024;44;0,000059;
декабрь 2024;46;0,000063;
