Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Алтай, все устройства
декабрь 2017;15;0,000259;
январь 2018;15;0,000272;
февраль 2018;25;0,000418;
март 2018;42;0,000718;
апрель 2018;61;0,000988;
май 2018;91;0,001702;
июнь 2018;75;0,001329;
июль 2018;60;0,001100;
август 2018;27;0,000464;
сентябрь 2018;34;0,000482;
октябрь 2018;15;0,000225;
ноябрь 2018;19;0,000284;
декабрь 2018;16;0,000248;
январь 2019;25;0,000379;
февраль 2019;31;0,000457;
март 2019;49;0,000731;
апрель 2019;80;0,001255;
май 2019;67;0,001190;
июнь 2019;62;0,001102;
июль 2019;34;0,000613;
август 2019;21;0,000357;
сентябрь 2019;32;0,000458;
октябрь 2019;24;0,000327;
ноябрь 2019;31;0,000384;
декабрь 2019;17;0,000204;
январь 2020;30;0,000380;
февраль 2020;20;0,000227;
март 2020;19;0,000167;
апрель 2020;30;0,000335;
май 2020;28;0,000331;
июнь 2020;11;0,000137;
июль 2020;28;0,000361;
август 2020;55;0,000626;
сентябрь 2020;17;0,000161;
октябрь 2020;6;0,000051;
ноябрь 2020;21;0,000196;
декабрь 2020;39;0,000408;
январь 2021;31;0,000346;
февраль 2021;46;0,000473;
март 2021;50;0,000506;
апрель 2021;46;0,000466;
май 2021;74;0,000765;
июнь 2021;26;0,000291;
июль 2021;34;0,000385;
август 2021;32;0,000328;
сентябрь 2021;20;0,000176;
октябрь 2021;26;0,000224;
ноябрь 2021;49;0,000403;
декабрь 2021;13;0,000108;
январь 2022;29;0,000239;
февраль 2022;42;0,000328;
март 2022;64;0,000533;
апрель 2022;74;0,000636;
май 2022;116;0,001044;
июнь 2022;118;0,001053;
июль 2022;72;0,000379;
август 2022;106;0,000818;
сентябрь 2022;75;0,000591;
октябрь 2022;62;0,000455;
ноябрь 2022;72;0,000532;
декабрь 2022;55;0,000415;
январь 2023;49;0,000397;
февраль 2023;55;0,000407;
март 2023;53;0,000401;
апрель 2023;64;0,000506;
май 2023;82;0,000730;
июнь 2023;91;0,000776;
июль 2023;99;0,000836;
август 2023;41;0,000348;
сентябрь 2023;27;0,000211;
октябрь 2023;50;0,000393;
ноябрь 2023;31;0,000233;
декабрь 2023;52;0,000400;
январь 2024;48;0,000387;
февраль 2024;38;0,000306;
март 2024;40;0,000337;
апрель 2024;51;0,000438;
май 2024;76;0,000738;
июнь 2024;65;0,000600;
июль 2024;67;0,000628;
август 2024;52;0,000487;
сентябрь 2024;40;0,000331;
октябрь 2024;24;0,000191;
ноябрь 2024;37;0,000279;
декабрь 2024;37;0,000291;
