Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Калужская область, все устройства
декабрь 2017;53;0,000111;
январь 2018;84;0,000181;
февраль 2018;134;0,000261;
март 2018;98;0,000218;
апрель 2018;66;0,000150;
май 2018;118;0,000278;
июнь 2018;213;0,000488;
июль 2018;114;0,000262;
август 2018;58;0,000118;
сентябрь 2018;79;0,000141;
октябрь 2018;74;0,000145;
ноябрь 2018;88;0,000173;
декабрь 2018;75;0,000140;
январь 2019;65;0,000128;
февраль 2019;98;0,000182;
март 2019;61;0,000123;
апрель 2019;95;0,000199;
май 2019;117;0,000266;
июнь 2019;122;0,000270;
июль 2019;100;0,000222;
август 2019;85;0,000178;
сентябрь 2019;105;0,000194;
октябрь 2019;80;0,000146;
ноябрь 2019;97;0,000170;
декабрь 2019;111;0,000189;
январь 2020;71;0,000126;
февраль 2020;74;0,000120;
март 2020;45;0,000057;
апрель 2020;42;0,000058;
май 2020;78;0,000131;
июнь 2020;57;0,000103;
июль 2020;63;0,000115;
август 2020;106;0,000181;
сентябрь 2020;94;0,000140;
октябрь 2020;83;0,000121;
ноябрь 2020;82;0,000123;
декабрь 2020;121;0,000184;
январь 2021;133;0,000212;
февраль 2021;190;0,000270;
март 2021;115;0,000160;
апрель 2021;135;0,000186;
май 2021;176;0,000253;
июнь 2021;136;0,000206;
июль 2021;125;0,000183;
август 2021;111;0,000152;
сентябрь 2021;105;0,000134;
октябрь 2021;123;0,000154;
ноябрь 2021;101;0,000124;
декабрь 2021;69;0,000084;
январь 2022;152;0,000194;
февраль 2022;221;0,000248;
март 2022;186;0,000215;
апрель 2022;213;0,000257;
май 2022;227;0,000299;
июнь 2022;229;0,000301;
июль 2022;155;0,000203;
август 2022;454;0,000550;
сентябрь 2022;186;0,000211;
октябрь 2022;118;0,000134;
ноябрь 2022;112;0,000129;
декабрь 2022;136;0,000155;
январь 2023;111;0,000138;
февраль 2023;164;0,000187;
март 2023;193;0,000240;
апрель 2023;190;0,000237;
май 2023;248;0,000333;
июнь 2023;202;0,000269;
июль 2023;115;0,000155;
август 2023;73;0,000096;
сентябрь 2023;100;0,000119;
октябрь 2023;99;0,000121;
ноябрь 2023;114;0,000140;
декабрь 2023;169;0,000202;
январь 2024;104;0,000133;
февраль 2024;140;0,000175;
март 2024;152;0,000201;
апрель 2024;172;0,000232;
май 2024;130;0,000192;
июнь 2024;145;0,000212;
июль 2024;115;0,000169;
август 2024;90;0,000129;
сентябрь 2024;95;0,000123;
октябрь 2024;171;0,000206;
ноябрь 2024;184;0,000214;
декабрь 2024;238;0,000270;
