Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Владимирская область, все устройства
декабрь 2017;69;0,000113;
январь 2018;62;0,000105;
февраль 2018;62;0,000096;
март 2018;70;0,000120;
апрель 2018;77;0,000137;
май 2018;94;0,000174;
июнь 2018;108;0,000195;
июль 2018;79;0,000139;
август 2018;54;0,000086;
сентябрь 2018;58;0,000081;
октябрь 2018;58;0,000089;
ноябрь 2018;72;0,000111;
декабрь 2018;93;0,000137;
январь 2019;106;0,000165;
февраль 2019;74;0,000107;
март 2019;60;0,000095;
апрель 2019;95;0,000158;
май 2019;89;0,000157;
июнь 2019;88;0,000149;
июль 2019;122;0,000207;
август 2019;49;0,000080;
сентябрь 2019;70;0,000101;
октябрь 2019;77;0,000111;
ноябрь 2019;55;0,000076;
декабрь 2019;94;0,000125;
январь 2020;63;0,000087;
февраль 2020;86;0,000104;
март 2020;16;0,000014;
апрель 2020;50;0,000049;
май 2020;49;0,000062;
июнь 2020;28;0,000038;
июль 2020;54;0,000075;
август 2020;118;0,000152;
сентябрь 2020;93;0,000103;
октябрь 2020;59;0,000062;
ноябрь 2020;53;0,000058;
декабрь 2020;86;0,000095;
январь 2021;106;0,000123;
февраль 2021;130;0,000135;
март 2021;166;0,000172;
апрель 2021;144;0,000154;
май 2021;125;0,000140;
июнь 2021;90;0,000103;
июль 2021;109;0,000120;
август 2021;72;0,000077;
сентябрь 2021;84;0,000086;
октябрь 2021;77;0,000076;
ноябрь 2021;62;0,000061;
декабрь 2021;86;0,000083;
январь 2022;84;0,000083;
февраль 2022;159;0,000145;
март 2022;165;0,000159;
апрель 2022;188;0,000182;
май 2022;181;0,000194;
июнь 2022;156;0,000165;
июль 2022;157;0,000165;
август 2022;390;0,000384;
сентябрь 2022;227;0,000211;
октябрь 2022;126;0,000117;
ноябрь 2022;108;0,000101;
декабрь 2022;125;0,000115;
январь 2023;90;0,000091;
февраль 2023;146;0,000135;
март 2023;114;0,000114;
апрель 2023;218;0,000216;
май 2023;239;0,000243;
июнь 2023;214;0,000205;
июль 2023;135;0,000132;
август 2023;151;0,000143;
сентябрь 2023;121;0,000103;
октябрь 2023;82;0,000072;
ноябрь 2023;98;0,000085;
декабрь 2023;157;0,000131;
январь 2024;70;0,000064;
февраль 2024;102;0,000093;
март 2024;134;0,000135;
апрель 2024;120;0,000124;
май 2024;142;0,000161;
июнь 2024;132;0,000144;
июль 2024;119;0,000129;
август 2024;139;0,000149;
сентябрь 2024;97;0,000094;
октябрь 2024;173;0,000162;
ноябрь 2024;181;0,000165;
декабрь 2024;215;0,000193;
