Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Оренбургская область, все устройства
декабрь 2017;79;0,000111;
январь 2018;58;0,000084;
февраль 2018;81;0,000109;
март 2018;87;0,000131;
апрель 2018;136;0,000212;
май 2018;170;0,000288;
июнь 2018;144;0,000252;
июль 2018;108;0,000183;
август 2018;75;0,000109;
сентябрь 2018;58;0,000073;
октябрь 2018;75;0,000103;
ноябрь 2018;75;0,000103;
декабрь 2018;83;0,000111;
январь 2019;69;0,000095;
февраль 2019;102;0,000133;
март 2019;113;0,000160;
апрель 2019;118;0,000179;
май 2019;137;0,000230;
июнь 2019;126;0,000214;
июль 2019;157;0,000260;
август 2019;92;0,000140;
сентябрь 2019;82;0,000109;
октябрь 2019;117;0,000151;
ноябрь 2019;76;0,000092;
декабрь 2019;85;0,000101;
январь 2020;77;0,000092;
февраль 2020;93;0,000105;
март 2020;20;0,000016;
апрель 2020;27;0,000025;
май 2020;71;0,000085;
июнь 2020;69;0,000090;
июль 2020;65;0,000084;
август 2020;157;0,000173;
сентябрь 2020;90;0,000085;
октябрь 2020;69;0,000056;
ноябрь 2020;52;0,000048;
декабрь 2020;96;0,000096;
январь 2021;105;0,000108;
февраль 2021;102;0,000099;
март 2021;103;0,000100;
апрель 2021;189;0,000194;
май 2021;180;0,000192;
июнь 2021;152;0,000175;
июль 2021;131;0,000150;
август 2021;100;0,000096;
сентябрь 2021;125;0,000102;
октябрь 2021;146;0,000123;
ноябрь 2021;86;0,000070;
декабрь 2021;112;0,000093;
январь 2022;168;0,000138;
февраль 2022;222;0,000171;
март 2022;156;0,000130;
апрель 2022;308;0,000256;
май 2022;387;0,000368;
июнь 2022;392;0,000393;
июль 2022;258;0,000259;
август 2022;292;0,000254;
сентябрь 2022;218;0,000174;
октябрь 2022;127;0,000100;
ноябрь 2022;136;0,000104;
декабрь 2022;137;0,000106;
январь 2023;105;0,000087;
февраль 2023;159;0,000123;
март 2023;166;0,000141;
апрель 2023;262;0,000226;
май 2023;314;0,000308;
июнь 2023;243;0,000243;
июль 2023;160;0,000161;
август 2023;128;0,000114;
сентябрь 2023;129;0,000103;
октябрь 2023;104;0,000083;
ноябрь 2023;95;0,000075;
декабрь 2023;183;0,000144;
январь 2024;130;0,000110;
февраль 2024;120;0,000101;
март 2024;117;0,000107;
апрель 2024;211;0,000195;
май 2024;266;0,000290;
июнь 2024;239;0,000263;
июль 2024;153;0,000169;
август 2024;77;0,000078;
сентябрь 2024;121;0,000108;
октябрь 2024;127;0,000109;
ноябрь 2024;100;0,000083;
декабрь 2024;151;0,000126;
