Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Липецкая область, все устройства
декабрь 2017;80;0,000155;
январь 2018;92;0,000179;
февраль 2018;123;0,000219;
март 2018;80;0,000164;
апрель 2018;99;0,000211;
май 2018;117;0,000262;
июнь 2018;114;0,000248;
июль 2018;86;0,000192;
август 2018;102;0,000198;
сентябрь 2018;67;0,000113;
октябрь 2018;80;0,000151;
ноябрь 2018;72;0,000135;
декабрь 2018;100;0,000179;
январь 2019;123;0,000231;
февраль 2019;132;0,000233;
март 2019;121;0,000237;
апрель 2019;83;0,000170;
май 2019;115;0,000257;
июнь 2019;124;0,000265;
июль 2019;96;0,000207;
август 2019;76;0,000157;
сентябрь 2019;79;0,000143;
октябрь 2019;64;0,000115;
ноябрь 2019;77;0,000131;
декабрь 2019;94;0,000155;
январь 2020;91;0,000155;
февраль 2020;74;0,000113;
март 2020;32;0,000040;
апрель 2020;54;0,000073;
май 2020;72;0,000123;
июнь 2020;33;0,000060;
июль 2020;58;0,000108;
август 2020;113;0,000193;
сентябрь 2020;113;0,000168;
октябрь 2020;129;0,000180;
ноябрь 2020;106;0,000154;
декабрь 2020;116;0,000171;
январь 2021;193;0,000294;
февраль 2021;178;0,000245;
март 2021;169;0,000235;
апрель 2021;179;0,000253;
май 2021;158;0,000234;
июнь 2021;187;0,000291;
июль 2021;175;0,000265;
август 2021;127;0,000179;
сентябрь 2021;85;0,000110;
октябрь 2021;129;0,000160;
ноябрь 2021;103;0,000125;
декабрь 2021;107;0,000131;
январь 2022;96;0,000116;
февраль 2022;224;0,000250;
март 2022;150;0,000183;
апрель 2022;215;0,000266;
май 2022;221;0,000306;
июнь 2022;213;0,000291;
июль 2022;181;0,000246;
август 2022;404;0,000504;
сентябрь 2022;188;0,000218;
октябрь 2022;127;0,000147;
ноябрь 2022;144;0,000161;
декабрь 2022;186;0,000212;
январь 2023;154;0,000191;
февраль 2023;145;0,000165;
март 2023;187;0,000233;
апрель 2023;208;0,000265;
май 2023;214;0,000292;
июнь 2023;198;0,000268;
июль 2023;140;0,000195;
август 2023;107;0,000144;
сентябрь 2023;115;0,000137;
октябрь 2023;142;0,000170;
ноябрь 2023;107;0,000127;
декабрь 2023;191;0,000224;
январь 2024;163;0,000204;
февраль 2024;151;0,000185;
март 2024;159;0,000208;
апрель 2024;184;0,000251;
май 2024;223;0,000341;
июнь 2024;229;0,000348;
июль 2024;154;0,000231;
август 2024;93;0,000138;
сентябрь 2024;109;0,000142;
октябрь 2024;153;0,000193;
ноябрь 2024;105;0,000128;
декабрь 2024;167;0,000203;
