Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;523;0,000285;
январь 2018;564;0,000309;
февраль 2018;801;0,000395;
март 2018;694;0,000380;
апрель 2018;1 136;0,000610;
май 2018;1 464;0,000921;
июнь 2018;1 613;0,001004;
июль 2018;1 128;0,000689;
август 2018;759;0,000405;
сентябрь 2018;675;0,000308;
октябрь 2018;548;0,000278;
ноябрь 2018;640;0,000299;
декабрь 2018;742;0,000324;
январь 2019;676;0,000322;
февраль 2019;704;0,000327;
март 2019;871;0,000420;
апрель 2019;1 084;0,000535;
май 2019;1 399;0,000762;
июнь 2019;1 538;0,000866;
июль 2019;1 175;0,000665;
август 2019;657;0,000347;
сентябрь 2019;826;0,000397;
октябрь 2019;659;0,000318;
ноябрь 2019;874;0,000394;
декабрь 2019;868;0,000381;
январь 2020;680;0,000311;
февраль 2020;709;0,000302;
март 2020;208;0,000075;
апрель 2020;374;0,000146;
май 2020;532;0,000262;
июнь 2020;460;0,000233;
июль 2020;618;0,000309;
август 2020;1 505;0,000667;
сентябрь 2020;929;0,000367;
октябрь 2020;754;0,000282;
ноябрь 2020;904;0,000337;
декабрь 2020;991;0,000396;
январь 2021;966;0,000407;
февраль 2021;1 012;0,000393;
март 2021;952;0,000383;
апрель 2021;995;0,000438;
май 2021;968;0,000438;
июнь 2021;1 011;0,000454;
июль 2021;998;0,000438;
август 2021;752;0,000320;
сентябрь 2021;615;0,000252;
октябрь 2021;592;0,000245;
ноябрь 2021;629;0,000253;
декабрь 2021;603;0,000243;
январь 2022;744;0,000295;
февраль 2022;1 467;0,000551;
март 2022;1 427;0,000562;
апрель 2022;2 007;0,000806;
май 2022;2 978;0,001280;
июнь 2022;2 490;0,001114;
июль 2022;1 804;0,000776;
август 2022;2 776;0,001108;
сентябрь 2022;1 520;0,000554;
октябрь 2022;1 242;0,000437;
ноябрь 2022;992;0,000351;
декабрь 2022;1 088;0,000397;
январь 2023;998;0,000387;
февраль 2023;1 152;0,000412;
март 2023;1 276;0,000490;
апрель 2023;1 490;0,000606;
май 2023;1 617;0,000738;
июнь 2023;1 720;0,000794;
июль 2023;1 165;0,000545;
август 2023;946;0,000404;
сентябрь 2023;1 010;0,000391;
октябрь 2023;817;0,000321;
ноябрь 2023;935;0,000358;
декабрь 2023;917;0,000345;
январь 2024;861;0,000344;
февраль 2024;942;0,000379;
март 2024;912;0,000387;
апрель 2024;1 144;0,000502;
май 2024;1 534;0,000758;
июнь 2024;1 525;0,000757;
июль 2024;1 027;0,000508;
август 2024;744;0,000337;
сентябрь 2024;791;0,000307;
октябрь 2024;693;0,000270;
ноябрь 2024;649;0,000246;
декабрь 2024;649;0,000248;
