Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Астраханская область, все устройства
декабрь 2017;15;0,0000469;
январь 2018;7;0,0000231;
февраль 2018;11;0,0000342;
март 2018;12;0,0000428;
апрель 2018;19;0,0000660;
май 2018;19;0,0000710;
июнь 2018;17;0,0000635;
июль 2018;9;0,0000344;
август 2018;14;0,0000466;
сентябрь 2018;16;0,0000467;
октябрь 2018;16;0,0000502;
ноябрь 2018;12;0,0000364;
декабрь 2018;16;0,0000477;
январь 2019;12;0,0000369;
февраль 2019;15;0,0000449;
март 2019;23;0,0000717;
апрель 2019;14;0,0000461;
май 2019;31;0,0001132;
июнь 2019;29;0,0001075;
июль 2019;10;0,0000377;
август 2019;5;0,0000163;
сентябрь 2019;12;0,0000349;
октябрь 2019;21;0,0000611;
ноябрь 2019;8;0,0000214;
декабрь 2019;15;0,0000399;
январь 2020;13;0,0000348;
февраль 2020;7;0,0000181;
март 2020;1;0,0000019;
апрель 2020;3;0,0000063;
май 2020;10;0,0000271;
июнь 2020;10;0,0000302;
июль 2020;9;0,0000273;
август 2020;27;0,0000701;
сентябрь 2020;37;0,0000843;
октябрь 2020;12;0,0000266;
ноябрь 2020;8;0,0000181;
декабрь 2020;32;0,0000763;
январь 2021;14;0,0000344;
февраль 2021;46;0,0001059;
март 2021;38;0,0000868;
апрель 2021;31;0,0000711;
май 2021;36;0,0000853;
июнь 2021;67;0,0001773;
июль 2021;37;0,0000970;
август 2021;65;0,0001483;
сентябрь 2021;50;0,0001043;
октябрь 2021;8;0,0000163;
ноябрь 2021;14;0,0000272;
декабрь 2021;25;0,0000490;
январь 2022;15;0,0000296;
февраль 2022;31;0,0000582;
март 2022;19;0,0000373;
апрель 2022;26;0,0000505;
май 2022;68;0,0001486;
июнь 2022;38;0,0000866;
июль 2022;19;0,0000434;
август 2022;68;0,0001354;
сентябрь 2022;29;0,0000535;
октябрь 2022;42;0,0000765;
ноябрь 2022;26;0,0000441;
декабрь 2022;25;0,0000451;
январь 2023;18;0,0000350;
февраль 2023;22;0,0000408;
март 2023;26;0,0000502;
апрель 2023;35;0,0000669;
май 2023;46;0,0001021;
июнь 2023;35;0,0000798;
июль 2023;33;0,0000761;
август 2023;10;0,0000207;
сентябрь 2023;31;0,0000585;
октябрь 2023;31;0,0000587;
ноябрь 2023;18;0,0000334;
декабрь 2023;42;0,0000792;
январь 2024;20;0,0000399;
февраль 2024;23;0,0000451;
март 2024;31;0,0000662;
апрель 2024;18;0,0000388;
май 2024;37;0,0000921;
июнь 2024;21;0,0000535;
июль 2024;22;0,0000559;
август 2024;18;0,0000423;
сентябрь 2024;8;0,0000167;
октябрь 2024;13;0,0000262;
ноябрь 2024;17;0,0000327;
декабрь 2024;27;0,0000532;
