Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Ставропольский край, все устройства
декабрь 2017;40;0,0000451;
январь 2018;52;0,0000599;
февраль 2018;44;0,0000467;
март 2018;48;0,0000594;
апрель 2018;57;0,0000679;
май 2018;101;0,0001293;
июнь 2018;93;0,0001135;
июль 2018;43;0,0000524;
август 2018;36;0,0000401;
сентябрь 2018;54;0,0000542;
октябрь 2018;55;0,0000580;
ноябрь 2018;38;0,0000385;
декабрь 2018;60;0,0000580;
январь 2019;35;0,0000361;
февраль 2019;49;0,0000478;
март 2019;37;0,0000381;
апрель 2019;59;0,0000641;
май 2019;88;0,0001022;
июнь 2019;64;0,0000726;
июль 2019;47;0,0000544;
август 2019;55;0,0000600;
сентябрь 2019;38;0,0000380;
октябрь 2019;58;0,0000558;
ноябрь 2019;63;0,0000575;
декабрь 2019;47;0,0000410;
январь 2020;42;0,0000384;
февраль 2020;45;0,0000376;
март 2020;12;0,0000079;
апрель 2020;33;0,0000231;
май 2020;74;0,0000655;
июнь 2020;36;0,0000338;
июль 2020;59;0,0000561;
август 2020;66;0,0000570;
сентябрь 2020;68;0,0000522;
октябрь 2020;40;0,0000290;
ноябрь 2020;59;0,0000424;
декабрь 2020;45;0,0000348;
январь 2021;78;0,0000647;
февраль 2021;75;0,0000567;
март 2021;90;0,0000697;
апрель 2021;107;0,0000872;
май 2021;111;0,0000908;
июнь 2021;81;0,0000672;
июль 2021;79;0,0000643;
август 2021;73;0,0000572;
сентябрь 2021;66;0,0000490;
октябрь 2021;76;0,0000536;
ноябрь 2021;45;0,0000317;
декабрь 2021;63;0,0000434;
январь 2022;67;0,0000483;
февраль 2022;75;0,0000485;
март 2022;86;0,0000604;
апрель 2022;82;0,0000560;
май 2022;89;0,0000661;
июнь 2022;121;0,0000903;
июль 2022;75;0,0000553;
август 2022;228;0,0001572;
сентябрь 2022;108;0,0000694;
октябрь 2022;56;0,0000353;
ноябрь 2022;66;0,0000415;
декабрь 2022;101;0,0000635;
январь 2023;66;0,0000455;
февраль 2023;93;0,0000591;
март 2023;107;0,0000719;
апрель 2023;186;0,0001253;
май 2023;119;0,0000882;
июнь 2023;107;0,0000806;
июль 2023;107;0,0000814;
август 2023;80;0,0000586;
сентябрь 2023;91;0,0000618;
октябрь 2023;65;0,0000438;
ноябрь 2023;75;0,0000500;
декабрь 2023;86;0,0000566;
январь 2024;61;0,0000431;
февраль 2024;63;0,0000436;
март 2024;71;0,0000531;
апрель 2024;75;0,0000558;
май 2024;67;0,0000558;
июнь 2024;83;0,0000683;
июль 2024;71;0,0000583;
август 2024;56;0,0000436;
сентябрь 2024;62;0,0000440;
октябрь 2024;60;0,0000413;
ноябрь 2024;40;0,0000263;
декабрь 2024;42;0,0000277;
