Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Свердловская область, все устройства
декабрь 2017;524;0,000199;
январь 2018;571;0,000212;
февраль 2018;773;0,000267;
март 2018;857;0,000321;
апрель 2018;1 052;0,000413;
май 2018;1 532;0,000663;
июнь 2018;1 472;0,000655;
июль 2018;1 182;0,000512;
август 2018;776;0,000295;
сентябрь 2018;575;0,000173;
октябрь 2018;571;0,000188;
ноябрь 2018;627;0,000202;
декабрь 2018;709;0,000218;
январь 2019;789;0,000258;
февраль 2019;889;0,000275;
март 2019;1 071;0,000343;
апрель 2019;1 250;0,000418;
май 2019;1 295;0,000472;
июнь 2019;1 321;0,000492;
июль 2019;1 102;0,000409;
август 2019;668;0,000230;
сентябрь 2019;659;0,000207;
октябрь 2019;749;0,000234;
ноябрь 2019;700;0,000213;
декабрь 2019;792;0,000240;
январь 2020;666;0,000206;
февраль 2020;655;0,000188;
март 2020;221;0,000051;
апрель 2020;445;0,000124;
май 2020;496;0,000163;
июнь 2020;395;0,000138;
июль 2020;575;0,000193;
август 2020;1 273;0,000354;
сентябрь 2020;745;0,000185;
октябрь 2020;673;0,000153;
ноябрь 2020;623;0,000147;
декабрь 2020;577;0,000153;
январь 2021;760;0,000216;
февраль 2021;1 031;0,000281;
март 2021;1 084;0,000309;
апрель 2021;1 283;0,000409;
май 2021;1 006;0,000327;
июнь 2021;732;0,000229;
июль 2021;820;0,000255;
август 2021;699;0,000206;
сентябрь 2021;636;0,000176;
октябрь 2021;640;0,000168;
ноябрь 2021;649;0,000174;
декабрь 2021;558;0,000156;
январь 2022;658;0,000182;
февраль 2022;1 448;0,000378;
март 2022;1 252;0,000343;
апрель 2022;1 610;0,000443;
май 2022;1 815;0,000546;
июнь 2022;1 647;0,000525;
июль 2022;1 316;0,000403;
август 2022;2 340;0,000652;
сентябрь 2022;1 164;0,000301;
октябрь 2022;872;0,000221;
ноябрь 2022;582;0,000145;
декабрь 2022;624;0,000163;
январь 2023;633;0,000181;
февраль 2023;909;0,000237;
март 2023;954;0,000263;
апрель 2023;1 175;0,000338;
май 2023;1 036;0,000325;
июнь 2023;1 102;0,000359;
июль 2023;874;0,000280;
август 2023;556;0,000166;
сентябрь 2023;611;0,000162;
октябрь 2023;537;0,000145;
ноябрь 2023;597;0,000157;
декабрь 2023;675;0,000182;
январь 2024;643;0,000183;
февраль 2024;601;0,000165;
март 2024;730;0,000210;
апрель 2024;927;0,000272;
май 2024;992;0,000335;
июнь 2024;932;0,000321;
июль 2024;674;0,000232;
август 2024;465;0,000148;
сентябрь 2024;492;0,000134;
октябрь 2024;513;0,000138;
ноябрь 2024;451;0,000117;
декабрь 2024;518;0,000139;
