Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Костромская область, все устройства
декабрь 2017;9;0,0000343;
январь 2018;3;0,0000117;
февраль 2018;3;0,0000107;
март 2018;7;0,0000275;
апрель 2018;23;0,0000940;
май 2018;22;0,0000947;
июнь 2018;47;0,0002006;
июль 2018;13;0,0000546;
август 2018;12;0,0000449;
сентябрь 2018;15;0,0000487;
октябрь 2018;19;0,0000668;
ноябрь 2018;23;0,0000830;
декабрь 2018;14;0,0000486;
январь 2019;28;0,0001041;
февраль 2019;16;0,0000552;
март 2019;20;0,0000736;
апрель 2019;28;0,0001098;
май 2019;25;0,0001059;
июнь 2019;30;0,0001233;
июль 2019;5;0,0000209;
август 2019;4;0,0000158;
сентябрь 2019;20;0,0000689;
октябрь 2019;19;0,0000648;
ноябрь 2019;20;0,0000653;
декабрь 2019;14;0,0000446;
январь 2020;26;0,0000866;
февраль 2020;13;0,0000397;
март 2020;5;0,0000109;
апрель 2020;13;0,0000326;
май 2020;10;0,0000329;
июнь 2020;4;0,0000139;
июль 2020;14;0,0000496;
август 2020;35;0,0001127;
сентябрь 2020;17;0,0000474;
октябрь 2020;12;0,0000323;
ноябрь 2020;14;0,0000386;
декабрь 2020;13;0,0000369;
январь 2021;15;0,0000440;
февраль 2021;18;0,0000484;
март 2021;20;0,0000528;
апрель 2021;23;0,0000613;
май 2021;43;0,0001227;
июнь 2021;17;0,0000511;
июль 2021;13;0,0000377;
август 2021;18;0,0000480;
сентябрь 2021;4;0,0000096;
октябрь 2021;13;0,0000305;
ноябрь 2021;24;0,0000549;
декабрь 2021;34;0,0000778;
январь 2022;59;0,0001389;
февраль 2022;95;0,0002038;
март 2022;54;0,0001224;
апрель 2022;57;0,0001283;
май 2022;31;0,0000796;
июнь 2022;41;0,0001060;
июль 2022;42;0,0001081;
август 2022;72;0,0001675;
сентябрь 2022;44;0,0000948;
октябрь 2022;25;0,0000540;
ноябрь 2022;13;0,0000282;
декабрь 2022;39;0,0000842;
январь 2023;16;0,0000377;
февраль 2023;45;0,0000965;
март 2023;32;0,0000748;
апрель 2023;46;0,0001086;
май 2023;57;0,0001486;
июнь 2023;41;0,0001056;
июль 2023;13;0,0000347;
август 2023;11;0,0000278;
сентябрь 2023;9;0,0000202;
октябрь 2023;34;0,0000776;
ноябрь 2023;23;0,0000524;
декабрь 2023;15;0,0000335;
январь 2024;19;0,0000457;
февраль 2024;36;0,0000852;
март 2024;34;0,0000843;
апрель 2024;29;0,0000742;
май 2024;34;0,0000980;
июнь 2024;48;0,0001371;
июль 2024;39;0,0001117;
август 2024;28;0,0000767;
сентябрь 2024;13;0,0000313;
октябрь 2024;22;0,0000519;
ноябрь 2024;14;0,0000321;
декабрь 2024;26;0,0000595;
