Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Ингушетия, все устройства
декабрь 2017;1;0,000024;
январь 2018;1;0,000025;
февраль 2018;6;0,000139;
март 2018;7;0,000184;
апрель 2018;1;0,000026;
май 2018;11;0,000327;
июнь 2018;19;0,000490;
июль 2018;14;0,000359;
август 2018;2;0,000049;
сентябрь 2018;2;0,000044;
октябрь 2018;5;0,000109;
ноябрь 2018;3;0,000061;
декабрь 2018;16;0,000318;
январь 2019;0;0;
февраль 2019;2;0,000040;
март 2019;10;0,000205;
апрель 2019;2;0,000044;
май 2019;18;0,000438;
июнь 2019;3;0,000068;
июль 2019;5;0,000117;
август 2019;5;0,000112;
сентябрь 2019;4;0,000080;
октябрь 2019;1;0,000019;
ноябрь 2019;1;0,000016;
декабрь 2019;1;0,000016;
январь 2020;2;0,000035;
февраль 2020;9;0,000146;
март 2020;0;0;
апрель 2020;7;0,000100;
май 2020;7;0,000119;
июнь 2020;11;0,000198;
июль 2020;8;0,000148;
август 2020;10;0,000175;
сентябрь 2020;0;0;
октябрь 2020;2;0,000028;
ноябрь 2020;1;0,000014;
декабрь 2020;2;0,000030;
январь 2021;1;0,000016;
февраль 2021;7;0,000111;
март 2021;3;0,000046;
апрель 2021;5;0,000077;
май 2021;8;0,000114;
июнь 2021;14;0,000226;
июль 2021;6;0,000096;
август 2021;15;0,000210;
сентябрь 2021;8;0,000099;
октябрь 2021;8;0,000094;
ноябрь 2021;5;0,000055;
декабрь 2021;15;0,000164;
январь 2022;5;0,000056;
февраль 2022;4;0,000040;
март 2022;3;0,000035;
апрель 2022;23;0,000268;
май 2022;5;0,000061;
июнь 2022;5;0,000062;
июль 2022;2;0,000025;
август 2022;15;0,000179;
сентябрь 2022;8;0,000088;
октябрь 2022;10;0,000105;
ноябрь 2022;8;0,000083;
декабрь 2022;13;0,000135;
январь 2023;7;0,000080;
февраль 2023;7;0,000075;
март 2023;2;0,000024;
апрель 2023;11;0,000126;
май 2023;8;0,000103;
июнь 2023;7;0,000089;
июль 2023;2;0,000025;
август 2023;4;0,000048;
сентябрь 2023;1;0,000011;
октябрь 2023;21;0,000228;
ноябрь 2023;1;0,000010;
декабрь 2023;5;0,000051;
январь 2024;5;0,000057;
февраль 2024;0;0;
март 2024;2;0,000027;
апрель 2024;4;0,000049;
май 2024;3;0,000041;
июнь 2024;1;0,000013;
июль 2024;13;0,000173;
август 2024;2;0,000027;
сентябрь 2024;2;0,000023;
октябрь 2024;5;0,000058;
ноябрь 2024;7;0,000073;
декабрь 2024;2;0,000021;
