Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Краснодарский край, все устройства
декабрь 2017;268;0,000111;
январь 2018;264;0,000109;
февраль 2018;263;0,000104;
март 2018;287;0,000132;
апрель 2018;327;0,000142;
май 2018;351;0,000154;
июнь 2018;489;0,000192;
июль 2018;478;0,000188;
август 2018;340;0,000132;
сентябрь 2018;361;0,000127;
октябрь 2018;366;0,000140;
ноябрь 2018;258;0,000098;
декабрь 2018;403;0,000148;
январь 2019;329;0,000127;
февраль 2019;308;0,000114;
март 2019;279;0,000107;
апрель 2019;344;0,000135;
май 2019;421;0,000171;
июнь 2019;506;0,000186;
июль 2019;434;0,000158;
август 2019;410;0,000150;
сентябрь 2019;433;0,000152;
октябрь 2019;411;0,000144;
ноябрь 2019;347;0,000116;
декабрь 2019;373;0,000119;
январь 2020;303;0,000100;
февраль 2020;241;0,000076;
март 2020;95;0,000024;
апрель 2020;171;0,000048;
май 2020;247;0,000080;
июнь 2020;148;0,000047;
июль 2020;266;0,000081;
август 2020;536;0,000159;
сентябрь 2020;354;0,000097;
октябрь 2020;294;0,000079;
ноябрь 2020;283;0,000079;
декабрь 2020;375;0,000105;
январь 2021;355;0,000105;
февраль 2021;490;0,000132;
март 2021;411;0,000115;
апрель 2021;549;0,000168;
май 2021;618;0,000174;
июнь 2021;584;0,000147;
июль 2021;613;0,000148;
август 2021;485;0,000134;
сентябрь 2021;342;0,000096;
октябрь 2021;353;0,000098;
ноябрь 2021;365;0,000099;
декабрь 2021;330;0,000087;
январь 2022;642;0,000179;
февраль 2022;878;0,000217;
март 2022;494;0,000131;
апрель 2022;595;0,000157;
май 2022;739;0,000199;
июнь 2022;854;0,000214;
июль 2022;721;0,000175;
август 2022;1 442;0,000356;
сентябрь 2022;758;0,000184;
октябрь 2022;595;0,000145;
ноябрь 2022;409;0,000099;
декабрь 2022;517;0,000125;
январь 2023;425;0,000109;
февраль 2023;661;0,000159;
март 2023;512;0,000129;
апрель 2023;531;0,000136;
май 2023;548;0,000146;
июнь 2023;586;0,000143;
июль 2023;500;0,000121;
август 2023;447;0,000114;
сентябрь 2023;480;0,000119;
октябрь 2023;404;0,000100;
ноябрь 2023;434;0,000107;
декабрь 2023;447;0,000108;
январь 2024;486;0,000129;
февраль 2024;458;0,000118;
март 2024;445;0,000122;
апрель 2024;453;0,000124;
май 2024;519;0,000152;
июнь 2024;416;0,000109;
июль 2024;567;0,000146;
август 2024;357;0,000095;
сентябрь 2024;376;0,000095;
октябрь 2024;278;0,000069;
ноябрь 2024;222;0,000053;
декабрь 2024;362;0,000087;
