Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург и Ленинградская область, кроме Санкт-Петербург, все устройства
декабрь 2017;115;0,000213;
январь 2018;77;0,000144;
февраль 2018;125;0,000209;
март 2018;154;0,000282;
апрель 2018;156;0,000293;
май 2018;170;0,000306;
июнь 2018;208;0,000374;
июль 2018;208;0,000353;
август 2018;146;0,000237;
сентябрь 2018;128;0,000183;
октябрь 2018;177;0,000272;
ноябрь 2018;91;0,000139;
декабрь 2018;172;0,000242;
январь 2019;137;0,000199;
февраль 2019;162;0,000213;
март 2019;203;0,000291;
апрель 2019;182;0,000252;
май 2019;180;0,000260;
июнь 2019;234;0,000325;
июль 2019;172;0,000243;
август 2019;196;0,000279;
сентябрь 2019;176;0,000225;
октябрь 2019;133;0,000170;
ноябрь 2019;199;0,000244;
декабрь 2019;163;0,000187;
январь 2020;135;0,000168;
февраль 2020;131;0,000144;
март 2020;61;0,000051;
апрель 2020;91;0,000080;
май 2020;142;0,000144;
июнь 2020;76;0,000080;
июль 2020;110;0,000126;
август 2020;295;0,000345;
сентябрь 2020;131;0,000136;
октябрь 2020;117;0,000115;
ноябрь 2020;106;0,000111;
декабрь 2020;117;0,000121;
январь 2021;245;0,000277;
февраль 2021;209;0,000214;
март 2021;257;0,000239;
апрель 2021;307;0,000235;
май 2021;324;0,000258;
июнь 2021;173;0,000164;
июль 2021;166;0,000153;
август 2021;200;0,000160;
сентябрь 2021;170;0,000124;
октябрь 2021;253;0,000177;
ноябрь 2021;170;0,000120;
декабрь 2021;224;0,000151;
январь 2022;217;0,000148;
февраль 2022;481;0,000308;
март 2022;466;0,000314;
апрель 2022;494;0,000323;
май 2022;533;0,000367;
июнь 2022;519;0,000339;
июль 2022;414;0,000274;
август 2022;1 060;0,000695;
сентябрь 2022;491;0,000306;
октябрь 2022;362;0,000227;
ноябрь 2022;266;0,000172;
декабрь 2022;248;0,000157;
январь 2023;205;0,000141;
февраль 2023;340;0,000215;
март 2023;348;0,000236;
апрель 2023;452;0,000303;
май 2023;451;0,000313;
июнь 2023;460;0,000303;
июль 2023;302;0,000201;
август 2023;195;0,000134;
сентябрь 2023;245;0,000158;
октябрь 2023;182;0,000122;
ноябрь 2023;138;0,000092;
декабрь 2023;261;0,000167;
январь 2024;224;0,000154;
февраль 2024;242;0,000163;
март 2024;240;0,000166;
апрель 2024;310;0,000216;
май 2024;254;0,000183;
июнь 2024;363;0,000250;
июль 2024;229;0,000160;
август 2024;145;0,000105;
сентябрь 2024;211;0,000142;
октябрь 2024;150;0,000098;
ноябрь 2024;221;0,000139;
декабрь 2024;167;0,000102;
