Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Тверская область, все устройства
декабрь 2017;73;0,000139;
январь 2018;40;0,000077;
февраль 2018;96;0,000169;
март 2018;84;0,000166;
апрель 2018;62;0,000128;
май 2018;81;0,000172;
июнь 2018;134;0,000279;
июль 2018;67;0,000139;
август 2018;57;0,000105;
сентябрь 2018;63;0,000102;
октябрь 2018;69;0,000123;
ноябрь 2018;62;0,000112;
декабрь 2018;81;0,000140;
январь 2019;111;0,000202;
февраль 2019;133;0,000228;
март 2019;68;0,000127;
апрель 2019;91;0,000177;
май 2019;55;0,000115;
июнь 2019;76;0,000153;
июль 2019;98;0,000201;
август 2019;97;0,000192;
сентябрь 2019;68;0,000117;
октябрь 2019;41;0,000070;
ноябрь 2019;71;0,000116;
декабрь 2019;60;0,000095;
январь 2020;72;0,000119;
февраль 2020;62;0,000094;
март 2020;21;0,000024;
апрель 2020;73;0,000093;
май 2020;79;0,000128;
июнь 2020;25;0,000041;
июль 2020;43;0,000073;
август 2020;84;0,000136;
сентябрь 2020;79;0,000112;
октябрь 2020;53;0,000070;
ноябрь 2020;73;0,000101;
декабрь 2020;64;0,000090;
январь 2021;93;0,000134;
февраль 2021;111;0,000145;
март 2021;81;0,000104;
апрель 2021;131;0,000167;
май 2021;111;0,000148;
июнь 2021;85;0,000119;
июль 2021;81;0,000109;
август 2021;50;0,000063;
сентябрь 2021;78;0,000091;
октябрь 2021;54;0,000062;
ноябрь 2021;64;0,000073;
декабрь 2021;67;0,000074;
январь 2022;74;0,000084;
февраль 2022;187;0,000194;
март 2022;157;0,000169;
апрель 2022;173;0,000192;
май 2022;182;0,000224;
июнь 2022;125;0,000151;
июль 2022;123;0,000148;
август 2022;308;0,000347;
сентябрь 2022;211;0,000222;
октябрь 2022;174;0,000183;
ноябрь 2022;92;0,000098;
декабрь 2022;131;0,000137;
январь 2023;133;0,000151;
февраль 2023;134;0,000140;
март 2023;104;0,000117;
апрель 2023;156;0,000178;
май 2023;151;0,000186;
июнь 2023;112;0,000135;
июль 2023;146;0,000178;
август 2023;101;0,000122;
сентябрь 2023;98;0,000106;
октябрь 2023;101;0,000112;
ноябрь 2023;87;0,000097;
декабрь 2023;86;0,000092;
январь 2024;82;0,000094;
февраль 2024;78;0,000088;
март 2024;68;0,000081;
апрель 2024;98;0,000121;
май 2024;124;0,000169;
июнь 2024;117;0,000154;
июль 2024;96;0,000127;
август 2024;64;0,000083;
сентябрь 2024;70;0,000081;
октябрь 2024;84;0,000096;
ноябрь 2024;44;0,000049;
декабрь 2024;77;0,000084;
