Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Адыгея, все устройства
декабрь 2017;4;0,0000535;
январь 2018;5;0,0000673;
февраль 2018;6;0,0000728;
март 2018;5;0,0000695;
апрель 2018;6;0,0000769;
май 2018;2;0,0000270;
июнь 2018;12;0,0001541;
июль 2018;15;0,0001962;
август 2018;5;0,0000611;
сентябрь 2018;14;0,0001470;
октябрь 2018;7;0,0000759;
ноябрь 2018;10;0,0001073;
декабрь 2018;20;0,0002065;
январь 2019;11;0,0001129;
февраль 2019;7;0,0000665;
март 2019;24;0,0002418;
апрель 2019;16;0,0001632;
май 2019;11;0,0001188;
июнь 2019;15;0,0001568;
июль 2019;12;0,0001262;
август 2019;15;0,0001543;
сентябрь 2019;33;0,0003067;
октябрь 2019;9;0,0000814;
ноябрь 2019;9;0,0000742;
декабрь 2019;21;0,0001653;
январь 2020;16;0,0001307;
февраль 2020;16;0,0001206;
март 2020;4;0,0000232;
апрель 2020;7;0,0000416;
май 2020;21;0,0001582;
июнь 2020;7;0,0000575;
июль 2020;1;0,0000085;
август 2020;12;0,0000950;
сентябрь 2020;4;0,0000277;
октябрь 2020;23;0,0001492;
ноябрь 2020;5;0,0000315;
декабрь 2020;6;0,0000395;
январь 2021;10;0,0000693;
февраль 2021;14;0,0000919;
март 2021;10;0,0000595;
апрель 2021;27;0,0001541;
май 2021;48;0,0002824;
июнь 2021;31;0,0002073;
июль 2021;24;0,0001595;
август 2021;15;0,0000862;
сентябрь 2021;8;0,0000419;
октябрь 2021;24;0,0001205;
ноябрь 2021;17;0,0000822;
декабрь 2021;30;0,0001384;
январь 2022;38;0,0001786;
февраль 2022;66;0,0002892;
март 2022;15;0,0000715;
апрель 2022;31;0,0001459;
май 2022;43;0,0002208;
июнь 2022;26;0,0001341;
июль 2022;26;0,0001325;
август 2022;63;0,0002970;
сентябрь 2022;59;0,0002601;
октябрь 2022;35;0,0001509;
ноябрь 2022;12;0,0000505;
декабрь 2022;22;0,0000923;
январь 2023;11;0,0000493;
февраль 2023;16;0,0000674;
март 2023;15;0,0000670;
апрель 2023;14;0,0000634;
май 2023;22;0,0001110;
июнь 2023;32;0,0001604;
июль 2023;23;0,0001157;
август 2023;15;0,0000725;
сентябрь 2023;23;0,0001043;
октябрь 2023;30;0,0001311;
ноябрь 2023;18;0,0000772;
декабрь 2023;26;0,0001089;
январь 2024;17;0,0000775;
февраль 2024;20;0,0000893;
март 2024;8;0,0000384;
апрель 2024;23;0,0001091;
май 2024;10;0,0000539;
июнь 2024;15;0,0000796;
июль 2024;29;0,0001529;
август 2024;9;0,0000454;
сентябрь 2024;23;0,0001063;
октябрь 2024;20;0,0000889;
ноябрь 2024;16;0,0000685;
декабрь 2024;9;0,0000383;
