Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Москва и область, кроме Москва, все устройства
декабрь 2017;1 470;0,00033;
январь 2018;1 341;0,00031;
февраль 2018;1 630;0,00034;
март 2018;1 676;0,00039;
апрель 2018;1 974;0,00047;
май 2018;2 752;0,00069;
июнь 2018;3 588;0,00088;
июль 2018;2 876;0,00070;
август 2018;2 412;0,00051;
сентябрь 2018;2 045;0,00037;
октябрь 2018;1 859;0,00036;
ноябрь 2018;1 905;0,00038;
декабрь 2018;2 064;0,00039;
январь 2019;1 607;0,00031;
февраль 2019;2 255;0,00040;
март 2019;2 135;0,00042;
апрель 2019;2 244;0,00046;
май 2019;2 552;0,00056;
июнь 2019;2 997;0,00065;
июль 2019;2 446;0,00053;
август 2019;2 054;0,00042;
сентябрь 2019;2 072;0,00038;
октябрь 2019;1 855;0,00034;
ноябрь 2019;2 527;0,00044;
декабрь 2019;2 038;0,00035;
январь 2020;1 681;0,00030;
февраль 2020;2 023;0,00032;
март 2020;883;0,00011;
апрель 2020;1 185;0,00016;
май 2020;1 840;0,00031;
июнь 2020;1 173;0,00021;
июль 2020;2 076;0,00038;
август 2020;4 073;0,00069;
сентябрь 2020;2 398;0,00035;
октябрь 2020;1 793;0,00025;
ноябрь 2020;1 635;0,00024;
декабрь 2020;1 915;0,00029;
январь 2021;1 851;0,00030;
февраль 2021;2 276;0,00034;
март 2021;2 438;0,00034;
апрель 2021;3 354;0,00043;
май 2021;3 019;0,00040;
июнь 2021;2 323;0,00037;
июль 2021;2 248;0,00034;
август 2021;2 188;0,00027;
сентябрь 2021;2 149;0,00025;
октябрь 2021;2 144;0,00024;
ноябрь 2021;2 345;0,00026;
декабрь 2021;2 513;0,00027;
январь 2022;2 487;0,00028;
февраль 2022;6 688;0,00068;
март 2022;4 437;0,00048;
апрель 2022;5 098;0,00056;
май 2022;4 803;0,00058;
июнь 2022;5 006;0,00061;
июль 2022;4 447;0,00053;
август 2022;10 450;0,00114;
сентябрь 2022;5 238;0,00055;
октябрь 2022;3 210;0,00034;
ноябрь 2022;2 810;0,00030;
декабрь 2022;2 779;0,00030;
январь 2023;2 371;0,00028;
февраль 2023;2 842;0,00030;
март 2023;2 893;0,00034;
апрель 2023;3 830;0,00045;
май 2023;4 219;0,00054;
июнь 2023;3 453;0,00044;
июль 2023;3 197;0,00041;
август 2023;2 230;0,00028;
сентябрь 2023;2 454;0,00028;
октябрь 2023;2 130;0,00025;
ноябрь 2023;2 460;0,00029;
декабрь 2023;2 494;0,00028;
январь 2024;2 244;0,00027;
февраль 2024;2 539;0,00029;
март 2024;2 871;0,00036;
апрель 2024;2 833;0,00035;
май 2024;3 575;0,00049;
июнь 2024;3 388;0,00046;
июль 2024;2 480;0,00034;
август 2024;1 847;0,00024;
сентябрь 2024;1 950;0,00023;
октябрь 2024;2 107;0,00025;
ноябрь 2024;2 102;0,00024;
декабрь 2024;2 054;0,00023;
