Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Саратовская область, все устройства
декабрь 2017;72;0,000071;
январь 2018;76;0,000076;
февраль 2018;84;0,000078;
март 2018;69;0,000072;
апрель 2018;109;0,000116;
май 2018;119;0,000133;
июнь 2018;131;0,000146;
июль 2018;74;0,000083;
август 2018;67;0,000064;
сентябрь 2018;87;0,000073;
октябрь 2018;77;0,000070;
ноябрь 2018;77;0,000070;
декабрь 2018;63;0,000055;
январь 2019;109;0,000097;
февраль 2019;105;0,000090;
март 2019;110;0,000104;
апрель 2019;133;0,000134;
май 2019;127;0,000140;
июнь 2019;138;0,000151;
июль 2019;133;0,000144;
август 2019;78;0,000076;
сентябрь 2019;103;0,000088;
октябрь 2019;107;0,000092;
ноябрь 2019;71;0,000060;
декабрь 2019;110;0,000091;
январь 2020;91;0,000075;
февраль 2020;81;0,000063;
март 2020;26;0,000016;
апрель 2020;51;0,000036;
май 2020;83;0,000072;
июнь 2020;30;0,000029;
июль 2020;60;0,000056;
август 2020;160;0,000132;
сентябрь 2020;111;0,000080;
октябрь 2020;83;0,000053;
ноябрь 2020;86;0,000057;
декабрь 2020;137;0,000093;
январь 2021;133;0,000092;
февраль 2021;165;0,000105;
март 2021;114;0,000076;
апрель 2021;172;0,000125;
май 2021;164;0,000120;
июнь 2021;196;0,000150;
июль 2021;193;0,000144;
август 2021;117;0,000080;
сентябрь 2021;127;0,000080;
октябрь 2021;119;0,000074;
ноябрь 2021;122;0,000075;
декабрь 2021;87;0,000054;
январь 2022;123;0,000078;
февраль 2022;203;0,000116;
март 2022;171;0,000106;
апрель 2022;219;0,000138;
май 2022;246;0,000175;
июнь 2022;272;0,000196;
июль 2022;237;0,000174;
август 2022;405;0,000261;
сентябрь 2022;185;0,000110;
октябрь 2022;179;0,000106;
ноябрь 2022;135;0,000079;
декабрь 2022;136;0,000080;
январь 2023;149;0,000096;
февраль 2023;166;0,000099;
март 2023;205;0,000133;
апрель 2023;230;0,000149;
май 2023;173;0,000124;
июнь 2023;219;0,000160;
июль 2023;169;0,000127;
август 2023;118;0,000081;
сентябрь 2023;132;0,000081;
октябрь 2023;119;0,000073;
ноябрь 2023;138;0,000085;
декабрь 2023;120;0,000073;
январь 2024;140;0,000091;
февраль 2024;137;0,000088;
март 2024;141;0,000098;
апрель 2024;123;0,000087;
май 2024;103;0,000082;
июнь 2024;155;0,000127;
июль 2024;155;0,000126;
август 2024;126;0,000095;
сентябрь 2024;124;0,000082;
октябрь 2024;95;0,000060;
ноябрь 2024;93;0,000057;
декабрь 2024;118;0,000073;
