Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Камчатский край, все устройства
декабрь 2017;41;0,000497;
январь 2018;20;0,000250;
февраль 2018;21;0,000233;
март 2018;17;0,000200;
апрель 2018;23;0,000276;
май 2018;23;0,000308;
июнь 2018;40;0,000545;
июль 2018;34;0,000469;
август 2018;45;0,000530;
сентябрь 2018;35;0,000359;
октябрь 2018;32;0,000332;
ноябрь 2018;30;0,000324;
декабрь 2018;27;0,000279;
январь 2019;17;0,000183;
февраль 2019;17;0,000172;
март 2019;20;0,000207;
апрель 2019;13;0,000151;
май 2019;26;0,000342;
июнь 2019;40;0,000573;
июль 2019;26;0,000366;
август 2019;27;0,000332;
сентябрь 2019;27;0,000271;
октябрь 2019;23;0,000220;
ноябрь 2019;29;0,000265;
декабрь 2019;21;0,000185;
январь 2020;11;0,000100;
февраль 2020;32;0,000265;
март 2020;12;0,000077;
апрель 2020;17;0,000125;
май 2020;21;0,000193;
июнь 2020;20;0,000204;
июль 2020;36;0,000363;
август 2020;90;0,000843;
сентябрь 2020;50;0,000381;
октябрь 2020;41;0,000292;
ноябрь 2020;24;0,000181;
декабрь 2020;21;0,000160;
январь 2021;39;0,000309;
февраль 2021;34;0,000251;
март 2021;27;0,000192;
апрель 2021;42;0,000319;
май 2021;79;0,000653;
июнь 2021;46;0,000405;
июль 2021;55;0,000484;
август 2021;41;0,000322;
сентябрь 2021;41;0,000287;
октябрь 2021;51;0,000348;
ноябрь 2021;30;0,000197;
декабрь 2021;43;0,000282;
январь 2022;33;0,000224;
февраль 2022;60;0,000368;
март 2022;52;0,000324;
апрель 2022;55;0,000345;
май 2022;43;0,000319;
июнь 2022;32;0,000242;
июль 2022;39;0,000281;
август 2022;127;0,000820;
сентябрь 2022;48;0,000287;
октябрь 2022;38;0,000205;
ноябрь 2022;49;0,000288;
декабрь 2022;42;0,000244;
январь 2023;23;0,000146;
февраль 2023;52;0,000301;
март 2023;50;0,000296;
апрель 2023;52;0,000317;
май 2023;50;0,000370;
июнь 2023;27;0,000206;
июль 2023;27;0,000201;
август 2023;31;0,000218;
сентябрь 2023;49;0,000302;
октябрь 2023;58;0,000361;
ноябрь 2023;14;0,000085;
декабрь 2023;43;0,000258;
январь 2024;29;0,000184;
февраль 2024;29;0,000178;
март 2024;36;0,000230;
апрель 2024;58;0,000378;
май 2024;25;0,000197;
июнь 2024;43;0,000333;
июль 2024;29;0,000228;
август 2024;48;0,000350;
сентябрь 2024;29;0,000183;
октябрь 2024;34;0,000211;
ноябрь 2024;18;0,000105;
декабрь 2024;27;0,000161;
