Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Томская область, все устройства
декабрь 2017;108;0,000268;
январь 2018;86;0,000219;
февраль 2018;123;0,000294;
март 2018;166;0,000419;
апрель 2018;240;0,000577;
май 2018;340;0,000998;
июнь 2018;331;0,001000;
июль 2018;177;0,000517;
август 2018;80;0,000199;
сентябрь 2018;90;0,000192;
октябрь 2018;108;0,000251;
ноябрь 2018;115;0,000263;
декабрь 2018;127;0,000298;
январь 2019;150;0,000355;
февраль 2019;129;0,000297;
март 2019;187;0,000432;
апрель 2019;200;0,000492;
май 2019;251;0,000701;
июнь 2019;297;0,000919;
июль 2019;117;0,000361;
август 2019;84;0,000227;
сентябрь 2019;83;0,000194;
октябрь 2019;127;0,000293;
ноябрь 2019;154;0,000336;
декабрь 2019;149;0,000318;
январь 2020;161;0,000359;
февраль 2020;97;0,000197;
март 2020;79;0,000128;
апрель 2020;46;0,000086;
май 2020;74;0,000163;
июнь 2020;69;0,000172;
июль 2020;91;0,000231;
август 2020;164;0,000351;
сентябрь 2020;100;0,000182;
октябрь 2020;94;0,000164;
ноябрь 2020;105;0,000191;
декабрь 2020;162;0,000310;
январь 2021;115;0,000233;
февраль 2021;172;0,000318;
март 2021;164;0,000291;
апрель 2021;247;0,000459;
май 2021;235;0,000448;
июнь 2021;174;0,000377;
июль 2021;178;0,000379;
август 2021;132;0,000248;
сентябрь 2021;131;0,000221;
октябрь 2021;88;0,000149;
ноябрь 2021;110;0,000173;
декабрь 2021;120;0,000196;
январь 2022;128;0,000208;
февраль 2022;241;0,000360;
март 2022;312;0,000486;
апрель 2022;368;0,000607;
май 2022;538;0,000944;
июнь 2022;374;0,000727;
июль 2022;266;0,000512;
август 2022;348;0,000588;
сентябрь 2022;167;0,000255;
октябрь 2022;128;0,000188;
ноябрь 2022;118;0,000171;
декабрь 2022;173;0,000262;
январь 2023;195;0,000317;
февраль 2023;250;0,000370;
март 2023;330;0,000492;
апрель 2023;280;0,000451;
май 2023;338;0,000608;
июнь 2023;308;0,000606;
июль 2023;142;0,000279;
август 2023;124;0,000217;
сентябрь 2023;90;0,000139;
октябрь 2023;136;0,000214;
ноябрь 2023;122;0,000184;
декабрь 2023;134;0,000213;
январь 2024;147;0,000244;
февраль 2024;173;0,000280;
март 2024;110;0,000181;
апрель 2024;183;0,000317;
май 2024;215;0,000432;
июнь 2024;200;0,000428;
июль 2024;134;0,000288;
август 2024;75;0,000144;
сентябрь 2024;76;0,000124;
октябрь 2024;72;0,000116;
ноябрь 2024;86;0,000132;
декабрь 2024;131;0,000213;
