Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Тюменская область, все устройства
декабрь 2017;175;0,000242;
январь 2018;141;0,000199;
февраль 2018;221;0,000292;
март 2018;230;0,000328;
апрель 2018;343;0,000482;
май 2018;422;0,000668;
июнь 2018;399;0,000653;
июль 2018;411;0,000658;
август 2018;272;0,000362;
сентябрь 2018;185;0,000220;
октябрь 2018;158;0,000205;
ноябрь 2018;173;0,000225;
декабрь 2018;227;0,000294;
январь 2019;216;0,000271;
февраль 2019;179;0,000230;
март 2019;218;0,000285;
апрель 2019;356;0,000504;
май 2019;421;0,000649;
июнь 2019;398;0,000642;
июль 2019;278;0,000444;
август 2019;192;0,000266;
сентябрь 2019;224;0,000280;
октябрь 2019;212;0,000258;
ноябрь 2019;189;0,000223;
декабрь 2019;172;0,000196;
январь 2020;193;0,000221;
февраль 2020;203;0,000218;
март 2020;68;0,000060;
апрель 2020;108;0,000115;
май 2020;179;0,000211;
июнь 2020;114;0,000149;
июль 2020;204;0,000269;
август 2020;424;0,000487;
сентябрь 2020;287;0,000286;
октябрь 2020;253;0,000225;
ноябрь 2020;217;0,000201;
декабрь 2020;234;0,000232;
январь 2021;193;0,000201;
февраль 2021;222;0,000220;
март 2021;354;0,000346;
апрель 2021;451;0,000460;
май 2021;338;0,000352;
июнь 2021;304;0,000325;
июль 2021;270;0,000294;
август 2021;251;0,000245;
сентябрь 2021;205;0,000181;
октябрь 2021;206;0,000169;
ноябрь 2021;201;0,000169;
декабрь 2021;127;0,000109;
январь 2022;286;0,000232;
февраль 2022;442;0,000348;
март 2022;391;0,000326;
апрель 2022;565;0,000480;
май 2022;658;0,000615;
июнь 2022;608;0,000596;
июль 2022;407;0,000399;
август 2022;600;0,000513;
сентябрь 2022;293;0,000232;
октябрь 2022;275;0,000213;
ноябрь 2022;326;0,000242;
декабрь 2022;309;0,000242;
январь 2023;257;0,000216;
февраль 2023;371;0,000287;
март 2023;361;0,000292;
апрель 2023;431;0,000373;
май 2023;552;0,000519;
июнь 2023;452;0,000442;
июль 2023;327;0,000317;
август 2023;259;0,000227;
сентябрь 2023;237;0,000190;
октябрь 2023;202;0,000163;
ноябрь 2023;196;0,000151;
декабрь 2023;220;0,000177;
январь 2024;223;0,000184;
февраль 2024;261;0,000215;
март 2024;280;0,000238;
апрель 2024;401;0,000351;
май 2024;334;0,000344;
июнь 2024;372;0,000389;
июль 2024;272;0,000284;
август 2024;132;0,000125;
сентябрь 2024;148;0,000123;
октябрь 2024;113;0,000092;
ноябрь 2024;106;0,000083;
декабрь 2024;190;0,000154;
