Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Забайкальский край, все устройства
декабрь 2017;6;0,000018;
январь 2018;13;0,000041;
февраль 2018;24;0,000073;
март 2018;38;0,000125;
апрель 2018;24;0,000080;
май 2018;48;0,000181;
июнь 2018;60;0,000222;
июль 2018;23;0,000085;
август 2018;14;0,000044;
сентябрь 2018;32;0,000086;
октябрь 2018;34;0,000097;
ноябрь 2018;19;0,000055;
декабрь 2018;22;0,000062;
январь 2019;15;0,000043;
февраль 2019;25;0,000069;
март 2019;33;0,000094;
апрель 2019;18;0,000055;
май 2019;44;0,000156;
июнь 2019;22;0,000078;
июль 2019;45;0,000157;
август 2019;25;0,000074;
сентябрь 2019;10;0,000024;
октябрь 2019;25;0,000061;
ноябрь 2019;25;0,000058;
декабрь 2019;31;0,000072;
январь 2020;18;0,000041;
февраль 2020;18;0,000037;
март 2020;6;0,000010;
апрель 2020;14;0,000026;
май 2020;6;0,000015;
июнь 2020;18;0,000049;
июль 2020;17;0,000046;
август 2020;54;0,000123;
сентябрь 2020;33;0,000060;
октябрь 2020;20;0,000032;
ноябрь 2020;20;0,000035;
декабрь 2020;48;0,000095;
январь 2021;38;0,000077;
февраль 2021;57;0,000117;
март 2021;34;0,000067;
апрель 2021;44;0,000091;
май 2021;42;0,000098;
июнь 2021;27;0,000068;
июль 2021;48;0,000120;
август 2021;32;0,000068;
сентябрь 2021;33;0,000062;
октябрь 2021;28;0,000047;
ноябрь 2021;21;0,000037;
декабрь 2021;36;0,000065;
январь 2022;23;0,000041;
февраль 2022;70;0,000120;
март 2022;64;0,000113;
апрель 2022;55;0,000103;
май 2022;59;0,000127;
июнь 2022;129;0,000291;
июль 2022;53;0,000118;
август 2022;87;0,000165;
сентябрь 2022;68;0,000116;
октябрь 2022;68;0,000108;
ноябрь 2022;44;0,000071;
декабрь 2022;26;0,000042;
январь 2023;46;0,000081;
февраль 2023;42;0,000067;
март 2023;56;0,000092;
апрель 2023;51;0,000090;
май 2023;45;0,000094;
июнь 2023;25;0,000055;
июль 2023;36;0,000078;
август 2023;27;0,000052;
сентябрь 2023;43;0,000074;
октябрь 2023;24;0,000041;
ноябрь 2023;23;0,000038;
декабрь 2023;37;0,000062;
январь 2024;39;0,000069;
февраль 2024;51;0,000093;
март 2024;37;0,000070;
апрель 2024;31;0,000064;
май 2024;28;0,000068;
июнь 2024;29;0,000074;
июль 2024;31;0,000078;
август 2024;23;0,000051;
сентябрь 2024;21;0,000039;
октябрь 2024;17;0,000030;
ноябрь 2024;13;0,000022;
декабрь 2024;24;0,000042;
