Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Кемеровская область (Кузбасс), все устройства
декабрь 2017;329;0,000319;
январь 2018;373;0,000378;
февраль 2018;477;0,000448;
март 2018;591;0,000587;
апрель 2018;1 079;0,001033;
май 2018;1 398;0,001666;
июнь 2018;1 331;0,001532;
июль 2018;630;0,000709;
август 2018;307;0,000305;
сентябрь 2018;273;0,000233;
октябрь 2018;245;0,000226;
ноябрь 2018;242;0,000220;
декабрь 2018;371;0,000336;
январь 2019;387;0,000354;
февраль 2019;557;0,000501;
март 2019;611;0,000564;
апрель 2019;725;0,000713;
май 2019;1 026;0,001134;
июнь 2019;1 030;0,001177;
июль 2019;519;0,000584;
август 2019;280;0,000286;
сентябрь 2019;269;0,000241;
октябрь 2019;233;0,000206;
ноябрь 2019;338;0,000282;
декабрь 2019;444;0,000360;
январь 2020;364;0,000302;
февраль 2020;266;0,000198;
март 2020;91;0,000055;
апрель 2020;199;0,000131;
май 2020;299;0,000248;
июнь 2020;217;0,000200;
июль 2020;221;0,000204;
август 2020;313;0,000249;
сентябрь 2020;216;0,000143;
октябрь 2020;192;0,000114;
ноябрь 2020;219;0,000149;
декабрь 2020;346;0,000244;
январь 2021;316;0,000237;
февраль 2021;394;0,000276;
март 2021;466;0,000323;
апрель 2021;543;0,000397;
май 2021;603;0,000466;
июнь 2021;616;0,000515;
июль 2021;371;0,000301;
август 2021;276;0,000203;
сентябрь 2021;274;0,000180;
октябрь 2021;235;0,000155;
ноябрь 2021;260;0,000162;
декабрь 2021;296;0,000185;
январь 2022;303;0,000191;
февраль 2022;690;0,000408;
март 2022;796;0,000500;
апрель 2022;1 039;0,000687;
май 2022;1 502;0,001076;
июнь 2022;1 232;0,000926;
июль 2022;595;0,000440;
август 2022;623;0,000411;
сентябрь 2022;382;0,000228;
октябрь 2022;330;0,000190;
ноябрь 2022;273;0,000156;
декабрь 2022;448;0,000263;
январь 2023;339;0,000212;
февраль 2023;543;0,000312;
март 2023;662;0,000396;
апрель 2023;581;0,000369;
май 2023;750;0,000552;
июнь 2023;775;0,000585;
июль 2023;391;0,000293;
август 2023;272;0,000188;
сентябрь 2023;259;0,000159;
октябрь 2023;254;0,000158;
ноябрь 2023;221;0,000130;
декабрь 2023;363;0,000222;
январь 2024;341;0,000217;
февраль 2024;316;0,000201;
март 2024;351;0,000234;
апрель 2024;436;0,000305;
май 2024;616;0,000508;
июнь 2024;597;0,000508;
июль 2024;359;0,000298;
август 2024;202;0,000153;
сентябрь 2024;237;0,000152;
октябрь 2024;190;0,000122;
ноябрь 2024;173;0,000106;
декабрь 2024;286;0,000181;
