Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Карачаево-Черкесская Республика, все устройства
декабрь 2017;0;0;
январь 2018;1;0,0000126;
февраль 2018;9;0,0001052;
март 2018;4;0,0000544;
апрель 2018;12;0,0001555;
май 2018;19;0,0002650;
июнь 2018;10;0,0001339;
июль 2018;12;0,0001653;
август 2018;1;0,0000129;
сентябрь 2018;12;0,0001386;
октябрь 2018;1;0,0000123;
ноябрь 2018;13;0,0002309;
декабрь 2018;6;0,0000993;
январь 2019;12;0,0001994;
февраль 2019;3;0,0000460;
март 2019;9;0,0001463;
апрель 2019;6;0,0001033;
май 2019;9;0,0001634;
июнь 2019;6;0,0001057;
июль 2019;2;0,0000370;
август 2019;8;0,0001431;
сентябрь 2019;8;0,0001113;
октябрь 2019;13;0,0001777;
ноябрь 2019;2;0,0000269;
декабрь 2019;7;0,0000890;
январь 2020;27;0,0003660;
февраль 2020;8;0,0000985;
март 2020;6;0,0000607;
апрель 2020;4;0,0000440;
май 2020;7;0,0000883;
июнь 2020;4;0,0000559;
июль 2020;10;0,0001454;
август 2020;9;0,0001213;
сентябрь 2020;4;0,0000458;
октябрь 2020;1;0,0000103;
ноябрь 2020;6;0,0000626;
декабрь 2020;2;0,0000234;
январь 2021;10;0,0001257;
февраль 2021;6;0,0000692;
март 2021;17;0,0001739;
апрель 2021;8;0,0000723;
май 2021;12;0,0001148;
июнь 2021;24;0,0002944;
июль 2021;22;0,0002649;
август 2021;15;0,0001457;
сентябрь 2021;6;0,0000515;
октябрь 2021;7;0,0000575;
ноябрь 2021;18;0,0001404;
декабрь 2021;18;0,0001318;
январь 2022;5;0,0000369;
февраль 2022;31;0,0002187;
март 2022;25;0,0001911;
апрель 2022;26;0,0001979;
май 2022;17;0,0001419;
июнь 2022;11;0,0000940;
июль 2022;25;0,0002174;
август 2022;51;0,0004116;
сентябрь 2022;27;0,0001980;
октябрь 2022;27;0,0001965;
ноябрь 2022;9;0,0000586;
декабрь 2022;12;0,0000808;
январь 2023;15;0,0001076;
февраль 2023;14;0,0000954;
март 2023;20;0,0001432;
апрель 2023;11;0,0000821;
май 2023;13;0,0001100;
июнь 2023;23;0,0001943;
июль 2023;14;0,0001180;
август 2023;7;0,0000570;
сентябрь 2023;1;0,0000071;
октябрь 2023;22;0,0001557;
ноябрь 2023;10;0,0000690;
декабрь 2023;10;0,0000679;
январь 2024;8;0,0000577;
февраль 2024;18;0,0001299;
март 2024;3;0,0000238;
апрель 2024;11;0,0000857;
май 2024;18;0,0001625;
июнь 2024;22;0,0001916;
июль 2024;11;0,0000980;
август 2024;9;0,0000763;
сентябрь 2024;1;0,0000075;
октябрь 2024;5;0,0000365;
ноябрь 2024;6;0,0000406;
декабрь 2024;20;0,0001340;
