Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «билет Бишкек», по месяцам, 31.12.2017 — 30.01.2025, Республика Карелия, все устройства
декабрь 2017;19;0,0000714;
январь 2018;5;0,0000189;
февраль 2018;13;0,0000461;
март 2018;13;0,0000504;
апрель 2018;13;0,0000559;
май 2018;12;0,0000560;
июнь 2018;20;0,0000947;
июль 2018;18;0,0000800;
август 2018;8;0,0000305;
сентябрь 2018;9;0,0000291;
октябрь 2018;10;0,0000357;
ноябрь 2018;11;0,0000385;
декабрь 2018;8;0,0000263;
январь 2019;17;0,0000590;
февраль 2019;11;0,0000353;
март 2019;8;0,0000273;
апрель 2019;12;0,0000428;
май 2019;18;0,0000779;
июнь 2019;18;0,0000791;
июль 2019;10;0,0000445;
август 2019;4;0,0000165;
сентябрь 2019;2;0,0000070;
октябрь 2019;11;0,0000392;
ноябрь 2019;5;0,0000172;
декабрь 2019;18;0,0000604;
январь 2020;12;0,0000418;
февраль 2020;4;0,0000128;
март 2020;3;0,0000074;
апрель 2020;1;0,0000029;
май 2020;7;0,0000256;
июнь 2020;3;0,0000113;
июль 2020;2;0,0000077;
август 2020;30;0,0001022;
сентябрь 2020;20;0,0000594;
октябрь 2020;9;0,0000236;
ноябрь 2020;7;0,0000184;
декабрь 2020;14;0,0000397;
январь 2021;23;0,0000731;
февраль 2021;13;0,0000380;
март 2021;13;0,0000361;
апрель 2021;16;0,0000424;
май 2021;6;0,0000179;
июнь 2021;20;0,0000691;
июль 2021;18;0,0000587;
август 2021;4;0,0000110;
сентябрь 2021;6;0,0000148;
октябрь 2021;10;0,0000246;
ноябрь 2021;15;0,0000361;
декабрь 2021;21;0,0000501;
январь 2022;24;0,0000583;
февраль 2022;8;0,0000180;
март 2022;12;0,0000280;
апрель 2022;17;0,0000408;
май 2022;20;0,0000539;
июнь 2022;29;0,0000797;
июль 2022;20;0,0000547;
август 2022;41;0,0001005;
сентябрь 2022;19;0,0000439;
октябрь 2022;19;0,0000434;
ноябрь 2022;23;0,0000529;
декабрь 2022;13;0,0000303;
январь 2023;7;0,0000175;
февраль 2023;18;0,0000411;
март 2023;30;0,0000728;
апрель 2023;28;0,0000710;
май 2023;14;0,0000391;
июнь 2023;29;0,0000787;
июль 2023;20;0,0000565;
август 2023;22;0,0000584;
сентябрь 2023;25;0,0000602;
октябрь 2023;5;0,0000121;
ноябрь 2023;23;0,0000555;
декабрь 2023;13;0,0000308;
январь 2024;24;0,0000608;
февраль 2024;11;0,0000269;
март 2024;24;0,0000608;
апрель 2024;21;0,0000567;
май 2024;19;0,0000586;
июнь 2024;26;0,0000786;
июль 2024;17;0,0000516;
август 2024;19;0,0000555;
сентябрь 2024;8;0,0000206;
октябрь 2024;30;0,0000747;
ноябрь 2024;10;0,0000240;
декабрь 2024;5;0,0000121;
